Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Chateauneuf Gaétan Q.S.;Gagnon Jean-Pierre P.L.Q./Q.L.P.;Kotto Maka P.Q.;Lapierre Thomas P.V.Q./G.P.Q.;Medza Sylvain C.A.Q.-É.F.L.;Saavedra Renaud Diego O.N. - P.I.Q.;B.V.;B.R.;
377;Bourget;2014-04-07;G;Montréal, v;342;;1;684;0;29;54;58;4;35;2;182;4;
377;Bourget;2014-04-07;G;Montréal, v;342;;2;717;0;35;61;64;3;49;1;213;3;
377;Bourget;2014-04-07;G;Montréal, v;342;;3;332;0;28;40;86;7;34;4;199;0;
377;Bourget;2014-04-07;G;Montréal, v;342;;4;383;0;43;59;62;8;55;4;231;1;
377;Bourget;2014-04-07;G;Montréal, v;342;;5;334;0;40;48;85;3;40;0;216;1;
377;Bourget;2014-04-07;G;Montréal, v;342;;6;347;1;40;37;63;7;41;1;190;2;
377;Bourget;2014-04-07;G;Montréal, v;343;;7;351;0;11;51;52;2;21;0;137;5;
377;Bourget;2014-04-07;G;Montréal, v;343;;8;491;2;16;57;39;3;30;2;149;1;
377;Bourget;2014-04-07;G;Montréal, v;343;;9;379;4;26;87;45;4;26;1;193;4;
377;Bourget;2014-04-07;G;Montréal, v;343;;10;374;0;22;106;37;2;14;1;182;7;
377;Bourget;2014-04-07;G;Montréal, v;343;;11;376;0;21;84;51;2;26;0;184;2;
377;Bourget;2014-04-07;G;Montréal, v;343;;12;385;0;28;49;89;1;41;2;210;2;
377;Bourget;2014-04-07;G;Montréal, v;343;;13;378;0;19;50;56;1;48;1;175;2;
377;Bourget;2014-04-07;G;Montréal, v;343;;14;384;0;32;41;80;2;52;2;209;4;
377;Bourget;2014-04-07;G;Montréal, v;343;;15;333;1;34;35;69;1;46;2;188;4;
377;Bourget;2014-04-07;G;Montréal, v;343;;16;375;1;32;30;98;2;42;5;210;6;
377;Bourget;2014-04-07;G;Montréal, v;343;;17;361;0;30;38;63;2;33;0;166;5;
377;Bourget;2014-04-07;G;Montréal, v;344;;18;391;2;15;67;72;2;35;0;193;5;
377;Bourget;2014-04-07;G;Montréal, v;344;;19;378;0;19;39;79;3;39;2;181;3;
377;Bourget;2014-04-07;G;Montréal, v;344;;20;401;0;23;43;97;1;69;0;233;8;
377;Bourget;2014-04-07;G;Montréal, v;344;;21;353;0;31;29;76;2;38;2;178;6;
377;Bourget;2014-04-07;G;Montréal, v;344;;22;378;1;23;39;89;9;49;4;214;6;
377;Bourget;2014-04-07;G;Montréal, v;345;;23;369;1;20;52;82;1;57;1;214;0;
377;Bourget;2014-04-07;G;Montréal, v;345;;24;369;0;20;29;85;4;39;2;179;2;
377;Bourget;2014-04-07;G;Montréal, v;345;;25;363;0;11;43;77;6;35;4;176;1;
377;Bourget;2014-04-07;G;Montréal, v;345;;26;403;0;12;95;57;2;45;3;214;5;
377;Bourget;2014-04-07;G;Montréal, v;345;;27;372;0;15;58;73;1;45;2;194;1;
