Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bissonnette Marc B.P.;Breton Daniel P.Q.;Klisko Anna P.L.Q./Q.L.P.;Lachapelle Serge P.M.L.Q.;Massé Manon Q.S.;Payne Nic O.N. - P.I.Q.;Thauvette Patrick C.A.Q.-É.F.L.;Wiseman Stewart P.V.Q./G.P.Q.;B.V.;B.R.;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;1;326;1;44;31;0;67;0;22;4;169;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;2;394;0;69;22;0;59;2;21;4;177;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;3;301;1;51;41;0;38;2;18;1;152;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;4;301;0;52;25;0;79;4;13;2;175;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;5;290;1;55;21;0;73;0;15;3;168;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;6;299;2;69;29;0;74;2;12;1;189;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;7;354;0;53;21;0;94;6;13;1;188;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;8;303;4;44;30;0;89;1;16;3;187;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;159;;9;296;0;47;29;1;75;5;17;1;175;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;10;285;1;39;28;0;72;1;14;5;160;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;11;294;4;46;16;0;63;1;15;2;147;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;12;269;1;26;36;0;69;4;14;2;152;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;13;323;0;47;29;0;62;3;22;5;168;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;14;288;0;44;36;0;59;3;19;3;164;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;15;282;1;37;24;1;54;2;11;3;133;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;16;312;2;40;23;0;75;3;15;4;162;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;17;361;3;48;29;0;80;0;14;1;175;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;160;;18;301;2;46;28;0;32;0;14;2;124;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;19;298;2;49;30;0;46;3;14;1;145;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;20;303;0;42;36;0;70;2;16;4;170;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;21;324;1;56;20;1;87;3;14;2;184;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;22;281;1;44;26;1;78;2;24;3;179;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;23;313;4;39;25;1;58;3;20;2;152;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;24;285;1;38;41;0;45;3;26;2;156;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;25;308;0;60;16;0;70;2;11;2;161;3;
