Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alexander Molly Q.S.;Blais Marguerite P.L.Q./Q.L.P.;Boulanger Louis-Philippe C.A.Q.-É.F.L.;Forest Étienne O.N. - P.I.Q.;Fournier Véronique P.Q.;Kruzynski Anna P.N.;Sanchez Jairo Gaston B.P.;Sweeney Sharon P.V.Q./G.P.Q.;B.V.;B.R.;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;1;294;13;113;27;0;46;0;1;4;204;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;2;299;2;124;20;1;16;0;0;0;163;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;3;412;12;89;30;2;30;3;1;3;170;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;4;294;13;60;15;1;41;0;3;4;137;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;5;300;7;104;19;0;26;1;0;5;162;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;6;296;13;87;13;0;18;0;1;1;133;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;7;305;6;86;12;0;37;2;1;2;146;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;8;307;22;74;13;0;32;0;0;5;146;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;86;;9;292;10;61;31;2;35;1;0;2;142;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;10;300;7;104;14;1;13;2;0;1;142;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;11;296;8;69;24;5;39;2;0;3;150;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;12;292;16;76;18;1;34;1;0;2;148;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;13;301;15;77;11;0;38;1;1;4;147;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;14;299;12;68;17;2;43;0;0;4;146;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;15;314;14;85;16;2;42;0;2;2;163;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;16;290;16;58;19;0;41;0;0;2;136;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;17;295;23;63;21;0;40;6;0;1;154;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;87;;18;305;27;74;24;2;41;1;1;2;172;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;88;;19;277;9;58;14;0;29;1;0;5;116;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;88;;20;278;22;62;23;1;30;2;0;2;142;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;88;;21;265;15;29;20;1;37;0;1;4;107;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;88;;22;275;13;61;23;0;30;2;1;1;131;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;88;;23;240;10;47;5;0;31;2;0;3;98;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;24;294;8;72;26;0;40;1;0;3;150;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;25;266;6;82;11;1;26;2;1;2;131;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;26;305;12;80;21;0;38;1;0;3;155;9;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;27;303;9;66;28;0;58;0;1;3;165;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;28;286;14;53;20;3;78;0;0;1;169;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;89;;29;277;21;57;15;1;42;0;0;5;141;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;30;311;19;45;17;2;52;1;1;2;139;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;31;333;12;51;20;1;52;0;0;6;142;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;32;293;10;42;33;1;57;2;0;0;145;8;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;33;304;22;71;20;5;40;2;1;3;164;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;34;307;12;72;19;0;26;1;1;1;132;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;90;;35;297;17;66;24;0;41;1;0;0;149;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;36;306;15;54;37;0;59;0;0;2;167;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;37;313;19;66;17;1;44;3;2;4;156;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;38;327;22;68;31;1;55;4;0;1;182;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;39;298;18;59;24;4;42;0;0;2;149;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;40;298;11;59;17;0;41;1;1;5;135;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;41;288;17;82;29;0;27;0;0;2;157;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;42;337;23;80;37;2;50;2;0;3;197;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;43;325;16;67;19;0;55;4;2;2;165;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;91;;44;299;20;76;31;1;35;1;1;2;167;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;92;;45;303;15;70;23;1;55;1;1;1;167;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;92;;46;281;10;63;20;1;51;0;0;4;149;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;92;;47;288;12;84;21;1;38;1;1;4;162;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;92;;48;274;15;59;21;0;32;1;1;2;131;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;92;;49;301;14;74;23;0;41;2;0;4;158;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;93;;50;325;23;66;18;1;38;3;1;3;153;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;93;;51;359;30;44;39;3;67;1;1;2;187;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;93;;52;333;20;57;22;3;73;2;0;4;181;3;
