Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Assouline Valérie C.A.Q.-É.F.L.;Céré Pierre P.Q.;Fontecilla Andrés Q.S.;Macrisopoulos Peter P.M.L.Q.;Sklavounos Gerry P.L.Q./Q.L.P.;St-Onge Hugô B.P.;Tessier Jeremy P.V.Q./G.P.Q.;Tremblay Miguel O.N. - P.I.Q.;B.V.;B.R.;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;1;374;7;6;2;0;167;0;2;0;184;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;2;365;1;2;8;2;225;2;2;0;242;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;3;373;2;3;6;0;223;1;1;0;236;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;4;365;9;3;5;1;205;0;2;0;225;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;5;366;4;5;3;2;197;1;3;0;215;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;208;;6;370;7;2;11;2;197;0;2;0;221;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;7;358;3;4;8;1;165;1;2;0;184;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;8;309;4;4;4;2;154;0;5;0;173;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;9;329;2;3;11;0;164;0;2;0;182;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;10;358;2;8;6;2;151;0;5;0;174;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;11;357;8;3;11;2;179;1;1;1;206;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;209;;12;349;3;5;8;0;156;0;1;1;174;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;210;;13;375;6;10;15;0;197;0;3;0;231;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;210;;14;397;2;4;9;2;194;1;1;0;213;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;210;;15;382;2;0;2;1;221;1;1;0;228;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;210;;16;380;5;6;8;1;196;0;3;0;219;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;210;;17;390;7;2;5;1;209;0;3;0;227;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;18;410;6;4;2;0;213;1;3;0;229;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;19A;219;2;4;6;1;73;0;1;0;87;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;19B;221;3;1;2;2;114;0;2;0;124;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;20;395;7;7;11;5;229;0;4;0;263;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;21;397;1;2;11;1;218;0;3;0;236;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;211;;22;412;4;5;19;3;164;1;8;0;204;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;23;352;10;2;15;0;174;3;2;1;207;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;24;363;5;13;18;0;158;3;3;1;201;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;25;382;13;16;31;0;169;1;4;0;234;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;26;354;10;3;14;4;148;1;1;0;181;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;27;367;5;6;28;3;117;3;7;0;169;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;28;357;1;9;24;1;144;0;4;0;183;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;212;;29;397;2;5;19;0;161;0;4;0;191;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;213;;30;355;5;6;12;1;156;0;1;2;183;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;213;;31;353;5;3;18;0;177;0;2;0;205;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;213;;32;346;2;5;12;0;179;1;5;2;206;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;213;;33;342;5;2;13;2;148;0;4;0;174;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;213;;34;337;5;7;14;4;142;0;1;0;173;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;35;389;3;2;7;0;159;1;0;0;172;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;36;403;11;8;17;0;151;0;4;1;192;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;37;414;3;9;24;1;171;0;1;0;209;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;38;393;4;6;31;2;125;1;5;1;175;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;39;381;3;10;24;2;133;1;2;2;177;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;40;398;6;5;46;1;146;1;3;1;209;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;41;386;9;9;17;1;144;1;2;3;186;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;42;414;15;28;55;0;74;1;0;1;174;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;214;;43;427;8;11;33;3;81;1;7;2;146;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;44;334;32;43;54;0;79;0;4;1;213;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;45;332;23;37;53;0;58;0;3;4;178;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;46;376;26;25;72;0;67;1;1;1;193;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;47;365;21;43;98;1;76;0;5;7;251;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;48;365;19;41;97;0;41;2;3;0;203;20;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;49;376;15;61;112;0;53;1;6;1;249;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;50;375;18;65;113;0;46;1;4;5;252;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;51;354;21;28;59;1;61;1;5;4;180;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;215;;52;383;31;32;85;0;51;1;7;2;209;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;Regr. BVO-54;53;0;0;0;0;0;0;0;0;0;0;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;54;495;13;43;92;1;70;1;6;2;228;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;55;376;20;51;124;0;62;3;6;4;270;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;56;373;27;51;218;0;25;1;1;1;324;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;57;381;19;51;121;0;41;2;1;2;237;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;58;367;22;56;115;0;44;0;2;6;245;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;59;378;25;54;82;1;66;2;2;1;233;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;60;367;18;53;102;2;47;3;1;2;228;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;61;380;17;58;77;0;75;0;6;2;235;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;216;;62;302;10;22;64;0;71;1;1;1;170;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;217;;63;409;24;28;45;0;173;2;1;0;273;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;217;;64;342;16;38;63;2;83;0;2;2;206;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;217;;65;367;25;35;64;1;96;0;4;2;227;6;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;217;;66;400;27;46;91;1;79;1;3;4;252;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;217;;67;421;22;61;113;0;82;0;5;1;284;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;68;361;20;42;106;0;28;2;0;9;207;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;69;331;20;54;75;1;34;0;1;2;187;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;70;310;14;60;64;0;46;1;2;5;192;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;71;337;32;40;104;1;54;1;4;2;238;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;72;326;10;58;89;0;41;1;6;4;209;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;73;313;13;53;79;1;38;0;2;4;190;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;74;322;23;56;93;0;37;0;3;0;212;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;218;;75;311;21;77;77;0;23;1;1;2;202;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;76;368;24;65;97;0;47;2;3;6;244;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;77;350;30;53;69;0;50;0;2;5;209;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;78;351;34;52;88;0;59;1;4;1;239;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;79;338;19;70;76;0;55;0;2;3;225;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;80;364;30;66;84;0;53;1;6;2;242;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;81;311;19;39;76;1;52;1;2;0;190;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;Regr. BVO-83;82;0;0;0;0;0;0;0;0;0;0;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;83;392;31;54;77;1;53;3;3;2;224;11;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;219;;84;391;17;50;48;1;85;1;4;0;206;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;85;335;33;57;93;0;41;0;3;1;228;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;86;353;27;56;85;1;50;5;0;1;225;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;87;351;32;56;90;0;44;0;2;1;225;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;88;382;24;60;103;0;45;3;2;2;239;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;89;398;32;39;89;1;46;1;5;4;217;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;90;369;21;33;72;0;45;0;7;4;182;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;91;370;15;31;56;0;81;2;3;1;189;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;92;400;24;55;113;0;41;1;7;1;242;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;93;392;16;36;85;2;50;1;3;2;195;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;94;387;23;32;113;1;38;2;1;2;212;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;95;390;26;33;120;1;33;1;3;3;220;1;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;96;382;12;37;128;0;40;1;3;3;224;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;220;;97;361;25;26;98;0;38;1;2;1;191;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;98;371;21;39;111;0;49;0;5;2;227;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;99;384;19;45;121;0;38;2;3;5;233;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;100;356;17;44;83;0;57;1;4;0;206;7;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;101;325;17;37;106;0;55;0;2;1;218;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;102;349;17;29;116;0;30;2;3;3;200;5;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;Regr. BVO-104;103;0;0;0;0;0;0;0;0;0;0;0;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;104;440;22;40;78;0;47;0;6;2;195;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;105;347;17;31;59;0;63;0;1;1;172;3;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;106;355;12;34;72;0;67;1;1;0;187;4;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;107;362;15;21;43;1;62;1;3;3;149;6;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;221;;108;336;16;30;75;0;45;0;2;2;170;6;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;222;;109;396;24;34;100;0;70;1;8;2;239;2;
423;Laurier-Dorion;2014-04-07;G;Montréal, v;222;;110;403;33;57;105;1;37;3;3;1;240;2;
