Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dagenais Gabriel Q.S.;Lacroix Christian P.L.Q./Q.L.P.;Pagé Sylvain P.Q.;Remy-Quevedo Cedrick C.A.Q.-É.F.L.;Richard-Léonard Philippe O.N. - P.I.Q.;B.V.;B.R.;
545;Labelle;2014-04-07;G;Sainte-Anne-du-Lac, m;1;;1;255;8;41;57;29;3;138;4;
545;Labelle;2014-04-07;G;Sainte-Anne-du-Lac, m;1;;2;246;19;28;61;37;0;145;3;
545;Labelle;2014-04-07;G;Mont-Saint-Michel, m;1;;3;249;14;22;61;45;1;143;4;
545;Labelle;2014-04-07;G;Mont-Saint-Michel, m;1;;4;248;8;19;69;18;1;115;4;
545;Labelle;2014-04-07;G;Lac-Saint-Paul, m;1;;5;404;22;37;102;69;1;231;1;
545;Labelle;2014-04-07;G;Chute-Saint-Philippe, m;1;;6;371;15;51;99;63;4;232;3;
545;Labelle;2014-04-07;G;Chute-Saint-Philippe, m;1;;7;379;25;41;108;55;3;232;2;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;8;370;19;26;94;37;1;177;4;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;9;392;13;28;86;39;1;167;5;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;10;419;18;32;60;20;3;133;3;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;Regr. BVO-10;11;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;12;366;11;27;67;36;2;143;5;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;13;363;11;37;55;39;1;143;4;
545;Labelle;2014-04-07;G;Ferme-Neuve, m;1;;14;350;19;36;73;33;3;164;2;
545;Labelle;2014-04-07;G;Saint-Aimé-du-Lac-des-Îles, m;1;;15;319;15;40;77;37;3;172;4;
545;Labelle;2014-04-07;G;Saint-Aimé-du-Lac-des-Îles, m;1;;16;319;14;36;85;37;1;173;4;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;17;408;22;30;92;40;0;184;9;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;18;387;4;29;86;40;0;159;5;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;19;519;11;32;61;42;0;146;1;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;20;376;14;30;74;32;1;151;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;21;382;19;20;104;49;0;192;6;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;22;359;13;35;68;43;0;159;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;23;370;15;22;67;36;0;140;6;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;24;365;23;37;76;59;1;196;5;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;25;391;13;37;78;47;2;177;6;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;26;359;25;24;58;39;2;148;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;27;411;15;35;84;44;1;179;9;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;28;386;15;34;86;39;1;175;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;;29;394;14;43;75;38;0;170;1;
545;Labelle;2014-04-07;G;Mont-Laurier, v;1;Regr. BVO-19;30;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;31;360;13;27;67;25;0;132;1;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;32;363;10;39;49;26;1;125;0;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;33;382;23;23;44;21;0;111;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;Regr. BVO-35;34;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;35;423;17;15;32;24;0;88;1;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;36;356;10;21;59;17;1;108;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;37;355;17;28;52;24;1;122;2;
545;Labelle;2014-04-07;G;Mont-Laurier, v;2;;38;378;19;25;79;28;2;153;7;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;39;420;21;38;76;32;0;167;4;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;40;384;19;46;55;39;3;162;2;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;41;394;8;36;83;38;4;169;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;42;409;20;34;85;35;0;174;3;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;Regr. BVO-44;43;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;44;486;13;31;66;33;2;145;2;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;45;404;19;45;105;41;1;211;7;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;46;405;20;39;74;45;0;178;8;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;47A;213;9;12;32;12;0;65;1;
545;Labelle;2014-04-07;G;Mont-Laurier, v;3;;47B;216;3;20;59;33;1;116;2;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;48;370;15;34;91;47;3;190;2;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;49;356;16;39;69;56;3;183;3;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;50;376;15;42;93;45;1;196;6;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;51;356;14;38;81;59;4;196;10;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;52;396;25;62;104;53;1;245;3;
545;Labelle;2014-04-07;G;Lac-des-Écorces, m;1;;53;367;21;41;99;42;0;203;4;
545;Labelle;2014-04-07;G;Kiamika, m;1;;54;320;8;49;52;36;2;147;4;
545;Labelle;2014-04-07;G;Kiamika, m;1;;55;322;11;58;74;42;0;185;2;
545;Labelle;2014-04-07;G;Notre-Dame-de-Pontmain, m;1;;56;314;8;30;63;28;0;129;2;
545;Labelle;2014-04-07;G;Notre-Dame-de-Pontmain, m;1;;57;346;6;32;52;36;0;126;4;
545;Labelle;2014-04-07;G;Notre-Dame-du-Laus, m;1;;58;318;4;45;32;45;0;126;0;
545;Labelle;2014-04-07;G;Notre-Dame-du-Laus, m;1;;59;309;5;44;56;31;0;136;1;
545;Labelle;2014-04-07;G;Notre-Dame-du-Laus, m;1;;60;320;3;50;45;15;0;113;1;
545;Labelle;2014-04-07;G;Notre-Dame-du-Laus, m;1;;61;317;7;38;49;39;0;133;4;
545;Labelle;2014-04-07;G;Lac-du-Cerf, m;1;;62;368;8;47;86;31;1;173;1;
545;Labelle;2014-04-07;G;Nominingue, m;1;;63;351;16;35;99;39;0;189;5;
545;Labelle;2014-04-07;G;Nominingue, m;1;;64;359;9;36;96;33;0;174;2;
545;Labelle;2014-04-07;G;Nominingue, m;1;;65;343;16;28;72;53;0;169;2;
545;Labelle;2014-04-07;G;Nominingue, m;1;;66;358;10;35;79;52;0;176;5;
545;Labelle;2014-04-07;G;Nominingue, m;1;;67;352;25;34;72;47;2;180;1;
545;Labelle;2014-04-07;G;Lac-Saguay, vl;1;;68;410;17;52;116;61;4;250;6;
545;Labelle;2014-04-07;G;L'Ascension, m;1;;69;343;8;45;88;47;0;188;3;
545;Labelle;2014-04-07;G;L'Ascension, m;1;;70;343;9;29;98;41;0;177;1;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;71;365;14;41;65;41;3;164;2;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;72;373;8;48;68;48;0;172;7;
