Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dean Marc P.Q.;Fillion Mathieu O.N. - P.I.Q.;Huot Patrick P.L.Q./Q.L.P.;Lévesque Sylvain C.A.Q.-É.F.L.;Martin Jean-Alex É.A.P. - P.C.Q.;Voisine Monique Q.S.;B.V.;B.R.;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;1A;236;9;1;41;62;2;4;119;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;1B;256;12;1;69;63;2;0;147;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;2;340;16;0;72;98;0;8;194;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;3;97;4;0;22;20;1;2;49;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;4;323;28;1;55;71;2;5;162;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;5;318;27;1;75;68;4;6;181;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;6;317;20;2;70;95;3;8;198;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;7;292;14;2;58;76;1;6;157;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;8;315;17;0;95;66;2;2;182;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;9;316;30;2;56;91;1;7;187;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;49;;10;297;16;5;60;69;2;9;161;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;11;276;20;0;60;58;3;6;147;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;12;292;35;0;54;63;2;14;168;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;13;313;13;3;87;80;8;3;194;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;14A;200;14;1;37;62;0;3;117;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;14B;230;13;1;61;68;0;4;147;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;15A;229;7;1;58;45;0;5;116;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;15B;213;11;0;44;40;2;3;100;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;16;321;17;0;80;72;4;9;182;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;17;305;14;1;56;76;1;8;156;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;18;310;13;0;76;79;0;4;172;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;19;355;15;0;53;100;5;14;187;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;20;375;19;2;96;94;3;4;218;2;
