Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgeois Guy P.L.Q./Q.L.P.;Dufour Valérie Q.S.;Larouche Élizabeth P.Q.;Martel Sylvain C.A.Q.-É.F.L.;Perron-Tellier Maxym É.A.P. - P.C.Q.;Trudel Richard O.N. - P.I.Q.;B.V.;B.R.;
579;Abitibi-Est;2014-04-07;G;Senneterre, p;1;;1;327;53;8;42;26;0;0;129;3;
579;Abitibi-Est;2014-04-07;G;Senneterre, p;1;;2;307;49;7;36;32;4;0;128;4;
579;Abitibi-Est;2014-04-07;G;Senneterre, p;1;;3;386;46;20;56;34;0;2;158;1;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;1;;4;315;32;10;52;19;2;2;117;3;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;1;;5;278;42;16;37;12;2;2;111;5;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;1;;6;306;36;6;36;21;2;2;103;3;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;;7;268;38;11;23;30;0;1;103;4;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;;8;331;58;6;49;22;0;2;137;1;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;;9;259;29;6;33;20;0;0;88;6;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;;10;249;39;11;20;14;0;1;85;0;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;;11;274;34;12;52;22;1;1;122;4;
579;Abitibi-Est;2014-04-07;G;Senneterre, v;2;Regr. BVO-11;12;0;0;0;0;0;0;0;0;0;
579;Abitibi-Est;2014-04-07;G;Belcourt, m;1;;13;188;31;5;48;13;0;3;100;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;1;;14;313;46;11;54;49;1;4;165;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;1;;15A;240;50;9;40;36;0;1;136;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;1;;15B;247;77;13;28;35;4;1;158;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;1;;16;340;75;17;40;40;1;1;174;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;1;;17;345;55;12;58;54;7;0;186;11;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;2;;18;261;40;13;59;25;2;2;141;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;2;;19;180;35;7;34;23;1;3;103;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;2;;20;300;58;13;40;47;0;0;158;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;21;315;44;25;43;29;2;2;145;4;
