Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastien Serge P.L.Q./Q.L.P.;Camirand Ghislaine Q.S.;Gendron François P.Q.;Racine Nadia C.A.Q.-É.F.L.;Vézeau Grégory O.N. - P.I.Q.;B.V.;B.R.;
573;Abitibi-Ouest;2014-04-07;G;Saint-Lambert, p;1;;1;158;28;9;37;14;3;91;1;
573;Abitibi-Ouest;2014-04-07;G;Normétal, m;1;;2;230;32;12;50;24;3;121;1;
573;Abitibi-Ouest;2014-04-07;G;Normétal, m;1;;3;214;33;6;69;9;3;120;0;
573;Abitibi-Ouest;2014-04-07;G;Normétal, m;1;;4;199;29;15;42;18;3;107;2;
573;Abitibi-Ouest;2014-04-07;G;Clermont, ct;1;;5;199;27;11;38;20;2;98;2;
573;Abitibi-Ouest;2014-04-07;G;Clermont, ct;1;;6;173;22;7;33;17;2;81;2;
573;Abitibi-Ouest;2014-04-07;G;Val-Saint-Gilles, m;1;;7;133;29;2;32;11;2;76;0;
573;Abitibi-Ouest;2014-04-07;G;Rivière-Ojima, no;1;;8;33;8;0;8;6;0;22;0;
573;Abitibi-Ouest;2014-04-07;G;Rivière-Ojima, no;1;;9;40;1;1;11;2;2;17;2;
573;Abitibi-Ouest;2014-04-07;G;Chazel, m;1;;10;221;37;4;39;25;1;106;0;
573;Abitibi-Ouest;2014-04-07;G;Authier-Nord, m;1;;11;221;36;6;60;17;4;123;1;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;12;280;39;7;43;14;3;106;0;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;13;349;44;17;42;35;6;144;1;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;14;278;39;7;47;15;10;118;2;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;15;208;24;3;20;12;4;63;5;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;16;273;33;5;61;20;7;126;2;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;17;204;30;6;29;19;1;85;4;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;18;241;47;7;51;21;7;133;1;
573;Abitibi-Ouest;2014-04-07;G;Macamic, v;1;;19;277;45;5;62;34;2;148;3;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;20;285;38;8;66;26;5;143;3;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;21;307;32;4;41;31;3;111;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;22;257;31;15;59;20;7;132;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;23;245;27;4;55;23;4;113;2;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;24;259;33;1;45;24;7;110;5;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;25;280;39;7;40;18;7;111;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;26;264;29;6;20;17;2;74;5;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;27;329;35;11;58;26;6;136;1;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;28;273;33;7;57;19;4;120;0;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;29;473;42;9;60;26;6;143;3;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;30;238;29;6;39;17;2;93;8;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;1;;31;308;36;4;81;23;5;149;0;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;32;301;53;10;49;17;9;138;3;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;33;308;47;5;62;20;3;137;7;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;34;293;41;5;57;29;9;141;0;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;35;236;28;5;41;20;5;99;3;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;36;283;40;7;62;15;8;132;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;37;221;21;3;30;8;2;64;2;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;38;280;35;7;47;19;7;115;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;39;231;28;4;39;6;2;79;4;
573;Abitibi-Ouest;2014-04-07;G;La Sarre, v;2;;40;260;21;10;43;26;2;102;5;
573;Abitibi-Ouest;2014-04-07;G;Dupuy, m;1;;41;209;31;10;38;19;4;102;4;
573;Abitibi-Ouest;2014-04-07;G;Dupuy, m;1;;42;201;33;5;51;13;4;106;4;
573;Abitibi-Ouest;2014-04-07;G;Dupuy, m;1;;43;310;50;8;61;34;4;157;2;
573;Abitibi-Ouest;2014-04-07;G;La Reine, m;1;;44;267;63;5;47;29;7;151;2;
573;Abitibi-Ouest;2014-04-07;G;Clerval, m;1;;45;303;47;11;88;20;3;169;2;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Hélène-de-Mancebourg, p;1;;46;282;39;11;99;24;2;175;4;
573;Abitibi-Ouest;2014-04-07;G;Roquemaure, m;1;;47;160;21;7;50;11;3;92;1;
573;Abitibi-Ouest;2014-04-07;G;Roquemaure, m;1;;48;151;23;5;47;19;1;95;1;
573;Abitibi-Ouest;2014-04-07;G;Gallichan, m;1;;49;358;55;18;83;38;12;206;9;
573;Abitibi-Ouest;2014-04-07;G;Palmarolle, m;1;;50;316;37;13;70;31;7;158;4;
573;Abitibi-Ouest;2014-04-07;G;Palmarolle, m;1;;51;264;43;5;40;27;6;121;4;
573;Abitibi-Ouest;2014-04-07;G;Palmarolle, m;1;;52;328;65;11;65;27;9;177;4;
573;Abitibi-Ouest;2014-04-07;G;Palmarolle, m;1;;53;235;25;8;60;24;5;122;2;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Germaine-Boulé, m;1;;54;229;45;9;60;26;2;142;2;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Germaine-Boulé, m;1;;55;257;32;14;91;24;5;166;3;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Germaine-Boulé, m;1;;56;228;33;5;53;10;4;105;2;
573;Abitibi-Ouest;2014-04-07;G;Duparquet, v;1;;57;243;50;9;62;17;2;140;2;
573;Abitibi-Ouest;2014-04-07;G;Duparquet, v;1;;58;284;75;11;67;29;0;182;2;
573;Abitibi-Ouest;2014-04-07;G;Rapide-Danseur, m;1;;59;253;23;22;69;27;2;143;3;
573;Abitibi-Ouest;2014-04-07;G;Poularies, m;1;;60;254;47;5;56;28;3;139;2;
573;Abitibi-Ouest;2014-04-07;G;Poularies, m;1;;61;244;42;2;63;20;3;130;6;
573;Abitibi-Ouest;2014-04-07;G;Authier, m;1;;62;233;31;5;58;24;8;126;6;
573;Abitibi-Ouest;2014-04-07;G;Taschereau, m;1;;63;278;32;5;46;20;3;106;0;
573;Abitibi-Ouest;2014-04-07;G;Taschereau, m;1;;64;244;33;10;49;22;3;117;2;
573;Abitibi-Ouest;2014-04-07;G;Taschereau, m;1;;65;243;35;5;42;17;1;100;0;
573;Abitibi-Ouest;2014-04-07;G;Launay, ct;1;;66;195;28;14;42;10;2;96;4;
573;Abitibi-Ouest;2014-04-07;G;Lac-Chicobi, no;1;;67;116;17;5;33;14;1;70;2;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Gertrude-Manneville, m;1;;68;334;56;8;77;32;8;181;5;
573;Abitibi-Ouest;2014-04-07;G;Sainte-Gertrude-Manneville, m;1;;69;243;36;14;52;19;3;124;0;
573;Abitibi-Ouest;2014-04-07;G;Preissac, m;1;;70;347;47;7;74;32;6;166;3;
573;Abitibi-Ouest;2014-04-07;G;Preissac, m;1;;71;321;76;12;62;46;2;198;6;
573;Abitibi-Ouest;2014-04-07;G;La Motte, m;1;;72;367;47;10;82;22;10;171;5;
573;Abitibi-Ouest;2014-04-07;G;Saint-Mathieu-d'Harricana, m;1;;73;256;55;18;61;16;9;159;1;
573;Abitibi-Ouest;2014-04-07;G;Saint-Mathieu-d'Harricana, m;1;;74;291;60;7;64;23;1;155;5;
573;Abitibi-Ouest;2014-04-07;G;Pikogan, ri;1;;75;324;84;4;6;9;1;104;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;76;316;64;13;51;21;0;149;6;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;77;371;69;5;76;25;6;181;4;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;78;330;55;6;63;21;9;154;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;79;424;51;5;36;18;0;110;1;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;80;269;51;5;38;13;2;109;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;81;285;64;3;43;11;4;125;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;82;257;43;9;45;11;6;114;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;83;205;41;9;33;16;2;101;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;1;;84;268;38;11;34;10;4;97;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;85;222;34;3;50;10;2;99;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;86;228;27;9;52;11;1;100;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;87;251;39;13;33;8;2;95;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;88;285;41;7;44;8;5;105;4;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;89;282;34;8;35;10;3;90;1;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;90;264;41;4;36;14;4;99;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;2;;91;303;72;16;42;19;5;154;4;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;92;276;41;3;41;15;2;102;7;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;93;327;56;7;56;22;7;148;2;
