Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abitbol Évelyne P.Q.;Boivin Julie O.N. - P.I.Q.;Breton Yvon P.M.L.Q.;Dick Geneviève Q.S.;Nyaburerwa Alix P.V.Q./G.P.Q.;Pourreaux Serge C.A.Q.-É.F.L.;St-Pierre Christine P.L.Q./Q.L.P.;B.V.;B.R.;
437;Acadie;2014-04-07;G;Montréal, v;225;;1;324;9;0;0;7;1;10;88;115;1;
437;Acadie;2014-04-07;G;Montréal, v;225;;2;312;5;0;0;2;1;6;141;155;0;
437;Acadie;2014-04-07;G;Montréal, v;225;;3;341;7;0;2;3;1;15;135;163;3;
437;Acadie;2014-04-07;G;Montréal, v;225;;4;335;6;1;1;7;4;10;164;193;0;
437;Acadie;2014-04-07;G;Montréal, v;225;;5;324;15;0;0;18;6;23;141;203;2;
437;Acadie;2014-04-07;G;Montréal, v;225;;6;342;32;2;0;12;6;22;112;186;2;
437;Acadie;2014-04-07;G;Montréal, v;225;;7;339;25;1;0;22;3;28;114;193;1;
437;Acadie;2014-04-07;G;Montréal, v;226;;8;332;4;2;1;7;4;4;140;162;2;
437;Acadie;2014-04-07;G;Montréal, v;226;;9;345;26;0;1;23;3;18;123;194;1;
437;Acadie;2014-04-07;G;Montréal, v;226;;10;576;24;0;0;9;3;9;129;174;1;
437;Acadie;2014-04-07;G;Montréal, v;226;;11;516;15;3;1;10;1;22;130;182;4;
437;Acadie;2014-04-07;G;Montréal, v;226;;12;342;18;1;0;4;2;13;150;188;3;
437;Acadie;2014-04-07;G;Montréal, v;226;;13;346;10;1;0;10;2;17;147;187;2;
437;Acadie;2014-04-07;G;Montréal, v;226;;14;345;14;0;0;8;1;15;168;206;1;
437;Acadie;2014-04-07;G;Montréal, v;227;;15;343;12;0;0;8;3;11;172;206;1;
437;Acadie;2014-04-07;G;Montréal, v;227;;16;328;14;1;0;11;3;14;153;196;1;
437;Acadie;2014-04-07;G;Montréal, v;227;;17;346;11;0;1;7;5;16;176;216;0;
