Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bertrand Clotilde Q.S.;Chouinard Nicole C.A.Q.-É.F.L.;Cloutier Samuel O.N. - P.I.Q.;Dupré Serge M.P.Q.;Lefebvre Rouge P.V.Q./G.P.Q.;Richer Roland P.Q.;St-Denis Yves P.L.Q./Q.L.P.;B.V.;B.R.;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;1;379;4;63;1;0;1;62;66;197;2;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;2;359;5;43;0;0;0;38;54;140;1;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;3;382;4;33;1;0;3;34;90;165;2;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;4;380;5;30;0;0;1;63;61;160;3;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;5;385;5;28;0;0;4;62;55;154;1;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;6;386;5;35;1;0;1;54;54;150;5;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;7;380;7;27;2;0;0;65;38;139;1;
535;Argenteuil;2014-04-07;G;Lachute, v;1;;8;578;2;20;2;0;1;52;54;131;3;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;9;356;3;19;0;0;1;57;48;128;3;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;10;458;6;38;1;0;1;66;69;181;2;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;11;374;1;37;1;1;2;48;31;121;0;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;12;357;3;30;0;1;1;41;43;119;4;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;13;372;11;26;0;0;3;67;36;143;1;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;14;373;4;21;0;0;0;42;35;102;2;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;15;374;2;24;0;0;2;46;47;121;5;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;16;361;6;33;1;2;2;66;42;152;2;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;17;362;2;30;1;1;1;50;35;120;2;
535;Argenteuil;2014-04-07;G;Lachute, v;2;;18;385;5;42;0;0;4;51;40;142;8;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;19;384;3;33;1;0;4;59;51;151;5;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;20;366;8;42;1;0;1;42;45;139;1;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;21;369;8;40;0;1;1;43;56;149;2;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;22;352;7;14;1;0;1;52;46;121;1;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;23;363;6;21;0;0;1;52;46;126;0;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;24;351;3;30;0;0;2;57;46;138;1;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;25;359;7;40;0;0;1;62;38;148;3;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;26;358;4;44;1;0;2;61;53;165;0;
535;Argenteuil;2014-04-07;G;Lachute, v;3;;27;371;3;35;0;0;3;57;56;154;1;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;28;367;6;53;1;0;3;47;90;200;1;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;29;371;7;49;1;1;2;51;27;138;3;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;30;369;7;37;1;2;5;65;48;165;5;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;31;355;10;51;0;1;2;88;71;223;6;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;32;356;10;54;0;0;3;84;61;212;2;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;33;360;6;56;0;0;4;89;52;207;6;
535;Argenteuil;2014-04-07;G;Saint-André-d'Argenteuil, m;1;;34;350;7;58;0;0;3;72;44;184;3;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;35;370;1;45;1;0;1;57;54;159;3;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;36;366;0;30;0;0;3;56;40;129;4;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;37;363;6;32;0;0;0;66;44;148;4;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;38;380;13;38;2;1;2;60;57;173;6;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;39;366;2;40;0;0;2;56;79;179;2;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;40;366;11;44;0;0;4;39;78;176;2;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;41;360;10;45;1;1;0;52;45;154;3;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;42;371;13;30;0;1;1;40;58;143;1;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;43;393;9;26;1;0;2;50;61;149;6;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;1;;44;373;4;17;0;0;3;39;97;160;0;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;2;;45;363;5;46;2;1;3;40;56;153;4;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;2;;46;391;7;43;1;0;1;42;69;163;2;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;2;;47;353;3;24;0;1;1;37;50;116;3;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;2;;48;355;4;35;0;0;4;33;71;147;2;
535;Argenteuil;2014-04-07;G;Brownsburg-Chatham, v;2;;49;364;2;37;0;0;3;58;55;155;6;
535;Argenteuil;2014-04-07;G;Grenville, vl;1;;50;321;5;19;0;0;3;27;65;119;3;
535;Argenteuil;2014-04-07;G;Grenville, vl;1;;51;332;8;39;0;1;4;29;74;155;2;
535;Argenteuil;2014-04-07;G;Grenville, vl;1;;52;329;2;49;0;2;4;25;70;152;3;
