Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dastous Luc P.L.Q./Q.L.P.;Fillion François P.V.Q./G.P.Q.;Landry Jean É.A.P. - P.C.Q.;Letendre Christine Q.S.;Roy Sylvie C.A.Q.-É.F.L.;St-Arnaud Gaëtan P.Q.;B.V.;B.R.;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;1;378;53;2;1;14;97;35;202;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;2;393;72;0;1;12;124;23;232;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;3A;235;22;0;0;8;49;14;93;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;3B;212;24;0;2;3;56;8;93;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;4A;298;41;0;3;10;94;17;165;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;4B;277;40;1;1;2;96;30;170;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;5;369;71;3;1;12;91;42;220;9;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;6;381;86;1;0;7;120;42;256;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;7;389;80;2;2;9;134;33;260;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;8;372;53;2;4;12;132;29;232;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;9;401;71;2;0;12;127;39;251;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;10;368;47;2;1;11;112;42;215;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;11;381;66;0;1;8;140;38;253;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;12;382;47;5;2;7;145;31;237;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;1;;13;372;61;2;1;13;127;36;240;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;14;378;54;2;3;16;123;29;227;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;15;359;51;3;4;11;82;54;205;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;16;355;57;2;2;13;110;40;224;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;17;371;63;2;0;17;107;42;231;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;18;369;65;1;2;14;116;48;246;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;19;357;58;4;4;13;95;38;212;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;20A;233;49;6;1;4;58;24;142;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;2;;20B;222;35;1;0;8;71;26;141;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;21;400;48;3;4;19;68;30;172;8;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;22;447;38;0;0;14;76;36;164;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;23;376;41;2;0;17;58;41;159;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;24;352;66;1;1;11;75;20;174;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;25;359;44;1;0;19;97;36;197;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;26;360;49;4;2;11;107;39;212;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;3;;27;349;60;1;0;10;103;32;206;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;28;383;52;1;2;25;115;36;231;8;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;29;376;71;0;0;9;102;49;231;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;30;371;72;0;4;8;103;44;231;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;31;353;42;2;1;10;104;32;191;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;32;390;67;5;4;12;120;31;239;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;33;370;42;2;2;14;66;37;163;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;34;647;60;0;1;14;78;37;190;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;4;;35;375;52;7;1;13;88;41;202;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;36;723;85;1;8;12;84;39;229;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;37;622;68;2;3;13;66;42;194;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;38;487;47;3;3;17;72;42;184;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;39;368;49;0;3;7;61;38;158;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;40;362;62;8;2;12;71;34;189;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;41;404;52;4;1;14;70;40;181;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;5;;42;379;40;1;9;16;51;35;152;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;43;356;55;2;3;11;93;33;197;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;44;358;70;1;1;8;112;38;230;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;45;364;74;10;2;17;87;43;233;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;46;536;71;1;2;10;91;47;222;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;47;407;38;2;1;15;70;32;158;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;48;359;53;0;0;11;87;35;186;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;49;386;61;1;2;17;127;35;243;8;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;50;396;52;1;0;13;127;51;244;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;51A;215;28;4;1;5;68;24;130;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;6;;51B;214;30;1;2;1;76;14;124;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;52;380;48;0;1;10;122;41;222;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;53;367;51;0;5;7;80;39;182;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;54;383;46;1;1;17;120;31;216;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;55;369;64;2;0;16;93;31;206;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;56;374;41;1;1;15;109;26;193;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;57;394;50;1;3;11;113;43;221;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;58A;252;43;0;6;2;84;20;155;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;58B;197;29;1;2;2;63;9;106;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;59;570;56;4;1;8;98;17;184;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;60;356;42;2;1;21;56;20;142;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;7;;61;397;43;1;3;14;73;50;184;2;
