Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Couture Eric É.A.P. - P.C.Q.;Couture José P.L.Q./Q.L.P.;Dumont Mathieu Q.S.;Pouliot-Audet Olivier P.Q.;Roy Benoît Ind;Spénard André C.A.Q.-É.F.L.;Tessier-Moreau Lorenzo O.N. - P.I.Q.;B.V.;B.R.;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;1;292;3;70;3;11;0;80;0;167;0;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;2;377;4;89;7;14;0;88;1;203;0;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;3;308;2;86;5;10;1;89;0;193;2;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;4;314;1;90;6;11;1;116;2;227;1;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;5;306;2;97;2;10;1;91;1;204;0;
309;Beauce-Nord;2014-04-07;G;Saint-Victor, m;1;;6;332;2;99;4;10;0;110;0;225;1;
309;Beauce-Nord;2014-04-07;G;Saint-Alfred, m;1;;7;345;5;78;7;15;2;137;2;246;4;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;8;289;2;42;4;8;1;62;2;121;2;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;9;279;0;45;1;8;0;69;1;124;1;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;10;300;0;54;2;8;0;59;0;123;4;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;11;338;3;46;6;16;0;83;1;155;1;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;12;296;3;66;6;9;0;75;0;159;3;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;13;301;3;51;8;10;0;75;0;147;3;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;14;296;1;42;3;6;0;81;1;134;1;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;15;319;2;54;7;13;1;77;0;154;2;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;1;;16;322;0;55;4;3;0;93;1;156;3;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;17;278;1;45;6;20;0;67;0;139;2;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;18;335;2;64;10;8;0;81;1;166;1;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;19;327;1;44;4;14;1;57;1;122;2;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;20;283;1;48;4;14;0;56;0;123;0;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;21;301;1;52;7;9;1;98;0;168;0;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;22;305;6;50;10;9;0;88;1;164;2;
309;Beauce-Nord;2014-04-07;G;Beauceville, v;2;;23;284;4;42;7;12;0;90;0;155;0;
309;Beauce-Nord;2014-04-07;G;Saint-Odilon-de-Cranbourne, p;1;;24;275;0;61;7;8;0;106;1;183;0;
309;Beauce-Nord;2014-04-07;G;Saint-Odilon-de-Cranbourne, p;1;;25;289;0;70;1;10;1;122;0;204;1;
309;Beauce-Nord;2014-04-07;G;Saint-Odilon-de-Cranbourne, p;1;;26;262;1;63;2;15;0;91;1;173;2;
309;Beauce-Nord;2014-04-07;G;Saint-Odilon-de-Cranbourne, p;1;;27;259;4;60;8;16;0;94;0;182;1;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;28;306;3;37;1;15;0;123;1;180;0;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;29;293;2;31;1;11;1;114;1;161;0;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;30;336;3;35;6;11;0;89;0;144;2;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;31;339;4;37;1;7;0;116;1;166;0;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;32;314;0;44;3;10;0;109;0;166;0;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;33;324;1;24;1;1;1;72;0;100;4;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;34;325;1;43;3;5;0;112;0;164;1;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;35;360;6;41;5;10;0;129;0;191;1;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;36;333;0;68;4;13;0;116;0;201;1;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;37;328;1;55;4;6;1;111;0;178;1;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-de-Beauce, v;1;;38;366;4;50;1;8;0;128;0;191;3;
309;Beauce-Nord;2014-04-07;G;Saint-Joseph-des-Érables, m;1;;39;300;6;49;2;11;2;106;0;176;0;
309;Beauce-Nord;2014-04-07;G;Saint-Jules, p;1;;40;200;1;63;2;5;1;82;0;154;1;
309;Beauce-Nord;2014-04-07;G;Saint-Jules, p;1;;41;187;0;54;2;10;0;73;0;139;2;
309;Beauce-Nord;2014-04-07;G;Tring-Jonction, vl;1;;42;286;0;69;3;12;0;108;1;193;3;
309;Beauce-Nord;2014-04-07;G;Tring-Jonction, vl;1;;43;283;0;104;3;8;1;91;0;207;3;
309;Beauce-Nord;2014-04-07;G;Tring-Jonction, vl;1;;44;264;2;99;2;4;0;81;0;188;0;
309;Beauce-Nord;2014-04-07;G;Tring-Jonction, vl;1;;45;294;1;86;1;8;0;113;0;209;0;
309;Beauce-Nord;2014-04-07;G;Saint-Frédéric, p;1;;46;277;4;60;4;8;0;122;0;198;2;
309;Beauce-Nord;2014-04-07;G;Saint-Frédéric, p;1;;47;251;1;69;8;11;0;79;0;168;0;
309;Beauce-Nord;2014-04-07;G;Saint-Frédéric, p;1;;48;269;0;63;3;9;0;94;0;169;1;
