Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bégin Stéphane É.A.P. - P.C.Q.;Dutil Robert P.L.Q./Q.L.P.;Gagnon Lacroix Alex P.Q.;Genesse Robert Q.R.D.;Paquet Jean M.P.Q.;Poulin Samuel C.A.Q.-É.F.L.;Roy Vanessa O.N. - P.I.Q.;Vincent Diane Q.S.;B.V.;B.R.;
293;Beauce-Sud;2014-04-07;G;Saint-Zacharie, m;1;;1;342;5;80;19;5;1;78;3;6;197;9;
293;Beauce-Sud;2014-04-07;G;Saint-Zacharie, m;1;;2;379;4;117;12;2;0;82;1;5;223;5;
293;Beauce-Sud;2014-04-07;G;Saint-Zacharie, m;1;;3;372;3;118;16;0;1;85;0;3;226;2;
293;Beauce-Sud;2014-04-07;G;Saint-Zacharie, m;1;;4;354;0;84;15;1;1;112;2;2;217;6;
293;Beauce-Sud;2014-04-07;G;Sainte-Aurélie, m;1;;5;317;3;110;11;0;0;76;1;6;207;1;
293;Beauce-Sud;2014-04-07;G;Sainte-Aurélie, m;1;;6;345;2;95;15;2;0;92;0;7;213;1;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;7;393;0;63;16;0;1;87;0;6;173;2;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;8;402;3;73;8;2;0;113;0;2;201;2;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;9;384;1;78;9;1;0;88;1;4;182;4;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;10;399;0;108;13;2;3;65;2;3;196;5;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;11A;217;0;24;5;0;0;30;0;2;61;0;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;11B;218;2;47;4;2;0;50;1;3;109;1;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;12;371;3;84;14;2;0;81;1;3;188;0;
293;Beauce-Sud;2014-04-07;G;Saint-Prosper, m;1;;13;408;0;103;12;4;0;77;1;3;200;1;
293;Beauce-Sud;2014-04-07;G;Saint-Benjamin, m;1;;14;376;2;101;10;1;2;111;1;4;232;2;
293;Beauce-Sud;2014-04-07;G;Saint-Benjamin, m;1;;15;384;4;128;24;0;0;84;0;2;242;2;
293;Beauce-Sud;2014-04-07;G;Saint-Simon-les-Mines, m;1;;16;391;4;142;7;1;0;117;0;4;275;1;
293;Beauce-Sud;2014-04-07;G;Notre-Dame-des-Pins, p;1;;17;278;0;86;21;0;0;76;1;4;188;2;
293;Beauce-Sud;2014-04-07;G;Notre-Dame-des-Pins, p;1;;18;416;3;108;11;0;0;85;0;4;211;4;
293;Beauce-Sud;2014-04-07;G;Notre-Dame-des-Pins, p;1;;19;364;1;99;14;1;0;101;2;3;221;2;
293;Beauce-Sud;2014-04-07;G;Saint-Philibert, m;1;;20;279;1;66;15;3;1;93;4;9;192;1;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;21;403;3;97;17;0;0;115;0;1;233;5;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;22;389;1;137;10;3;0;94;2;7;254;2;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;23;441;1;132;11;0;0;114;0;3;261;2;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;24;397;3;124;13;1;1;92;1;11;246;0;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;25;397;1;131;12;2;2;89;0;5;242;1;
293;Beauce-Sud;2014-04-07;G;Saint-Côme--Linière, m;1;;26;422;1;114;12;2;0;111;1;1;242;6;
293;Beauce-Sud;2014-04-07;G;Saint-René, p;1;;27;279;3;57;16;1;0;100;1;1;179;2;
293;Beauce-Sud;2014-04-07;G;Saint-René, p;1;;28;255;2;79;22;3;1;54;0;3;164;1;
293;Beauce-Sud;2014-04-07;G;Saint-Théophile, m;1;;29;298;3;106;23;1;0;80;1;1;215;0;
293;Beauce-Sud;2014-04-07;G;Saint-Théophile, m;1;;30;247;2;80;10;0;0;79;0;4;175;1;
293;Beauce-Sud;2014-04-07;G;Saint-Robert-Bellarmin, m;1;;31;240;3;75;8;2;1;45;1;1;136;1;
293;Beauce-Sud;2014-04-07;G;Saint-Robert-Bellarmin, m;1;;32;238;4;58;9;0;1;52;1;1;126;4;
293;Beauce-Sud;2014-04-07;G;Saint-Ludger, m;1;;33;302;1;69;27;0;0;64;0;7;168;0;
293;Beauce-Sud;2014-04-07;G;Saint-Ludger, m;1;;34;281;0;79;22;1;0;76;0;6;184;0;
293;Beauce-Sud;2014-04-07;G;Saint-Ludger, m;1;;35;308;1;93;22;0;0;81;1;6;204;2;
293;Beauce-Sud;2014-04-07;G;Saint-Gédéon-de-Beauce, m;1;;36;392;0;81;13;4;0;71;0;8;177;1;
293;Beauce-Sud;2014-04-07;G;Saint-Gédéon-de-Beauce, m;1;;37;339;0;76;12;1;0;63;2;0;154;3;
293;Beauce-Sud;2014-04-07;G;Saint-Gédéon-de-Beauce, m;1;;38;324;3;59;9;1;1;54;0;0;127;1;
293;Beauce-Sud;2014-04-07;G;Saint-Gédéon-de-Beauce, m;1;;39;393;1;84;11;1;0;81;0;1;179;0;
293;Beauce-Sud;2014-04-07;G;Saint-Gédéon-de-Beauce, m;1;;40;323;2;67;7;0;0;84;0;2;162;1;
293;Beauce-Sud;2014-04-07;G;Saint-Martin, p;1;;41;362;1;85;9;0;0;107;1;4;207;2;
293;Beauce-Sud;2014-04-07;G;Saint-Martin, p;1;;42;390;2;116;16;1;0;102;0;4;241;5;
293;Beauce-Sud;2014-04-07;G;Saint-Martin, p;1;;43;378;3;82;15;0;0;87;0;5;192;1;
293;Beauce-Sud;2014-04-07;G;Saint-Martin, p;1;;44;401;0;82;21;1;1;126;0;4;235;1;
293;Beauce-Sud;2014-04-07;G;Saint-Martin, p;1;;45;378;2;100;17;0;0;101;3;5;228;3;
293;Beauce-Sud;2014-04-07;G;Saint-Honoré-de-Shenley, m;1;;46;401;1;157;15;1;1;79;2;3;259;2;
293;Beauce-Sud;2014-04-07;G;Saint-Honoré-de-Shenley, m;1;;47;390;3;105;8;0;0;99;0;1;216;1;
293;Beauce-Sud;2014-04-07;G;Saint-Honoré-de-Shenley, m;1;;48;391;4;158;12;0;0;75;0;3;252;0;
293;Beauce-Sud;2014-04-07;G;Saint-Hilaire-de-Dorset, p;1;;49;81;0;35;6;0;0;15;0;5;61;0;
293;Beauce-Sud;2014-04-07;G;Courcelles, m;1;;50;336;3;123;16;0;1;71;0;5;219;1;
293;Beauce-Sud;2014-04-07;G;Courcelles, m;1;;51;372;1;141;19;2;1;80;0;2;246;0;
293;Beauce-Sud;2014-04-07;G;Saint-Évariste-de-Forsyth, m;1;;52;190;0;61;1;0;0;44;0;0;106;1;
293;Beauce-Sud;2014-04-07;G;Saint-Évariste-de-Forsyth, m;1;;53;245;0;56;7;1;0;41;0;1;106;1;
293;Beauce-Sud;2014-04-07;G;La Guadeloupe, vl;1;;54;360;0;122;11;0;0;60;0;3;196;1;
293;Beauce-Sud;2014-04-07;G;La Guadeloupe, vl;1;;55;309;0;81;15;1;2;64;0;2;165;2;
293;Beauce-Sud;2014-04-07;G;La Guadeloupe, vl;1;;56;339;1;91;9;0;0;72;1;2;176;4;
293;Beauce-Sud;2014-04-07;G;La Guadeloupe, vl;1;;57;317;1;98;6;1;0;64;1;4;175;5;
293;Beauce-Sud;2014-04-07;G;Saint-Éphrem-de-Beauce, m;1;;58;370;1;119;15;0;0;75;0;6;216;1;
293;Beauce-Sud;2014-04-07;G;Saint-Éphrem-de-Beauce, m;1;;59;372;2;164;0;0;0;122;0;6;294;2;
293;Beauce-Sud;2014-04-07;G;Saint-Éphrem-de-Beauce, m;1;;60;410;4;146;14;0;0;88;1;3;256;3;
293;Beauce-Sud;2014-04-07;G;Saint-Éphrem-de-Beauce, m;1;;61;387;2;138;7;0;0;82;0;1;230;3;
293;Beauce-Sud;2014-04-07;G;Saint-Éphrem-de-Beauce, m;1;;62;405;3;140;15;0;0;104;0;3;265;2;
293;Beauce-Sud;2014-04-07;G;Sainte-Clotilde-de-Beauce, m;1;;63;167;1;65;6;0;0;37;1;4;114;0;
293;Beauce-Sud;2014-04-07;G;Sainte-Clotilde-de-Beauce, m;1;;64;265;1;132;11;2;0;56;3;2;207;1;
293;Beauce-Sud;2014-04-07;G;Lac-Poulin, vl;1;;65;125;0;43;5;0;0;20;0;1;69;0;
293;Beauce-Sud;2014-04-07;G;Saint-Benoît-Labre, m;1;;66;410;1;132;14;0;0;99;2;6;254;1;
293;Beauce-Sud;2014-04-07;G;Saint-Benoît-Labre, m;1;;67;400;1;128;11;0;0;105;3;10;258;5;
293;Beauce-Sud;2014-04-07;G;Saint-Benoît-Labre, m;1;;68;394;0;125;11;3;0;91;3;16;249;5;
293;Beauce-Sud;2014-04-07;G;Saint-Georges, v;1;;69;370;3;76;15;1;1;86;1;4;187;3;
293;Beauce-Sud;2014-04-07;G;Saint-Georges, v;1;;70;375;1;70;9;1;0;97;0;4;182;1;
293;Beauce-Sud;2014-04-07;G;Saint-Georges, v;1;;71;392;4;65;14;0;0;81;1;7;172;1;
293;Beauce-Sud;2014-04-07;G;Saint-Georges, v;1;;72;358;3;88;9;3;0;86;2;2;193;1;
293;Beauce-Sud;2014-04-07;G;Saint-Georges, v;1;;73;402;0;120;14;1;0;87;0;3;225;4;
