Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;1;269;1;0;1;0;44;27;19;0;9;101;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;2;326;2;0;1;0;61;31;37;0;7;139;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;3;282;1;0;1;0;41;36;47;0;11;137;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;4;301;0;0;3;0;63;31;51;2;16;166;7;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;5;325;0;1;2;0;61;36;60;0;6;166;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;6;305;1;0;1;0;39;30;39;0;11;121;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;7;305;0;0;1;2;47;30;49;4;9;142;7;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;8;310;1;0;1;1;56;41;44;2;9;155;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;9;289;2;0;1;1;41;26;31;0;14;116;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;10;318;1;3;2;0;48;34;41;0;10;139;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;11;295;4;0;1;1;36;24;34;0;4;104;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;12;303;4;0;0;0;62;44;40;1;14;165;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;1;;13;261;0;1;6;0;41;41;36;1;3;129;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;14;266;3;0;0;0;54;35;37;1;11;141;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;15;272;1;0;3;0;62;31;26;0;6;129;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;16;274;0;1;1;1;42;35;36;0;9;125;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;17;279;3;0;3;0;51;34;30;1;13;135;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;18;278;2;1;1;0;42;20;40;0;12;118;8;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;19;290;0;0;0;1;48;29;40;0;9;127;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;2;;20;376;1;0;1;0;39;20;20;0;10;91;8;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;3;;21;267;1;0;2;0;68;26;26;1;6;130;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;3;;22;291;2;0;3;1;51;33;32;1;8;131;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;3;;23;271;2;1;1;0;45;25;29;0;8;111;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;3;;24;297;0;0;1;1;51;47;37;1;8;146;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;25;273;0;0;3;0;40;24;19;0;14;100;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;26;300;0;0;1;0;51;39;16;0;3;110;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;27;397;0;0;0;0;47;36;17;1;9;110;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;28;286;2;0;0;0;49;46;29;7;13;146;3;
