Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubin Patrice É.A.P. - P.C.Q.;Comeau Benoit Q.S.;Goupil Linda P.Q.;Lachance Stéphanie C.A.Q.-É.F.L.;Lefebvre Mathilde O.N. - P.I.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.;
303;Bellechasse;2014-04-07;G;Saint-Louis-de-Gonzague, m;1;;1;312;0;5;25;59;0;98;187;2;
303;Bellechasse;2014-04-07;G;Saint-Cyprien, p;1;;2;225;1;1;9;42;0;78;131;1;
303;Bellechasse;2014-04-07;G;Saint-Cyprien, p;1;;3;220;2;4;17;31;0;67;121;0;
303;Bellechasse;2014-04-07;G;Saint-Camille-de-Lellis, p;1;;4;340;3;6;26;61;0;118;214;1;
303;Bellechasse;2014-04-07;G;Saint-Camille-de-Lellis, p;1;;5;350;2;4;26;66;0;121;219;2;
303;Bellechasse;2014-04-07;G;Sainte-Justine, m;1;;6;307;2;4;8;62;1;83;160;5;
303;Bellechasse;2014-04-07;G;Sainte-Justine, m;1;;7;242;1;3;9;31;0;63;107;1;
303;Bellechasse;2014-04-07;G;Sainte-Justine, m;1;;8;278;3;1;17;51;0;70;142;1;
303;Bellechasse;2014-04-07;G;Sainte-Justine, m;1;;9;300;0;2;13;70;1;97;183;1;
303;Bellechasse;2014-04-07;G;Sainte-Justine, m;1;;10;305;0;6;13;43;0;102;164;3;
303;Bellechasse;2014-04-07;G;Sainte-Rose-de-Watford, m;1;;11;265;5;4;16;56;2;72;155;2;
303;Bellechasse;2014-04-07;G;Sainte-Rose-de-Watford, m;1;;12;322;0;7;20;69;0;98;194;1;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;13;368;0;2;18;40;3;61;124;5;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;14;358;0;3;11;55;0;78;147;0;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;15;324;0;3;10;62;0;77;152;2;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;16;284;0;0;13;46;1;85;145;1;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;17;305;2;4;17;33;3;81;140;1;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;18;309;1;1;21;33;0;67;123;1;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;19;296;2;2;14;31;0;80;129;0;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;20;318;0;2;9;62;0;81;154;4;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;21;310;0;1;16;49;0;79;145;0;
303;Bellechasse;2014-04-07;G;Lac-Etchemin, m;1;;22;302;0;5;21;35;0;77;138;1;
303;Bellechasse;2014-04-07;G;Saint-Luc-de-Bellechasse, m;1;;23;180;0;3;22;35;0;63;123;3;
303;Bellechasse;2014-04-07;G;Saint-Luc-de-Bellechasse, m;1;;24;183;0;3;27;30;0;60;120;1;
303;Bellechasse;2014-04-07;G;Sainte-Sabine, p;1;;25;335;2;6;44;67;2;104;225;5;
303;Bellechasse;2014-04-07;G;Saint-Magloire, m;1;;26;281;4;2;29;54;2;82;173;1;
303;Bellechasse;2014-04-07;G;Saint-Magloire, m;1;;27;306;4;1;29;50;1;99;184;2;
303;Bellechasse;2014-04-07;G;Saint-Philémon, p;1;;28;297;4;6;24;68;0;91;193;3;
303;Bellechasse;2014-04-07;G;Saint-Philémon, p;1;;29;306;2;5;26;58;1;115;207;1;
303;Bellechasse;2014-04-07;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;30;328;5;7;17;59;1;115;204;2;
303;Bellechasse;2014-04-07;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;31;337;2;8;33;45;0;132;220;0;
303;Bellechasse;2014-04-07;G;Saint-Nazaire-de-Dorchester, p;1;;32;306;5;7;46;88;0;80;226;1;
303;Bellechasse;2014-04-07;G;Saint-Léon-de-Standon, p;1;;33;321;3;5;32;73;0;100;213;0;
303;Bellechasse;2014-04-07;G;Saint-Léon-de-Standon, p;1;;34;301;1;3;58;40;0;103;205;0;
303;Bellechasse;2014-04-07;G;Saint-Léon-de-Standon, p;1;;35;318;0;5;26;78;0;85;194;0;
303;Bellechasse;2014-04-07;G;Saint-Malachie, p;1;;36;321;3;8;26;64;1;93;195;1;
303;Bellechasse;2014-04-07;G;Saint-Malachie, p;1;;37;318;5;2;29;78;0;89;203;1;
303;Bellechasse;2014-04-07;G;Saint-Malachie, p;1;;38;296;1;1;21;53;0;78;154;0;
303;Bellechasse;2014-04-07;G;Saint-Malachie, p;1;;39;280;1;11;30;44;0;102;188;0;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;40;383;3;3;23;91;1;81;202;1;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;41;333;2;1;33;83;0;98;217;0;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;42;264;4;6;18;61;0;60;149;5;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;43;310;4;0;14;59;0;83;160;1;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;44;303;0;0;17;49;0;111;177;4;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;45;326;2;6;16;79;0;103;206;2;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;46;319;4;5;30;72;0;96;207;1;
303;Bellechasse;2014-04-07;G;Sainte-Claire, m;1;;47;369;0;10;22;91;0;106;229;5;
303;Bellechasse;2014-04-07;G;Saint-Gervais, m;1;;48;308;0;7;21;57;0;103;188;0;
303;Bellechasse;2014-04-07;G;Saint-Gervais, m;1;;49;300;1;1;21;84;1;90;198;3;
303;Bellechasse;2014-04-07;G;Saint-Gervais, m;1;;50;337;1;2;19;54;0;141;217;1;
303;Bellechasse;2014-04-07;G;Saint-Gervais, m;1;;51;304;1;1;22;63;0;115;202;3;
303;Bellechasse;2014-04-07;G;Saint-Gervais, m;1;;52;372;0;9;20;92;0;159;280;1;
303;Bellechasse;2014-04-07;G;Saint-Lazare-de-Bellechasse, m;1;;53;281;5;10;23;63;0;95;196;3;
303;Bellechasse;2014-04-07;G;Saint-Lazare-de-Bellechasse, m;1;;54;330;10;5;25;65;0;128;233;3;
303;Bellechasse;2014-04-07;G;Saint-Lazare-de-Bellechasse, m;1;;55;343;7;5;39;85;1;112;249;4;
