Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baril Pierre P.V.Q./G.P.Q.;Beaudry Louise Q.S.;Bellerose Pierre-Luc P.L.Q./Q.L.P.;Dupré Claude M.P.Q.;Lamarre Francis O.N. - P.I.Q.;Leclerc Élizabeth C.A.Q.-É.F.L.;Villeneuve André P.Q.;B.V.;B.R.;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;1;314;4;9;16;0;1;74;85;189;3;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;2;335;3;6;29;1;4;95;56;194;8;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;3;268;0;10;29;0;4;55;38;136;4;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;4;289;0;11;28;0;7;67;57;170;0;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;5;314;2;16;24;0;0;70;36;148;0;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;6;275;5;12;15;1;5;53;38;129;2;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;7;300;3;11;18;2;2;62;59;157;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;8;390;2;6;22;2;0;92;67;191;2;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;9;305;5;10;12;0;2;79;57;165;2;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;10A;248;1;6;10;0;3;36;41;97;3;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;10B;236;0;7;13;0;3;39;27;89;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;11;284;1;6;21;0;0;50;52;130;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;12;324;0;9;18;0;2;74;59;162;4;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;13;311;0;14;14;0;6;58;68;160;6;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;14;323;0;6;17;0;1;44;58;126;4;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;15;304;0;16;11;0;5;51;46;129;3;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;16;318;1;9;23;0;1;56;43;133;2;
353;Berthier;2014-04-07;G;Lavaltrie, v;1;;17;330;2;16;27;1;7;68;51;172;0;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;18;301;0;7;11;0;1;42;51;112;1;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;19;349;3;4;9;1;1;54;56;128;4;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;20;376;3;10;15;0;1;81;72;182;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;21;309;4;8;16;1;1;47;57;134;1;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;22;307;5;13;10;0;3;60;77;168;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;23;292;2;15;17;1;6;61;49;151;8;
353;Berthier;2014-04-07;G;Lavaltrie, v;2;;24;310;2;6;14;0;2;64;72;160;4;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;25;335;2;10;19;0;1;35;54;121;3;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;26;285;3;3;20;0;0;56;55;137;6;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;27;310;4;7;10;0;2;26;55;104;2;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;28;318;5;9;16;0;7;56;67;160;0;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;29;315;1;11;5;1;3;61;56;138;0;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;30;301;0;16;13;0;2;45;71;147;5;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;31;317;1;5;15;1;2;52;73;149;1;
353;Berthier;2014-04-07;G;Lavaltrie, v;3;;32;299;0;5;16;0;3;64;64;152;3;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;33;351;1;6;26;0;1;69;53;156;0;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;34;313;0;13;20;1;1;61;65;161;5;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;35;308;2;10;22;0;0;53;84;171;6;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;36;332;1;8;31;0;0;43;86;169;5;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;37;410;2;9;21;0;0;65;96;193;9;
353;Berthier;2014-04-07;G;Lanoraie, m;1;Regr. BVO-37;38;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;39;372;2;12;35;2;2;60;79;192;2;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;40;262;0;10;12;1;0;40;40;103;1;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;41;343;6;7;20;0;2;44;91;170;5;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;42;393;3;16;18;0;3;66;90;196;3;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;43;284;0;3;24;2;0;59;59;147;4;
353;Berthier;2014-04-07;G;Lanoraie, m;1;;44;308;1;13;26;1;1;60;72;174;7;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;45;319;0;10;28;0;0;73;52;163;1;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;46;413;2;13;43;0;0;90;50;198;5;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;47;288;8;13;41;1;0;48;56;167;2;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;48;279;2;9;30;0;0;60;45;146;5;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;49;295;3;6;44;1;0;87;38;179;6;
353;Berthier;2014-04-07;G;Sainte-Geneviève-de-Berthier, m;1;;50;341;2;2;30;0;1;57;69;161;4;
353;Berthier;2014-04-07;G;Berthierville, v;1;;51;450;2;13;66;1;1;76;56;215;3;
353;Berthier;2014-04-07;G;Berthierville, v;1;Regr. BVO-51;52;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Berthierville, v;1;;53;352;3;20;29;1;1;42;43;139;4;
353;Berthier;2014-04-07;G;Berthierville, v;1;;54;299;0;10;36;0;0;58;51;155;3;
353;Berthier;2014-04-07;G;Berthierville, v;1;;55;378;4;13;46;0;3;83;58;207;4;
353;Berthier;2014-04-07;G;Berthierville, v;2;;56;311;2;9;30;0;1;59;41;142;1;
353;Berthier;2014-04-07;G;Berthierville, v;2;;57;296;1;12;25;0;1;48;38;125;2;
353;Berthier;2014-04-07;G;Berthierville, v;2;;58;309;1;11;26;0;0;35;24;97;3;
353;Berthier;2014-04-07;G;Berthierville, v;2;Regr. BVO-58;59;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Berthierville, v;2;Regr. BVO-61;60;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Berthierville, v;2;;61;409;3;8;26;1;1;33;40;112;2;
353;Berthier;2014-04-07;G;Berthierville, v;2;;62;309;1;7;19;0;0;36;31;94;2;
353;Berthier;2014-04-07;G;Berthierville, v;2;;63;254;2;5;14;0;0;35;27;83;3;
353;Berthier;2014-04-07;G;La Visitation-de-l'Île-Dupas, m;1;;64;264;0;7;43;0;1;40;69;160;2;
353;Berthier;2014-04-07;G;La Visitation-de-l'Île-Dupas, m;1;;65;259;0;6;40;0;1;55;42;144;3;
353;Berthier;2014-04-07;G;Saint-Ignace-de-Loyola, m;1;;66;366;3;28;46;0;2;65;97;241;0;
353;Berthier;2014-04-07;G;Saint-Ignace-de-Loyola, m;1;;67;348;2;17;48;0;0;77;83;227;2;
353;Berthier;2014-04-07;G;Saint-Ignace-de-Loyola, m;1;;68;338;3;13;28;1;1;82;97;225;6;
353;Berthier;2014-04-07;G;Saint-Ignace-de-Loyola, m;1;;69;315;1;10;53;2;0;54;65;185;3;
353;Berthier;2014-04-07;G;Saint-Ignace-de-Loyola, m;1;;70;321;3;11;56;0;1;64;73;208;4;
353;Berthier;2014-04-07;G;Saint-Barthélemy, p;1;;71;302;0;11;45;0;0;52;71;179;3;
353;Berthier;2014-04-07;G;Saint-Barthélemy, p;1;;72;336;2;13;64;2;0;71;64;216;7;
353;Berthier;2014-04-07;G;Saint-Barthélemy, p;1;;73;311;0;10;49;2;3;50;71;185;1;
353;Berthier;2014-04-07;G;Saint-Barthélemy, p;1;;74;299;2;8;31;1;0;50;64;156;7;
353;Berthier;2014-04-07;G;Saint-Barthélemy, p;1;;75;360;4;11;32;0;2;54;78;181;3;
353;Berthier;2014-04-07;G;Saint-Cuthbert, m;1;;76;285;1;7;25;0;1;54;48;136;5;
353;Berthier;2014-04-07;G;Saint-Cuthbert, m;1;;77;309;2;19;34;4;0;52;54;165;0;
353;Berthier;2014-04-07;G;Saint-Cuthbert, m;1;;78;281;0;8;25;1;1;65;47;147;0;
353;Berthier;2014-04-07;G;Saint-Cuthbert, m;1;;79;302;2;16;29;0;1;46;65;159;8;
353;Berthier;2014-04-07;G;Saint-Cuthbert, m;1;;80;296;6;11;32;1;1;46;64;161;3;
353;Berthier;2014-04-07;G;Saint-Norbert, p;1;;81;252;5;17;29;1;1;54;47;154;3;
353;Berthier;2014-04-07;G;Saint-Norbert, p;1;;82;298;4;5;28;1;2;44;60;144;5;
353;Berthier;2014-04-07;G;Saint-Norbert, p;1;;83;246;2;20;29;1;0;55;63;170;3;
353;Berthier;2014-04-07;G;Sainte-Élisabeth, m;1;;84;306;3;11;16;0;1;79;79;189;1;
353;Berthier;2014-04-07;G;Sainte-Élisabeth, m;1;Regr. BVO-84;85;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Sainte-Élisabeth, m;1;;86;283;1;13;51;1;1;74;53;194;4;
353;Berthier;2014-04-07;G;Sainte-Élisabeth, m;1;;87;303;6;10;42;2;3;80;63;206;4;
353;Berthier;2014-04-07;G;Sainte-Élisabeth, m;1;;88;242;0;10;37;2;3;63;60;175;0;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;89;301;1;10;24;2;0;59;39;135;3;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;90;372;5;17;20;1;1;61;49;154;5;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;91;374;0;14;25;3;0;97;59;198;6;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;92;329;0;10;32;0;1;46;60;149;5;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;93;409;6;19;26;1;0;72;60;184;8;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;94;326;3;9;14;0;3;59;37;125;5;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;95;312;3;12;31;0;1;57;55;159;7;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;96;314;1;12;24;0;0;54;69;160;1;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;97;415;4;23;33;2;0;85;51;198;8;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;98;422;5;19;23;1;3;72;82;205;11;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;99;349;0;14;25;2;2;71;67;181;5;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;100;329;2;13;26;2;1;74;57;175;3;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;101;319;0;12;20;0;0;57;64;153;4;
353;Berthier;2014-04-07;G;Saint-Félix-de-Valois, m;1;;102;330;3;19;28;0;2;57;44;153;2;
353;Berthier;2014-04-07;G;Sainte-Marcelline-de-Kildare, m;1;;103;405;4;20;48;4;0;81;121;278;11;
353;Berthier;2014-04-07;G;Sainte-Marcelline-de-Kildare, m;1;;104;391;1;28;51;3;0;95;77;255;12;
353;Berthier;2014-04-07;G;Sainte-Marcelline-de-Kildare, m;1;;105;420;0;29;39;1;1;63;105;238;4;
353;Berthier;2014-04-07;G;Sainte-Béatrix, m;1;;106;266;2;18;16;0;1;30;79;146;4;
353;Berthier;2014-04-07;G;Sainte-Béatrix, m;1;;107;312;3;17;43;2;1;47;70;183;4;
353;Berthier;2014-04-07;G;Sainte-Béatrix, m;1;;108;275;0;8;22;0;1;52;72;155;2;
353;Berthier;2014-04-07;G;Sainte-Béatrix, m;1;;109;300;1;23;39;0;1;69;70;203;4;
353;Berthier;2014-04-07;G;Sainte-Béatrix, m;1;;110;340;6;26;31;0;0;60;84;207;1;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;111;302;2;11;20;1;2;56;51;143;5;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;112;332;2;14;26;0;0;50;72;164;3;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;113;335;2;7;18;0;0;58;69;154;2;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;114;349;1;12;32;0;2;53;70;170;5;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;115;298;1;8;17;2;0;52;45;125;0;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;116;340;1;15;24;1;0;42;62;145;1;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;117;317;2;14;30;1;0;59;55;161;1;
353;Berthier;2014-04-07;G;Saint-Alphonse-Rodriguez, m;1;;118;305;2;6;11;0;1;43;61;124;3;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;119;291;1;12;30;0;0;70;50;163;4;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;120;254;4;10;23;1;0;82;44;164;2;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;121;342;0;7;40;0;0;65;73;185;2;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;122;299;4;11;18;0;0;58;76;167;4;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;123;291;2;23;33;0;0;64;54;176;7;
353;Berthier;2014-04-07;G;Saint-Côme, p;1;;124;377;2;8;38;3;2;92;90;235;4;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;125;299;1;11;21;0;1;57;76;167;1;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;126;307;1;9;23;1;0;53;58;145;1;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;127;332;3;10;25;1;0;44;72;155;5;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;128;344;7;4;29;0;0;63;67;170;4;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;129;339;1;19;25;1;0;61;81;188;2;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;130;361;5;31;32;0;1;52;104;225;1;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;131;331;3;8;29;2;3;56;61;162;5;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;132;322;2;7;15;0;0;37;54;115;3;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;Regr. BVO-132;133;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;134;402;3;17;28;0;0;66;71;185;2;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;Regr. BVO-134;135;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;136;307;2;14;29;0;0;57;52;154;1;
353;Berthier;2014-04-07;G;Saint-Jean-de-Matha, m;1;;137;335;1;17;25;0;0;53;69;165;1;
353;Berthier;2014-04-07;G;Saint-Cléophas-de-Brandon, m;1;;138;200;2;18;19;1;0;47;47;134;5;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;139;325;3;8;42;0;1;42;87;183;2;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;140;318;1;15;41;0;0;64;57;178;1;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;141;351;4;15;19;1;2;62;71;174;2;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;142;261;0;10;31;0;1;65;29;136;0;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;143;311;0;12;29;1;1;59;53;155;1;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;144;300;4;4;37;1;0;62;31;139;4;
353;Berthier;2014-04-07;G;Saint-Gabriel-de-Brandon, p;1;;145;342;2;14;43;0;2;49;61;171;5;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;146;309;4;19;24;0;0;36;66;149;1;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;147;291;2;15;22;2;0;28;38;107;2;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;148;291;1;12;20;3;0;13;48;97;7;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;149;279;2;16;23;0;2;33;49;125;2;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;150;350;1;12;29;0;0;42;62;146;2;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;151;295;2;8;24;1;0;44;39;118;2;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;Regr. BVO-154;152;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;Regr. BVO-150;153;0;0;0;0;0;0;0;0;0;0;
353;Berthier;2014-04-07;G;Saint-Gabriel, v;1;;154;360;5;8;28;0;1;33;61;136;5;
353;Berthier;2014-04-07;G;Saint-Didace, p;1;;155;245;0;21;26;0;1;32;67;147;5;
353;Berthier;2014-04-07;G;Saint-Didace, p;1;;156;272;3;11;21;0;2;53;62;152;2;
353;Berthier;2014-04-07;G;Mandeville, m;1;;157;309;1;7;32;2;0;60;74;176;2;
353;Berthier;2014-04-07;G;Mandeville, m;1;;158;288;1;11;37;1;1;52;78;181;3;
353;Berthier;2014-04-07;G;Mandeville, m;1;;159;274;3;8;26;0;2;71;57;167;2;
353;Berthier;2014-04-07;G;Mandeville, m;1;;160;288;3;11;22;0;1;56;63;156;5;
353;Berthier;2014-04-07;G;Mandeville, m;1;;161;308;3;7;40;0;0;66;61;177;3;
353;Berthier;2014-04-07;G;Mandeville, m;1;;162;330;3;8;46;1;0;66;78;202;3;
353;Berthier;2014-04-07;G;Saint-Damien, p;1;;163;278;2;15;31;0;0;27;66;141;1;
353;Berthier;2014-04-07;G;Saint-Damien, p;1;;164;269;4;15;28;0;0;37;61;145;8;
353;Berthier;2014-04-07;G;Saint-Damien, p;1;;165;270;0;16;27;0;0;62;49;154;4;
353;Berthier;2014-04-07;G;Saint-Damien, p;1;;166;257;2;6;35;0;0;39;62;144;0;
353;Berthier;2014-04-07;G;Saint-Damien, p;1;;167;293;2;2;16;0;0;37;83;140;1;
