Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cousineau Claude P.Q.;Dubé Patrick P.N.;Leblond Isabelle P.L.Q./Q.L.P.;Massicotte Diane O.N. - P.I.Q.;Mayer Lucie Q.S.;Milot Robert C.A.Q.-É.F.L.;Roy Mario Ind;B.V.;B.R.;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;1;319;47;0;27;1;2;46;0;123;2;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;2;290;63;0;27;1;5;29;0;125;2;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;3;313;58;1;24;0;10;44;0;137;0;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;4;295;68;1;23;0;8;49;0;149;3;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;5;300;67;2;21;0;4;19;1;114;2;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;6;328;42;0;34;0;1;44;0;121;2;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;7;316;54;1;20;0;7;40;1;123;4;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;8;319;60;1;17;0;8;21;0;107;2;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;9;314;40;0;24;0;12;40;1;117;6;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;10;288;41;2;21;1;11;46;0;122;1;
525;Bertrand;2014-04-07;G;Saint-Donat, m;1;;11;313;55;0;33;2;3;41;0;134;2;
525;Bertrand;2014-04-07;G;Notre-Dame-de-la-Merci, m;1;;12;274;57;1;20;1;10;45;0;134;1;
525;Bertrand;2014-04-07;G;Notre-Dame-de-la-Merci, m;1;;13;252;78;1;21;0;10;33;1;144;3;
525;Bertrand;2014-04-07;G;Notre-Dame-de-la-Merci, m;1;;14;268;59;3;42;0;14;33;1;152;4;
525;Bertrand;2014-04-07;G;Entrelacs, m;1;;15;259;78;2;20;0;10;45;2;157;0;
525;Bertrand;2014-04-07;G;Entrelacs, m;1;;16;239;54;1;37;0;3;48;1;144;3;
525;Bertrand;2014-04-07;G;Entrelacs, m;1;;17;259;74;0;26;0;10;48;0;158;3;
525;Bertrand;2014-04-07;G;Estérel, v;1;;18;145;10;1;24;0;2;11;0;48;1;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;19;327;55;2;18;1;12;42;1;131;3;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;20;321;42;2;24;0;9;35;0;112;4;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;21;311;61;2;18;0;10;41;0;132;2;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;22;303;50;0;24;2;16;38;3;133;1;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;23;353;66;0;30;0;14;57;0;167;0;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;24;309;67;0;23;0;6;42;2;140;3;
525;Bertrand;2014-04-07;G;Sainte-Marguerite-du-Lac-Masson, v;1;;25;360;54;0;25;2;21;39;0;141;4;
525;Bertrand;2014-04-07;G;Sainte-Lucie-des-Laurentides, m;1;;26;343;102;7;41;1;28;38;0;217;1;
525;Bertrand;2014-04-07;G;Sainte-Lucie-des-Laurentides, m;1;;27;324;98;1;38;1;11;50;1;200;4;
525;Bertrand;2014-04-07;G;Sainte-Lucie-des-Laurentides, m;1;;28;319;113;2;27;0;11;44;1;198;1;
525;Bertrand;2014-04-07;G;Lantier, m;1;;29;362;69;1;31;0;11;33;0;145;1;
525;Bertrand;2014-04-07;G;Lantier, m;1;;30;321;64;1;31;0;8;37;0;141;4;
525;Bertrand;2014-04-07;G;Val-des-Lacs, m;1;;31;294;70;2;26;0;4;41;0;143;2;
525;Bertrand;2014-04-07;G;Val-des-Lacs, m;1;;32;328;91;2;26;0;11;50;0;180;3;
525;Bertrand;2014-04-07;G;Ivry-sur-le-Lac, m;1;;33;308;67;5;48;0;14;24;1;159;0;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;34;365;52;0;40;1;15;38;0;146;1;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;35;309;37;2;29;1;13;28;0;110;0;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;36;398;52;1;24;3;17;24;2;123;0;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;37;426;54;2;23;0;4;25;0;108;0;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;38;285;53;0;32;0;2;22;0;109;4;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;39;338;54;0;28;0;12;40;0;134;5;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;40;316;31;1;41;0;8;36;1;118;0;
