Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Collin Marie-Claude P.L.Q./Q.L.P.;Desrosiers Gyslaine P.Q.;Fournier Jean Philippe É.A.P. - P.C.Q.;Giguère Annie Q.S.;Laframboise Mario C.A.Q.-É.F.L.;B.V.;B.R.;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;1;373;32;61;5;9;80;187;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;2;381;37;72;1;9;76;195;4;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;3;342;27;47;2;11;78;165;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;4;364;27;77;2;15;102;223;8;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;5;331;24;55;4;11;87;181;6;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;6;336;28;57;1;9;40;135;8;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;1;;7;350;24;77;2;17;100;220;6;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;8;316;26;61;4;15;62;168;2;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;9;301;25;74;4;7;48;158;9;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;10;326;28;81;1;16;69;195;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;11;288;11;71;3;20;76;181;0;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;12;297;28;70;0;8;63;169;7;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;13;308;25;66;0;11;51;153;4;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;14;382;21;55;2;8;54;140;6;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;2;;15;324;25;45;0;13;45;128;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;16;322;40;59;3;19;70;191;7;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;17;320;32;55;4;19;101;211;7;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;18;303;33;59;0;12;95;199;19;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;19;299;15;52;1;5;83;156;4;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;20;284;25;52;1;17;76;171;4;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;21;300;25;66;0;14;69;174;0;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;22;302;22;62;0;10;69;163;9;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;3;;23;310;30;56;1;10;69;166;6;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;24;345;38;41;2;15;82;178;8;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;25;310;18;47;0;12;44;121;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;26;287;29;49;1;8;59;146;3;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;27;295;25;62;2;13;53;155;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;28;408;24;60;1;6;71;162;5;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;29;290;28;45;1;12;53;139;3;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;30;315;30;62;2;10;65;169;2;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;31;297;48;33;1;10;76;168;3;
473;Blainville;2014-04-07;G;Sainte-Anne-des-Plaines, v;4;;32;311;20;65;2;13;70;170;4;
473;Blainville;2014-04-07;G;Blainville, v;1;;33;319;41;46;1;14;66;168;5;
473;Blainville;2014-04-07;G;Blainville, v;1;;34;302;36;62;3;10;62;173;5;
473;Blainville;2014-04-07;G;Blainville, v;1;;35;306;34;41;2;17;76;170;2;
473;Blainville;2014-04-07;G;Blainville, v;1;;36;289;25;61;1;14;51;152;4;
473;Blainville;2014-04-07;G;Blainville, v;1;;37;328;44;38;2;15;66;165;5;
473;Blainville;2014-04-07;G;Blainville, v;1;;38;339;26;55;1;11;62;155;3;
473;Blainville;2014-04-07;G;Blainville, v;1;;39;317;40;54;0;12;88;194;8;
473;Blainville;2014-04-07;G;Blainville, v;1;;40;315;58;47;0;7;78;190;0;
473;Blainville;2014-04-07;G;Blainville, v;1;;41;299;41;72;0;16;65;194;5;
473;Blainville;2014-04-07;G;Blainville, v;1;;42;328;29;61;1;9;59;159;3;
473;Blainville;2014-04-07;G;Blainville, v;1;;43;320;25;52;0;11;62;150;7;
473;Blainville;2014-04-07;G;Blainville, v;1;;44;308;38;49;6;10;69;172;4;
473;Blainville;2014-04-07;G;Blainville, v;1;;45;323;37;64;2;18;71;192;8;
473;Blainville;2014-04-07;G;Blainville, v;1;;46;334;71;62;1;20;74;228;5;
473;Blainville;2014-04-07;G;Blainville, v;1;;47;295;34;62;0;18;83;197;2;
473;Blainville;2014-04-07;G;Blainville, v;1;;48;288;41;56;0;13;70;180;1;
473;Blainville;2014-04-07;G;Blainville, v;2;;49;297;43;67;0;10;67;187;6;
473;Blainville;2014-04-07;G;Blainville, v;2;;50;299;47;45;1;9;69;171;7;
473;Blainville;2014-04-07;G;Blainville, v;2;;51;269;48;66;3;10;50;177;5;
473;Blainville;2014-04-07;G;Blainville, v;2;;52;264;26;51;1;14;36;128;5;
473;Blainville;2014-04-07;G;Blainville, v;2;;53;262;30;39;0;15;52;136;8;
473;Blainville;2014-04-07;G;Blainville, v;3;;54;310;34;48;0;22;62;166;6;
473;Blainville;2014-04-07;G;Blainville, v;3;;55;307;29;40;2;14;50;135;4;
473;Blainville;2014-04-07;G;Blainville, v;3;;56;412;54;48;3;21;79;205;5;
