Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arsenault Damien P.L.Q./Q.L.P.;Chartier Patricia Q.S.;Dubois Patrick P.N.;Landry Jean-Marc C.A.Q.-É.F.L.;Roy Sylvain P.Q.;St-Pierre Louis-Patrick O.N. - P.I.Q.;B.V.;B.R.;
713;Bonaventure;2014-04-07;G;Saint-André-de-Restigouche, m;1;;1;142;25;4;2;3;48;0;82;1;
713;Bonaventure;2014-04-07;G;L'Ascension-de-Patapédia, m;1;;2;164;68;4;2;8;20;0;102;3;
713;Bonaventure;2014-04-07;G;Saint-François-d'Assise, m;1;;3;296;83;9;1;18;60;0;171;1;
713;Bonaventure;2014-04-07;G;Saint-François-d'Assise, m;1;;4;294;114;9;0;19;62;1;205;3;
713;Bonaventure;2014-04-07;G;Saint-Alexis-de-Matapédia, m;1;;5;242;81;11;4;14;44;2;156;2;
713;Bonaventure;2014-04-07;G;Saint-Alexis-de-Matapédia, m;1;;6;221;66;13;1;15;52;0;147;2;
713;Bonaventure;2014-04-07;G;Matapédia, m;1;;7;267;90;2;0;7;27;1;127;3;
713;Bonaventure;2014-04-07;G;Matapédia, m;1;;8;262;82;6;3;8;31;0;130;1;
713;Bonaventure;2014-04-07;G;Ristigouche-Partie-Sud-Est, ct;1;;9;140;56;5;2;9;16;2;90;2;
713;Bonaventure;2014-04-07;G;Listuguj, ri;1;;10;302;88;2;0;0;0;1;91;0;
713;Bonaventure;2014-04-07;G;Listuguj, ri;1;;11;240;53;2;0;0;0;0;55;0;
713;Bonaventure;2014-04-07;G;Listuguj, ri;1;;12;370;77;1;0;0;1;2;81;0;
713;Bonaventure;2014-04-07;G;Listuguj, ri;1;;13;314;57;0;0;1;0;0;58;0;
713;Bonaventure;2014-04-07;G;Pointe-à-la-Croix, m;1;;14;297;56;3;1;7;35;1;103;5;
713;Bonaventure;2014-04-07;G;Pointe-à-la-Croix, m;1;;15;272;77;5;2;7;48;2;141;3;
713;Bonaventure;2014-04-07;G;Pointe-à-la-Croix, m;1;;16;296;63;3;3;13;42;1;125;3;
713;Bonaventure;2014-04-07;G;Pointe-à-la-Croix, m;1;;17;271;72;17;1;14;36;2;142;1;
713;Bonaventure;2014-04-07;G;Pointe-à-la-Croix, m;1;;18;74;4;3;1;4;41;0;53;0;
713;Bonaventure;2014-04-07;G;Escuminac, m;1;;19;251;65;4;2;6;55;0;132;1;
713;Bonaventure;2014-04-07;G;Escuminac, m;1;;20;280;87;14;5;10;34;0;150;0;
713;Bonaventure;2014-04-07;G;Nouvelle, m;1;;21;278;52;11;8;12;65;6;154;0;
713;Bonaventure;2014-04-07;G;Nouvelle, m;1;;22;302;57;8;3;12;85;2;167;4;
713;Bonaventure;2014-04-07;G;Nouvelle, m;1;;23;288;65;11;4;13;60;2;155;0;
713;Bonaventure;2014-04-07;G;Nouvelle, m;1;;24;314;65;15;4;14;55;3;156;5;
713;Bonaventure;2014-04-07;G;Nouvelle, m;1;;25;325;48;8;2;9;83;10;160;2;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;26;297;39;13;1;8;78;3;142;0;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;27;348;59;17;3;12;118;3;212;2;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;28;303;50;17;3;9;88;1;168;3;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;29;292;42;21;2;12;78;1;156;2;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;30;283;40;17;2;16;66;1;142;1;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;31;348;46;23;4;14;97;1;185;0;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;32;288;32;14;5;6;67;1;125;3;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;33;299;55;11;1;8;53;4;132;2;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;34;287;33;16;6;9;53;1;118;2;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;35;288;41;18;2;10;70;0;141;3;
713;Bonaventure;2014-04-07;G;Carleton-sur-Mer, v;1;;36;322;47;15;1;11;91;0;165;2;
713;Bonaventure;2014-04-07;G;Maria, m;1;;37;313;47;32;4;17;90;2;192;6;
713;Bonaventure;2014-04-07;G;Maria, m;1;;38;347;46;20;4;15;91;3;179;0;
713;Bonaventure;2014-04-07;G;Maria, m;1;;39;377;53;25;4;19;103;1;205;2;
713;Bonaventure;2014-04-07;G;Maria, m;1;;40;321;66;22;3;15;103;1;210;2;
713;Bonaventure;2014-04-07;G;Maria, m;1;;41;410;49;23;5;21;127;1;226;2;
713;Bonaventure;2014-04-07;G;Maria, m;1;;42;340;64;49;4;17;98;1;233;1;
713;Bonaventure;2014-04-07;G;Gesgapegiag, ri;1;;43;256;127;1;0;0;2;0;130;2;
713;Bonaventure;2014-04-07;G;Gesgapegiag, ri;1;;44;164;81;0;0;1;0;0;82;0;
713;Bonaventure;2014-04-07;G;Cascapédia--Saint-Jules, m;1;;45;312;151;20;5;8;31;2;217;3;
713;Bonaventure;2014-04-07;G;Cascapédia--Saint-Jules, m;1;;46;292;163;15;3;6;13;0;200;1;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;47;291;91;22;4;9;19;0;145;1;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;48;300;60;12;4;7;42;0;125;1;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;49;288;62;10;2;13;40;1;128;0;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;50;281;67;7;1;11;43;0;129;1;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;51;380;68;14;3;8;56;0;149;2;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;52;309;49;23;3;7;47;1;130;0;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;53;274;54;14;5;8;48;1;130;0;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;54;286;51;4;5;12;42;0;114;0;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;55;290;53;14;5;3;58;1;134;3;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;56;305;65;13;1;19;54;0;152;3;
713;Bonaventure;2014-04-07;G;New Richmond, v;1;;57;134;29;12;0;3;23;0;67;2;
713;Bonaventure;2014-04-07;G;Rivière-Bonaventure, no;1;Regr. BVO-57;58;0;0;0;0;0;0;0;0;0;
713;Bonaventure;2014-04-07;G;Saint-Alphonse, m;1;;59;312;110;18;4;10;85;0;227;3;
713;Bonaventure;2014-04-07;G;Saint-Alphonse, m;1;;60;275;79;18;6;15;74;0;192;2;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;61;305;78;20;1;14;95;0;208;0;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;62;273;68;20;2;17;66;0;173;0;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;63;273;84;18;3;14;75;0;194;1;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;64;240;54;8;5;16;54;1;138;3;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;65;359;57;18;3;17;65;0;160;0;
713;Bonaventure;2014-04-07;G;Caplan, m;1;;66;276;45;12;3;7;92;1;160;1;
713;Bonaventure;2014-04-07;G;Saint-Siméon, p;1;;67;329;86;15;5;7;81;1;195;2;
713;Bonaventure;2014-04-07;G;Saint-Siméon, p;1;;68;315;95;15;3;11;66;0;190;0;
713;Bonaventure;2014-04-07;G;Saint-Siméon, p;1;;69;368;103;20;4;7;77;1;212;0;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;70;305;69;22;1;8;58;0;158;1;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;71;333;69;12;3;6;48;2;140;2;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;72;302;50;17;3;9;49;0;128;3;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;73;336;65;12;4;6;63;0;150;1;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;74;344;84;24;2;6;62;0;178;2;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;75;307;63;19;7;7;53;0;149;3;
713;Bonaventure;2014-04-07;G;Bonaventure, v;1;;76;308;91;13;0;6;59;1;170;3;
713;Bonaventure;2014-04-07;G;Saint-Elzéar, m;1;;77;211;93;13;1;3;21;0;131;0;
713;Bonaventure;2014-04-07;G;Saint-Elzéar, m;1;;78;183;84;3;3;3;18;0;111;0;
713;Bonaventure;2014-04-07;G;New Carlisle, m;1;;79;272;156;2;0;0;11;0;169;0;
713;Bonaventure;2014-04-07;G;New Carlisle, m;1;;80;296;153;6;0;2;19;0;180;3;
713;Bonaventure;2014-04-07;G;New Carlisle, m;1;;81;273;125;7;0;5;35;0;172;0;
