Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duchesne Pierre P.Q.;Falardeau Jean Q.S.;Gour Gilbert É.A.P. - P.C.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lepage Michel P.I.;Murray Jean P.L.Q./Q.L.P.;Siouï Marc-Olivier O.N. - P.I.Q.;B.V.;B.R.;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;1;337;78;20;2;80;3;45;0;228;7;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;2;328;59;10;1;85;1;39;0;195;4;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;3;347;60;14;4;79;0;40;2;199;3;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;4;339;51;14;0;98;3;57;0;223;1;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;5;336;65;12;2;102;0;37;0;218;1;
243;Borduas;2014-04-07;G;Saint-Mathieu-de-Beloeil, m;1;;6;338;72;12;2;92;3;34;1;216;9;
243;Borduas;2014-04-07;G;Beloeil, v;1;;7;375;75;20;1;92;0;33;0;221;3;
243;Borduas;2014-04-07;G;Beloeil, v;1;;8;386;69;28;0;103;0;46;0;246;5;
243;Borduas;2014-04-07;G;Beloeil, v;1;;9;364;72;16;1;93;0;37;0;219;3;
243;Borduas;2014-04-07;G;Beloeil, v;1;;10;372;60;10;1;62;0;60;5;198;5;
243;Borduas;2014-04-07;G;Beloeil, v;1;;11;364;63;11;1;80;1;52;0;208;4;
243;Borduas;2014-04-07;G;Beloeil, v;1;;12;359;62;21;2;78;1;49;2;215;5;
243;Borduas;2014-04-07;G;Beloeil, v;1;;13;360;64;16;1;93;1;35;1;211;5;
243;Borduas;2014-04-07;G;Beloeil, v;1;;14;396;80;27;2;62;0;56;0;227;5;
243;Borduas;2014-04-07;G;Beloeil, v;2;;15;337;87;25;2;57;1;39;2;213;4;
243;Borduas;2014-04-07;G;Beloeil, v;2;;16;398;63;14;0;51;1;26;1;156;3;
243;Borduas;2014-04-07;G;Beloeil, v;2;;17;343;76;17;1;61;0;32;0;187;1;
243;Borduas;2014-04-07;G;Beloeil, v;2;;18;342;70;27;0;64;1;34;1;197;3;
243;Borduas;2014-04-07;G;Beloeil, v;2;;19;347;86;27;1;58;1;33;0;206;2;
243;Borduas;2014-04-07;G;Beloeil, v;3;;20;319;58;30;2;42;1;30;1;164;2;
243;Borduas;2014-04-07;G;Beloeil, v;3;;21A;160;12;9;0;19;1;16;0;57;2;
243;Borduas;2014-04-07;G;Beloeil, v;3;;21B;277;45;6;0;35;1;30;0;117;2;
243;Borduas;2014-04-07;G;Beloeil, v;3;;22;331;62;12;0;65;1;40;0;180;4;
243;Borduas;2014-04-07;G;Beloeil, v;3;;23;340;72;15;1;75;1;37;2;203;5;
243;Borduas;2014-04-07;G;Beloeil, v;3;;24;336;51;16;0;67;4;18;4;160;4;
243;Borduas;2014-04-07;G;Beloeil, v;3;;25;327;58;13;0;64;0;49;0;184;3;
243;Borduas;2014-04-07;G;Beloeil, v;3;;26;388;59;12;1;70;1;45;2;190;0;
243;Borduas;2014-04-07;G;Beloeil, v;4;;27;390;57;18;1;75;0;34;0;185;5;
243;Borduas;2014-04-07;G;Beloeil, v;4;;28;392;45;22;0;63;2;30;2;164;0;
243;Borduas;2014-04-07;G;Beloeil, v;4;;29;406;83;26;3;74;1;55;1;243;6;
243;Borduas;2014-04-07;G;Beloeil, v;4;;30;391;72;17;0;69;0;42;0;200;0;
243;Borduas;2014-04-07;G;Beloeil, v;4;;31;407;77;16;2;97;1;53;5;251;1;
243;Borduas;2014-04-07;G;Beloeil, v;5;;32;278;75;10;2;56;0;30;0;173;3;
243;Borduas;2014-04-07;G;Beloeil, v;5;;33;274;66;21;1;59;0;25;6;178;9;
243;Borduas;2014-04-07;G;Beloeil, v;5;;34;284;76;17;1;47;1;24;0;166;0;
243;Borduas;2014-04-07;G;Beloeil, v;5;;35;299;55;9;0;67;2;40;1;174;3;
243;Borduas;2014-04-07;G;Beloeil, v;5;;36;286;62;9;0;67;2;42;1;183;3;
243;Borduas;2014-04-07;G;Beloeil, v;5;;37;333;54;26;3;48;0;40;2;173;6;
243;Borduas;2014-04-07;G;Beloeil, v;5;;38;289;45;17;3;69;1;22;1;158;6;
243;Borduas;2014-04-07;G;Beloeil, v;5;;39;275;61;12;0;65;0;20;2;160;0;
243;Borduas;2014-04-07;G;Beloeil, v;5;;40;277;45;11;0;85;1;33;1;176;4;
243;Borduas;2014-04-07;G;Beloeil, v;5;;41;296;59;22;1;82;1;26;2;193;6;
243;Borduas;2014-04-07;G;Beloeil, v;5;;42;273;58;10;2;70;0;29;2;171;4;
243;Borduas;2014-04-07;G;Beloeil, v;6;;43;381;82;15;1;94;0;40;3;235;8;
243;Borduas;2014-04-07;G;Beloeil, v;6;;44A;241;45;8;1;81;0;32;0;167;2;
243;Borduas;2014-04-07;G;Beloeil, v;6;;44B;227;40;6;0;71;0;33;0;150;0;
243;Borduas;2014-04-07;G;Beloeil, v;6;;45A;247;25;8;0;62;1;44;2;142;1;
243;Borduas;2014-04-07;G;Beloeil, v;6;;45B;188;21;4;1;59;0;22;0;107;5;
243;Borduas;2014-04-07;G;Beloeil, v;6;;46;442;56;18;0;112;0;35;1;222;5;
243;Borduas;2014-04-07;G;Beloeil, v;6;;47;377;66;19;2;103;0;55;1;246;4;
243;Borduas;2014-04-07;G;Beloeil, v;6;;48;383;65;17;3;105;0;64;1;255;6;
243;Borduas;2014-04-07;G;Beloeil, v;6;;49;380;82;23;3;89;1;36;4;238;4;
243;Borduas;2014-04-07;G;Beloeil, v;6;;50;378;74;20;3;91;1;45;3;237;3;
243;Borduas;2014-04-07;G;Beloeil, v;6;;51;373;77;14;0;76;1;46;1;215;3;
243;Borduas;2014-04-07;G;Beloeil, v;6;;52;369;86;28;0;81;1;47;0;243;7;
243;Borduas;2014-04-07;G;Beloeil, v;6;;53;439;83;26;0;82;1;43;0;235;1;
243;Borduas;2014-04-07;G;McMasterville, m;1;;54;331;50;21;0;67;1;34;1;174;3;
243;Borduas;2014-04-07;G;McMasterville, m;1;;55;334;53;24;0;85;0;33;1;196;9;
243;Borduas;2014-04-07;G;McMasterville, m;1;;56;340;62;17;0;78;0;25;1;183;2;
243;Borduas;2014-04-07;G;McMasterville, m;1;;57;351;64;16;2;84;1;33;3;203;6;
243;Borduas;2014-04-07;G;McMasterville, m;1;;58;336;74;26;3;88;0;41;2;234;5;
243;Borduas;2014-04-07;G;McMasterville, m;1;;59;338;77;13;3;80;0;47;0;220;1;
243;Borduas;2014-04-07;G;McMasterville, m;1;;60;347;63;21;5;76;0;40;2;207;4;
243;Borduas;2014-04-07;G;McMasterville, m;1;;61;336;70;16;1;80;0;49;3;219;4;
243;Borduas;2014-04-07;G;McMasterville, m;1;;62;337;71;25;1;82;0;32;0;211;9;
243;Borduas;2014-04-07;G;McMasterville, m;1;;63;333;52;25;2;47;1;31;0;158;3;
243;Borduas;2014-04-07;G;McMasterville, m;1;;64;367;64;13;1;63;1;24;1;167;6;
243;Borduas;2014-04-07;G;McMasterville, m;1;;65;541;76;13;1;75;0;23;0;188;5;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;66;371;83;23;0;51;0;42;1;200;9;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;67;368;80;19;0;74;1;31;2;207;8;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;68;365;71;17;3;64;0;54;1;210;4;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;69;380;44;24;2;93;0;67;1;231;1;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;70;362;67;13;0;103;0;34;2;219;4;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;71;362;61;16;2;67;1;69;3;219;1;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;72;377;80;40;1;51;0;59;0;231;1;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;73;374;77;21;1;75;1;37;2;214;3;
243;Borduas;2014-04-07;G;Otterburn Park, v;1;;74;372;73;16;1;78;1;61;0;230;2;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;75;314;69;13;0;69;1;36;2;190;2;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;76;305;65;26;3;51;2;38;0;185;7;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;77;338;52;32;0;75;1;73;1;234;0;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;78;312;53;17;0;47;0;54;0;171;0;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;79;337;71;28;0;59;1;52;4;215;4;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;80;344;72;24;2;68;1;59;0;226;3;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;81;319;68;19;0;73;0;33;0;193;1;
