Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aberra Adam P.V.Q./G.P.Q.;Brunet Jean-François B.P.;Del Fabbro Fabrizio C.A.Q.-É.F.L.;de Santis Rita P.L.Q./Q.L.P.;Généreux Claude Q.S.;Luthu Félix O.N. - P.I.Q.;Mahiout Leila P.Q.;B.V.;B.R.;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;278;;1;384;2;3;24;92;23;2;37;183;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;278;;2;355;1;0;21;104;24;2;37;189;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;278;;3;392;2;0;33;121;19;1;18;194;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;279;;4A;239;2;1;7;52;9;0;17;88;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;279;;4B;213;3;1;12;75;8;0;21;120;7;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;279;;5;417;0;3;12;191;2;1;18;227;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;279;;6;420;2;3;18;152;14;0;17;206;7;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;280;;7;410;1;3;26;165;15;1;20;231;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;280;;8;391;2;1;29;134;13;3;51;233;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;280;;9;446;1;5;34;90;23;1;49;203;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;280;;10;401;1;1;30;75;17;0;42;166;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;281;;11;400;4;2;20;136;11;1;48;222;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;281;;12;409;1;2;30;150;21;1;28;233;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;281;;13;376;3;0;15;113;21;0;31;183;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;281;;14;396;1;2;22;153;10;1;27;216;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;282;;15;344;2;0;20;115;9;2;28;176;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;282;;16;365;3;0;20;90;16;2;52;183;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;282;;17;356;4;0;33;133;8;1;20;199;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;282;;18;377;4;2;27;100;6;2;34;175;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;282;;19;342;3;2;22;81;13;1;34;156;9;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;283;;20;424;0;0;27;72;13;1;35;148;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;283;;21;358;1;2;13;122;12;2;27;179;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;283;;22;370;3;1;23;128;23;0;38;216;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;283;;23;373;4;0;34;153;11;3;37;242;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;283;;24;370;4;0;21;159;9;0;17;210;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;25A;260;2;0;12;81;8;0;21;124;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;25B;198;0;0;14;54;6;1;10;85;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;26;399;0;2;25;135;7;0;40;209;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;27;385;0;1;14;129;9;0;28;181;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;28;388;3;2;31;144;7;2;39;228;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;29;394;3;4;30;140;5;1;29;212;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;30;351;5;3;26;116;18;1;40;209;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;31;377;0;0;25;125;10;0;33;193;8;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;284;;32;414;3;0;32;117;8;3;51;214;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;285;;33;382;1;4;31;77;15;0;39;167;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;285;;34;370;5;1;22;103;6;0;29;166;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;285;;35;369;2;1;23;74;7;0;32;139;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;285;;36;371;3;1;9;122;12;0;18;165;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;286;;37;414;1;1;20;90;13;1;38;164;5;
