Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard René P.Q.;Lemay François C.A.Q.-É.F.L.;Paradis Pierre P.L.Q./Q.L.P.;Pépin Nicolas O.N. - P.I.Q.;Van Caloen Benoit Q.S.;B.V.;B.R.;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;1;300;34;65;30;5;12;146;0;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;2;277;35;72;28;1;17;153;3;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;3;382;28;40;32;1;11;112;1;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;4;328;22;28;26;0;16;92;5;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;5;309;44;53;52;2;8;159;5;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;6;402;47;82;44;3;10;186;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;1;;7;290;33;36;32;1;13;115;6;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;2;;8;253;33;51;22;2;4;112;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;2;;9;203;23;28;16;0;10;77;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;2;;10;269;33;30;23;1;10;97;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;2;;11;277;30;36;30;5;6;107;2;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;12;282;27;52;39;1;9;128;5;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;13A;218;20;58;25;0;1;104;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;13B;231;14;96;35;0;4;149;0;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;14A;219;23;63;16;1;6;109;3;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;14B;246;30;69;23;1;8;131;0;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;15;316;44;50;24;1;5;124;1;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;16;284;35;34;51;1;15;136;0;
