Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dessureault Vincent P.N.;Ferdinand Magdala P.L.Q./Q.L.P.;Harper Mary P.V.Q./G.P.Q.;Laramée Martin O.N. - P.I.Q.;Maher Michael É.A.P. - P.C.Q.;Roberge Jean-François C.A.Q.-É.F.L.;St-Arnaud Bertrand P.Q.;Vigeant Francis Q.S.;B.V.;B.R.;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;1;361;3;46;1;0;3;55;78;15;201;4;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;2;313;1;10;5;0;1;54;46;12;129;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;3;296;2;42;0;1;1;63;50;16;175;0;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;4;319;3;26;1;0;0;76;43;12;161;0;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;5;325;2;53;2;0;0;68;57;21;203;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;6;331;0;42;2;2;0;77;61;10;194;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;7;341;3;36;0;3;0;60;76;24;202;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;8;358;1;23;7;2;4;62;41;20;160;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;9;323;2;23;1;1;1;49;70;23;170;4;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;10;399;0;45;5;0;1;60;62;20;193;12;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;11;331;1;33;2;1;1;71;57;14;180;5;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;1;;12;349;0;49;0;0;1;89;74;13;226;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;13;310;1;41;4;0;0;64;69;7;186;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;14;306;1;21;2;0;0;98;57;12;191;2;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;15;321;1;34;0;0;0;92;52;9;188;6;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;16;302;2;24;6;0;0;97;53;14;196;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;17;314;3;25;4;2;1;98;55;7;195;2;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;18;343;0;32;0;0;0;101;55;17;205;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;19;309;5;30;0;2;2;87;43;20;189;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;20;315;1;24;2;0;0;82;60;14;183;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;21;312;2;22;2;0;1;87;52;15;181;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;22;314;1;36;0;0;0;95;50;8;190;4;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;23;292;4;37;0;0;0;57;60;10;168;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;2;;24;316;2;41;3;1;0;61;57;20;185;5;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;25;388;0;40;3;1;0;91;64;20;219;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;26;287;2;33;2;2;0;53;44;14;150;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;27;314;1;39;4;1;1;63;76;8;193;2;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;28;309;1;41;1;1;0;65;55;9;173;7;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;29;306;0;33;4;2;1;85;64;7;196;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;30;305;0;45;0;1;0;89;59;11;205;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;31;318;1;51;2;0;0;92;65;20;231;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;32;303;2;56;1;0;1;83;52;12;207;2;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;33;315;0;27;4;2;0;81;67;22;203;3;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;34;298;2;23;2;3;0;56;55;26;167;1;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;35;302;3;23;3;0;0;87;58;19;193;2;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;36;294;1;39;1;5;0;66;53;19;184;0;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;37;424;2;23;0;1;0;70;60;8;164;4;
193;Chambly;2014-04-07;G;Saint-Basile-le-Grand, v;3;;38;292;0;20;1;1;2;74;51;17;166;2;
193;Chambly;2014-04-07;G;Carignan, v;1;;39;321;1;32;4;1;0;75;58;12;183;2;
193;Chambly;2014-04-07;G;Carignan, v;1;;40;323;3;32;4;1;0;68;66;5;179;6;
193;Chambly;2014-04-07;G;Carignan, v;1;;41;302;2;21;3;0;0;66;58;11;161;1;
193;Chambly;2014-04-07;G;Carignan, v;1;;42;331;1;64;0;0;0;75;40;2;182;3;
193;Chambly;2014-04-07;G;Carignan, v;1;;43;376;0;67;2;0;2;78;38;11;198;0;
193;Chambly;2014-04-07;G;Carignan, v;1;;44;348;4;47;3;1;0;61;67;11;194;1;
193;Chambly;2014-04-07;G;Carignan, v;1;;45;322;2;61;0;1;0;75;33;6;178;1;
193;Chambly;2014-04-07;G;Carignan, v;1;;46;356;1;31;1;1;0;75;60;14;183;8;
193;Chambly;2014-04-07;G;Carignan, v;1;;47A;215;0;42;3;0;0;36;24;18;123;5;
193;Chambly;2014-04-07;G;Carignan, v;1;;47B;252;3;29;1;0;0;48;51;9;141;1;
193;Chambly;2014-04-07;G;Carignan, v;2;;48;360;2;44;4;2;0;90;47;12;201;0;
193;Chambly;2014-04-07;G;Carignan, v;2;;49;358;4;36;1;1;1;59;75;14;191;3;
193;Chambly;2014-04-07;G;Carignan, v;2;;50;343;2;58;1;1;1;92;52;10;217;3;
193;Chambly;2014-04-07;G;Carignan, v;2;;51;321;0;48;3;0;2;101;58;9;221;2;
193;Chambly;2014-04-07;G;Carignan, v;2;;52;321;1;39;3;0;0;70;55;18;186;1;
193;Chambly;2014-04-07;G;Carignan, v;2;;53;335;2;73;1;0;1;66;37;13;193;3;
193;Chambly;2014-04-07;G;Carignan, v;2;;54;347;2;76;3;1;0;66;44;7;199;2;
193;Chambly;2014-04-07;G;Carignan, v;2;;55;294;1;24;0;0;1;66;63;11;166;0;
193;Chambly;2014-04-07;G;Carignan, v;2;;56;299;1;21;1;1;1;43;56;8;132;2;
193;Chambly;2014-04-07;G;Carignan, v;2;;57;299;1;26;1;0;0;37;48;12;125;0;
193;Chambly;2014-04-07;G;Chambly, v;1;;58;279;2;20;4;3;1;46;63;9;148;4;
193;Chambly;2014-04-07;G;Chambly, v;1;;59;313;2;28;0;1;3;45;42;22;143;2;
193;Chambly;2014-04-07;G;Chambly, v;1;;60;258;1;26;4;0;1;35;58;19;144;3;
193;Chambly;2014-04-07;G;Chambly, v;1;;61;291;2;26;5;0;3;50;55;12;153;2;
193;Chambly;2014-04-07;G;Chambly, v;1;;62;292;5;32;4;0;0;51;62;22;176;5;
193;Chambly;2014-04-07;G;Chambly, v;2;;63;324;3;32;1;1;2;45;40;14;138;4;
193;Chambly;2014-04-07;G;Chambly, v;2;;64;325;2;30;1;2;1;58;56;21;171;2;
193;Chambly;2014-04-07;G;Chambly, v;2;;65;322;2;45;3;0;0;65;53;11;179;3;
193;Chambly;2014-04-07;G;Chambly, v;2;;66A;229;1;38;2;0;0;55;38;9;143;1;
193;Chambly;2014-04-07;G;Chambly, v;2;;66B;239;2;35;2;0;0;39;31;10;119;5;
193;Chambly;2014-04-07;G;Chambly, v;2;;67;406;1;41;2;1;1;65;65;16;192;1;
193;Chambly;2014-04-07;G;Chambly, v;2;;68;334;3;40;3;1;1;53;53;21;175;4;
193;Chambly;2014-04-07;G;Chambly, v;3;;69;332;2;45;2;2;0;57;59;19;186;3;
193;Chambly;2014-04-07;G;Chambly, v;3;;70;334;1;48;4;3;1;46;55;22;180;3;
193;Chambly;2014-04-07;G;Chambly, v;3;;71;344;3;30;2;3;1;66;63;20;188;0;
193;Chambly;2014-04-07;G;Chambly, v;3;;72;357;0;30;3;0;0;62;76;9;180;3;
193;Chambly;2014-04-07;G;Chambly, v;3;;73;330;3;30;3;1;0;83;62;7;189;2;
193;Chambly;2014-04-07;G;Chambly, v;3;;74;337;3;38;2;2;0;64;48;26;183;6;
193;Chambly;2014-04-07;G;Chambly, v;4;;75A;265;4;26;1;0;1;48;47;10;137;4;
193;Chambly;2014-04-07;G;Chambly, v;4;;75B;260;1;20;2;2;3;62;47;10;147;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;76A;336;0;45;0;0;1;81;63;14;204;1;
193;Chambly;2014-04-07;G;Chambly, v;4;;76B;308;0;43;1;2;1;72;52;8;179;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;77;379;3;52;1;4;0;80;57;14;211;1;
193;Chambly;2014-04-07;G;Chambly, v;4;;78;320;4;44;1;1;1;64;56;14;185;6;
193;Chambly;2014-04-07;G;Chambly, v;4;;79;295;3;35;0;3;0;67;51;14;173;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;80;311;2;43;1;0;1;51;42;15;155;6;
193;Chambly;2014-04-07;G;Chambly, v;4;;81;405;3;52;1;4;0;71;79;13;223;2;
193;Chambly;2014-04-07;G;Chambly, v;4;;82;326;4;39;4;0;0;55;71;20;193;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;83;314;2;41;3;1;3;67;51;18;186;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;84;325;1;47;1;1;0;70;51;15;186;5;
193;Chambly;2014-04-07;G;Chambly, v;4;;85;426;1;44;2;0;0;114;68;12;241;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;86;321;3;39;4;1;0;82;39;16;184;0;
193;Chambly;2014-04-07;G;Chambly, v;4;;87;293;1;28;2;0;0;66;53;16;166;4;
193;Chambly;2014-04-07;G;Chambly, v;4;;88A;321;3;32;1;0;0;87;47;7;177;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;88B;405;3;36;4;0;0;85;69;21;218;3;
