Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Champagne Noëlla P.Q.;D'Amours Andrew C.A.Q.-É.F.L.;Favreau Lucie Q.S.;Lavigne-Lefebvre Nicolas O.N. - P.I.Q.;B.V.;B.R.;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;1;336;43;56;62;9;0;170;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;2;333;55;55;62;7;0;179;0;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;3;327;36;63;63;13;1;176;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;4;406;58;60;85;12;3;218;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;5;310;33;52;68;10;1;164;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;6;350;51;54;76;10;0;191;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;7;292;41;26;59;9;2;137;0;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;8;346;54;61;67;20;1;203;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;9;353;43;52;70;12;0;177;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;10;332;48;50;56;10;1;165;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;26;;11;322;33;49;76;8;3;169;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;12;348;26;62;67;12;2;169;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;13;341;37;48;70;9;6;170;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;14;354;56;45;63;8;0;172;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;15;363;48;57;75;9;2;191;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;16;350;54;54;73;16;5;202;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;27;;17;419;46;57;81;11;2;197;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;18;374;69;47;95;9;1;221;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;19;398;66;51;95;13;0;225;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;20;381;64;43;98;6;1;212;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;21;379;63;49;79;8;0;199;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;22;386;36;62;78;14;2;192;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;23;601;57;50;76;4;3;190;10;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;24;390;79;48;93;14;0;234;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;25A;232;32;36;46;8;0;122;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;25B;254;52;32;69;8;0;161;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;26;403;40;40;75;5;0;160;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;27;379;62;45;73;13;1;194;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;28;;28;381;72;59;64;8;0;203;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;29;321;64;40;70;11;2;187;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;30;314;76;28;53;9;0;166;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;31;320;71;48;58;9;0;186;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;32;324;78;30;55;15;0;178;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;33;332;42;41;49;13;1;146;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;34;346;43;33;39;9;0;124;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;35;349;57;45;56;18;1;177;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;36;345;46;49;40;5;1;141;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;37;352;44;48;57;12;2;163;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;29;;38;399;29;19;33;9;1;91;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;39;396;38;30;50;5;0;123;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;40;402;48;39;38;4;1;130;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;41;437;60;39;52;8;3;162;4;
