Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Avalos Laura Q.S.;Boily Philippe O.N. - P.I.Q.;Carrière Marc P.L.Q./Q.L.P.;Fleury Roger P.V.Q./G.P.Q.;Morin Yves P.Q.;Pelletier Carl C.A.Q.-É.F.L.;Soublière Pierre P.M.L.Q.;B.V.;B.R.;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;1;238;4;0;57;2;18;27;0;108;2;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;2;235;5;3;72;0;28;17;1;126;4;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;3;237;6;0;90;3;22;17;0;138;2;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;4;275;9;0;98;5;23;24;0;159;2;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;5;241;5;1;101;0;21;9;0;137;4;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;6;241;11;3;73;1;21;20;1;130;4;
559;Chapleau;2014-04-07;G;Gatineau, v;28;;7;249;6;1;73;1;18;18;0;117;0;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;8;288;2;0;83;1;15;26;1;128;4;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;9;245;2;0;44;2;26;18;0;92;1;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;10;285;14;0;72;4;24;18;1;133;1;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;11;277;12;0;71;5;32;21;2;143;1;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;12;279;11;4;93;3;32;16;0;159;3;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;13;356;6;0;97;1;28;35;0;167;1;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;14;259;3;2;60;1;21;26;0;113;8;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;15;260;13;2;80;4;17;19;0;135;2;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;16;271;8;2;84;1;15;18;0;128;2;
559;Chapleau;2014-04-07;G;Gatineau, v;29;;17;282;5;1;57;1;26;24;0;114;1;
559;Chapleau;2014-04-07;G;Gatineau, v;30;;18;349;10;1;71;3;25;20;0;130;2;
559;Chapleau;2014-04-07;G;Gatineau, v;30;;19;356;14;0;69;7;23;15;1;129;1;
559;Chapleau;2014-04-07;G;Gatineau, v;30;;20;347;5;1;79;4;30;35;0;154;2;
559;Chapleau;2014-04-07;G;Gatineau, v;30;;21;339;3;2;72;3;18;25;0;123;3;
559;Chapleau;2014-04-07;G;Gatineau, v;30;;22;362;9;1;51;7;17;17;0;102;1;
559;Chapleau;2014-04-07;G;Gatineau, v;31;;23;373;5;2;98;4;14;27;1;151;0;
559;Chapleau;2014-04-07;G;Gatineau, v;31;;24;377;2;3;137;2;21;19;2;186;0;
559;Chapleau;2014-04-07;G;Gatineau, v;31;;25;395;8;2;118;4;40;36;0;208;5;
559;Chapleau;2014-04-07;G;Gatineau, v;31;;26;427;6;1;95;1;21;27;2;153;3;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;27;388;19;1;104;1;24;31;2;182;4;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;28;388;12;1;105;8;33;20;1;180;3;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;29;408;15;4;99;8;36;36;0;198;0;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;30;404;15;1;100;2;34;48;0;200;2;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;31;383;12;0;88;6;35;25;1;167;6;
559;Chapleau;2014-04-07;G;Gatineau, v;32;;32;377;9;3;90;4;23;25;2;156;4;
