Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Cyr Guillaume O.N. - P.I.Q.;Domingue Marie Céline Q.S.;Fiset Sylvain P.N.;Fournier Normand P.M.L.Q.;Jovanovic Milan É.A.P. - P.C.Q.;Lachance Daniel P.U.N.;Payette Dominique P.Q.;Trudel Denise C.A.Q.-É.F.L.;B.V.;B.R.;
619;Charlesbourg;2014-04-07;G;Québec, v;108;;1;422;43;2;11;3;0;1;0;24;78;162;3;
619;Charlesbourg;2014-04-07;G;Québec, v;108;;2;378;51;1;10;0;0;1;1;24;75;163;0;
619;Charlesbourg;2014-04-07;G;Québec, v;108;;3;380;66;0;19;1;0;2;0;30;70;188;7;
619;Charlesbourg;2014-04-07;G;Québec, v;108;;4;391;60;0;9;0;0;1;0;25;60;155;2;
619;Charlesbourg;2014-04-07;G;Québec, v;108;;5;399;41;6;11;2;0;0;0;32;69;161;0;
619;Charlesbourg;2014-04-07;G;Québec, v;109;;6;387;58;1;10;5;0;0;0;25;47;146;0;
619;Charlesbourg;2014-04-07;G;Québec, v;109;;7;348;50;3;9;1;0;5;0;29;59;156;0;
619;Charlesbourg;2014-04-07;G;Québec, v;109;;8;382;59;0;16;2;0;3;0;17;76;173;4;
619;Charlesbourg;2014-04-07;G;Québec, v;109;;9;659;71;1;9;1;1;5;0;15;60;163;0;
619;Charlesbourg;2014-04-07;G;Québec, v;109;;10;731;94;0;8;0;0;1;0;38;54;195;1;
619;Charlesbourg;2014-04-07;G;Québec, v;110;;11;525;55;2;12;2;1;3;2;34;63;174;2;
619;Charlesbourg;2014-04-07;G;Québec, v;110;;12;627;45;2;13;3;1;2;1;24;65;156;5;
619;Charlesbourg;2014-04-07;G;Québec, v;110;;13;392;73;3;21;1;0;3;0;27;58;186;3;
619;Charlesbourg;2014-04-07;G;Québec, v;110;;14;385;64;3;15;1;0;1;0;30;68;182;2;
619;Charlesbourg;2014-04-07;G;Québec, v;110;;15;391;39;2;11;2;0;2;1;33;77;167;0;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;16;405;41;1;17;3;0;3;0;30;68;163;0;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;17;312;31;0;11;2;0;2;2;21;52;121;4;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;18;394;67;3;9;4;1;3;0;24;56;167;5;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;19;350;58;0;6;2;0;3;0;15;66;150;5;
