Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Sainte-Catherine, m;1;;1;187;1;25;61;1;27;1;116;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sagard, no;1;;2;107;4;9;30;0;19;0;62;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Mont-Élie, no;1;;3;53;0;1;6;0;9;0;16;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Siméon, m;1;;4;372;3;33;80;0;41;1;158;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Siméon, m;1;;5;361;9;23;37;3;54;2;128;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Siméon, m;1;;6;348;5;16;74;1;47;2;145;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;7;352;13;42;79;3;55;2;194;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;8;349;12;51;85;2;58;1;209;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;9;339;5;16;79;0;41;1;142;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;10;324;18;45;85;2;34;1;185;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;11;350;7;40;87;1;38;2;175;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;12;340;4;29;65;0;59;1;158;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;13;336;5;40;73;0;57;1;176;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;1;;14;335;2;38;76;1;55;0;172;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;2;;15;346;5;23;78;2;35;2;145;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;2;;16;325;6;17;81;2;27;2;135;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;2;;17;386;2;25;55;2;54;0;138;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;2;;18;326;12;32;62;1;48;2;157;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;2;;19;337;10;32;87;1;48;0;178;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;20;323;4;24;60;0;44;0;132;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;21;328;12;30;79;1;46;1;169;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;22;340;7;28;64;2;48;0;149;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;23;323;5;37;75;0;55;0;172;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;24;354;11;57;66;0;46;3;183;0;
