Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernheim Jean Claude Q.S.;Chartier Bernard P.L.Q./Q.L.P.;Deltell Gérard C.A.Q.-É.F.L.;Leblanc Sophie O.N. - P.I.Q.;Plamondon Julie É.A.P. - P.C.Q.;Robitaille Christian P.Q.;B.V.;B.R.;
613;Chauveau;2014-04-07;G;Québec, v;83;;1;299;8;21;58;1;1;19;108;1;
613;Chauveau;2014-04-07;G;Québec, v;83;;2;279;3;22;63;0;3;6;97;1;
613;Chauveau;2014-04-07;G;Québec, v;83;;3;268;6;27;49;3;3;12;100;3;
613;Chauveau;2014-04-07;G;Québec, v;83;;4;274;8;41;59;0;0;13;121;4;
613;Chauveau;2014-04-07;G;Québec, v;83;;5;309;6;33;76;1;2;13;131;3;
613;Chauveau;2014-04-07;G;Québec, v;83;;6;314;6;43;71;0;2;20;142;1;
613;Chauveau;2014-04-07;G;Québec, v;83;;7;317;1;41;102;5;2;32;183;2;
613;Chauveau;2014-04-07;G;Québec, v;94;;8;315;9;23;86;0;4;19;141;1;
613;Chauveau;2014-04-07;G;Québec, v;94;;9;291;5;41;45;2;3;17;113;2;
613;Chauveau;2014-04-07;G;Québec, v;94;;10;316;6;34;86;1;0;16;143;7;
613;Chauveau;2014-04-07;G;Québec, v;94;;11;316;8;34;53;1;2;11;109;3;
613;Chauveau;2014-04-07;G;Québec, v;94;;12;316;4;39;77;0;2;21;143;3;
613;Chauveau;2014-04-07;G;Québec, v;94;;13;338;7;39;77;2;0;22;147;1;
613;Chauveau;2014-04-07;G;Québec, v;94;;14;332;5;31;80;1;0;16;133;0;
613;Chauveau;2014-04-07;G;Québec, v;94;;15;293;9;21;60;1;0;4;95;3;
613;Chauveau;2014-04-07;G;Québec, v;94;;16;340;6;39;54;2;0;6;107;2;
613;Chauveau;2014-04-07;G;Québec, v;95;Regr. BVO-18;17;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;95;;18;349;5;45;88;4;2;16;160;4;
613;Chauveau;2014-04-07;G;Québec, v;95;;19;268;7;29;78;5;1;16;136;0;
613;Chauveau;2014-04-07;G;Québec, v;95;;20;351;3;45;84;0;1;20;153;2;
613;Chauveau;2014-04-07;G;Québec, v;95;;21;299;8;45;82;1;2;25;163;1;
613;Chauveau;2014-04-07;G;Québec, v;95;;22;282;11;53;70;2;2;25;163;6;
613;Chauveau;2014-04-07;G;Québec, v;95;;23;356;10;38;94;4;3;23;172;2;
613;Chauveau;2014-04-07;G;Québec, v;95;Regr. BVO-23;24;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;95;Regr. BVO-27;25;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;95;Regr. BVO-27;26;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;95;;27;327;6;32;50;0;2;18;108;3;
613;Chauveau;2014-04-07;G;Québec, v;96;;28;327;12;35;100;2;0;19;168;4;
613;Chauveau;2014-04-07;G;Québec, v;96;;29;350;1;39;135;0;0;25;200;1;
613;Chauveau;2014-04-07;G;Québec, v;96;;30;328;8;38;103;3;1;26;179;8;
613;Chauveau;2014-04-07;G;Québec, v;96;;31;344;9;47;101;2;1;20;180;3;
613;Chauveau;2014-04-07;G;Québec, v;96;;32;353;8;44;102;1;2;17;174;5;
613;Chauveau;2014-04-07;G;Québec, v;96;;33;344;13;38;96;0;2;20;169;1;
613;Chauveau;2014-04-07;G;Québec, v;96;;34;327;10;26;75;0;2;40;153;0;
613;Chauveau;2014-04-07;G;Québec, v;96;;35;324;5;53;86;1;0;16;161;4;
613;Chauveau;2014-04-07;G;Québec, v;97;;36;302;12;22;74;4;4;23;139;0;
613;Chauveau;2014-04-07;G;Québec, v;97;;37;319;4;35;106;1;1;26;173;1;
613;Chauveau;2014-04-07;G;Québec, v;97;;38;385;7;32;96;1;1;20;157;1;
613;Chauveau;2014-04-07;G;Québec, v;97;Regr. BVO-38;39;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;97;;40;348;7;43;62;1;1;14;128;0;
613;Chauveau;2014-04-07;G;Québec, v;97;Regr. BVO-40;41;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;97;;42;313;8;47;77;2;0;17;151;1;
613;Chauveau;2014-04-07;G;Québec, v;98;;43;275;7;24;71;0;0;10;112;4;
613;Chauveau;2014-04-07;G;Québec, v;98;;44;292;4;41;79;3;0;20;147;1;
613;Chauveau;2014-04-07;G;Québec, v;98;;45;373;8;37;71;3;3;16;138;2;
613;Chauveau;2014-04-07;G;Québec, v;98;;46;290;5;40;87;1;1;22;156;0;
613;Chauveau;2014-04-07;G;Québec, v;98;;47;265;6;29;66;3;2;23;129;1;
613;Chauveau;2014-04-07;G;Québec, v;98;;48;281;4;31;76;0;1;13;125;3;
613;Chauveau;2014-04-07;G;Québec, v;99;;49;369;4;52;116;0;1;18;191;1;
613;Chauveau;2014-04-07;G;Québec, v;99;;50;406;2;52;102;2;5;24;187;2;
613;Chauveau;2014-04-07;G;Québec, v;99;;51;332;8;44;71;2;1;18;144;4;
613;Chauveau;2014-04-07;G;Québec, v;99;;52;361;4;51;77;2;1;21;156;3;
613;Chauveau;2014-04-07;G;Québec, v;99;;53;358;3;37;89;2;2;21;154;3;
613;Chauveau;2014-04-07;G;Québec, v;100;;54;274;1;40;85;1;1;8;136;1;
613;Chauveau;2014-04-07;G;Québec, v;100;;55;298;5;34;83;0;4;8;134;2;
613;Chauveau;2014-04-07;G;Québec, v;100;;56;378;5;48;87;1;1;12;154;3;
613;Chauveau;2014-04-07;G;Québec, v;100;;57;306;2;39;89;1;0;21;152;0;
613;Chauveau;2014-04-07;G;Québec, v;100;;58;289;5;36;87;1;1;14;144;3;
613;Chauveau;2014-04-07;G;Québec, v;100;;59;292;8;38;97;2;2;12;159;3;
613;Chauveau;2014-04-07;G;Québec, v;100;;60;278;8;35;92;0;3;16;154;2;
613;Chauveau;2014-04-07;G;Québec, v;101;;61;301;3;48;137;0;1;11;200;2;
613;Chauveau;2014-04-07;G;Québec, v;101;;62;331;7;56;133;0;2;19;217;8;
613;Chauveau;2014-04-07;G;Québec, v;101;;63;307;4;48;149;0;3;15;219;1;
613;Chauveau;2014-04-07;G;Québec, v;101;;64;321;9;38;116;1;3;20;187;3;
613;Chauveau;2014-04-07;G;Québec, v;101;;65;323;11;42;122;1;0;15;191;0;
613;Chauveau;2014-04-07;G;Québec, v;101;;66;336;5;44;126;0;0;17;192;4;
613;Chauveau;2014-04-07;G;Québec, v;101;;67;316;5;47;105;0;4;13;174;5;
613;Chauveau;2014-04-07;G;Québec, v;101;;68;329;9;45;112;0;2;26;194;2;
613;Chauveau;2014-04-07;G;Québec, v;101;;69;316;5;37;98;0;1;15;156;2;
613;Chauveau;2014-04-07;G;Québec, v;101;;70;314;5;32;104;0;0;15;156;2;
613;Chauveau;2014-04-07;G;Québec, v;101;;71;329;3;46;98;3;0;11;161;1;
613;Chauveau;2014-04-07;G;Québec, v;101;;72;320;6;44;109;1;3;15;178;1;
613;Chauveau;2014-04-07;G;Québec, v;101;;73;317;5;39;47;1;0;9;101;1;
613;Chauveau;2014-04-07;G;Québec, v;101;;74;348;4;39;87;1;2;19;152;4;
613;Chauveau;2014-04-07;G;Québec, v;102;;75;311;6;24;77;0;3;18;128;1;
613;Chauveau;2014-04-07;G;Québec, v;102;;76;323;3;37;100;1;2;16;159;3;
613;Chauveau;2014-04-07;G;Québec, v;102;;77;383;6;48;152;1;4;16;227;1;
613;Chauveau;2014-04-07;G;Québec, v;102;;78;301;3;29;85;1;4;14;136;1;
613;Chauveau;2014-04-07;G;Québec, v;102;;79;291;2;35;87;1;3;9;137;3;
613;Chauveau;2014-04-07;G;Québec, v;102;;80;314;8;49;104;0;3;13;177;7;
613;Chauveau;2014-04-07;G;Québec, v;102;;81;301;7;29;119;0;1;13;169;3;
613;Chauveau;2014-04-07;G;Québec, v;102;;82;325;3;50;118;2;1;17;191;5;
613;Chauveau;2014-04-07;G;Québec, v;102;;83;313;6;44;106;2;1;13;172;2;
613;Chauveau;2014-04-07;G;Québec, v;102;;84;406;2;70;131;0;4;10;217;2;
613;Chauveau;2014-04-07;G;Québec, v;102;;85;350;2;39;123;3;7;13;187;4;
613;Chauveau;2014-04-07;G;Québec, v;102;;86;380;9;45;106;0;0;25;185;1;
613;Chauveau;2014-04-07;G;Québec, v;103;;87;304;4;56;72;1;1;15;149;5;
613;Chauveau;2014-04-07;G;Québec, v;103;;88;313;11;26;116;2;2;15;172;4;
613;Chauveau;2014-04-07;G;Québec, v;103;;89;305;3;37;99;0;2;11;152;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;90;342;6;47;111;2;0;20;186;8;
613;Chauveau;2014-04-07;G;Québec, v;104;;91;317;16;40;82;5;1;30;174;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;92;314;4;47;101;1;0;30;183;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;93;311;7;49;93;1;0;13;163;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;94;319;4;43;93;1;2;14;157;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;95;319;5;40;101;0;0;15;161;1;
613;Chauveau;2014-04-07;G;Québec, v;104;;96;330;9;50;92;0;1;13;165;7;
613;Chauveau;2014-04-07;G;Québec, v;104;;97;345;4;32;115;2;1;20;174;4;
613;Chauveau;2014-04-07;G;Québec, v;104;;98;360;6;44;131;0;1;6;188;4;
613;Chauveau;2014-04-07;G;Québec, v;104;;99;351;6;54;141;1;2;6;210;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;100;352;5;54;142;0;2;13;216;0;
613;Chauveau;2014-04-07;G;Québec, v;104;;101;347;8;52;132;0;0;14;206;0;
613;Chauveau;2014-04-07;G;Québec, v;104;;102;369;4;42;135;0;7;24;212;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;103;300;8;37;85;0;0;11;141;3;
613;Chauveau;2014-04-07;G;Québec, v;104;;104;326;2;63;95;4;3;20;187;2;
613;Chauveau;2014-04-07;G;Québec, v;104;;105;335;8;45;109;1;1;9;173;1;
613;Chauveau;2014-04-07;G;Québec, v;105;;106;305;5;22;119;0;2;13;161;1;
613;Chauveau;2014-04-07;G;Québec, v;105;;107;305;2;34;83;1;1;13;134;3;
613;Chauveau;2014-04-07;G;Québec, v;105;;108;301;4;36;94;0;2;27;163;0;
613;Chauveau;2014-04-07;G;Québec, v;105;;109;310;6;44;85;0;4;15;154;2;
613;Chauveau;2014-04-07;G;Québec, v;105;;110;304;6;41;70;1;0;10;128;1;
613;Chauveau;2014-04-07;G;Québec, v;105;;111;313;5;48;104;0;3;23;183;3;
613;Chauveau;2014-04-07;G;Québec, v;105;;112;285;6;37;83;0;4;6;136;1;
613;Chauveau;2014-04-07;G;Québec, v;106;;113;318;6;48;94;2;2;16;168;1;
613;Chauveau;2014-04-07;G;Québec, v;106;;114;305;15;44;91;1;0;18;169;2;
613;Chauveau;2014-04-07;G;Québec, v;106;;115;340;2;44;87;1;1;13;148;0;
613;Chauveau;2014-04-07;G;Québec, v;106;;116;311;7;39;89;1;5;16;157;3;
613;Chauveau;2014-04-07;G;Québec, v;106;;117;309;8;31;92;1;0;24;156;1;
613;Chauveau;2014-04-07;G;Québec, v;106;;118;315;5;38;117;1;6;19;186;2;
613;Chauveau;2014-04-07;G;Québec, v;106;;119;295;6;40;82;1;0;22;151;0;
613;Chauveau;2014-04-07;G;Québec, v;106;;120;346;6;37;113;0;1;5;162;0;
613;Chauveau;2014-04-07;G;Québec, v;107;;121;313;5;55;75;1;3;22;161;2;
613;Chauveau;2014-04-07;G;Québec, v;107;;122;306;9;46;87;1;0;39;182;3;
613;Chauveau;2014-04-07;G;Québec, v;107;;123;288;1;47;87;1;1;15;152;1;
613;Chauveau;2014-04-07;G;Québec, v;107;;124;315;6;51;89;1;1;16;164;3;
613;Chauveau;2014-04-07;G;Québec, v;107;;125;307;5;33;90;0;2;23;153;4;
613;Chauveau;2014-04-07;G;Québec, v;107;;126;350;7;42;91;0;3;19;162;2;
613;Chauveau;2014-04-07;G;Québec, v;107;;127;412;9;34;116;0;6;18;183;0;
613;Chauveau;2014-04-07;G;Québec, v;107;Regr. BVO-127;128;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;107;;129;275;1;30;69;1;0;10;111;2;
613;Chauveau;2014-04-07;G;Québec, v;146;;130;307;2;40;106;0;0;18;166;2;
613;Chauveau;2014-04-07;G;Québec, v;146;;131;341;4;50;117;0;1;18;190;1;
613;Chauveau;2014-04-07;G;Québec, v;146;;132;314;7;41;98;4;1;29;180;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;133;354;13;57;129;1;2;11;213;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;134;355;12;57;121;1;6;10;207;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;135;354;6;48;91;2;3;22;172;0;
613;Chauveau;2014-04-07;G;Québec, v;146;;136;341;8;50;124;2;3;24;211;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;137;307;10;51;107;1;0;27;196;2;
613;Chauveau;2014-04-07;G;Québec, v;146;;138;356;4;50;114;1;3;24;196;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;139;337;12;68;101;2;3;23;209;6;
613;Chauveau;2014-04-07;G;Québec, v;146;;140;319;9;43;87;0;1;33;173;3;
613;Chauveau;2014-04-07;G;Québec, v;146;;141A;258;4;31;95;2;0;17;149;7;
613;Chauveau;2014-04-07;G;Québec, v;146;;141B;248;7;35;106;0;4;13;165;4;
613;Chauveau;2014-04-07;G;Québec, v;146;;142;305;5;45;78;2;0;22;152;2;
613;Chauveau;2014-04-07;G;Québec, v;146;;143;379;1;58;91;1;3;24;178;3;
613;Chauveau;2014-04-07;G;Québec, v;146;Regr. BVO-143;144;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Québec, v;148;;145;79;0;13;23;0;1;3;40;1;
613;Chauveau;2014-04-07;G;Québec, v;148;Regr. BVO-145;146;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Wendake, ri;1;;147;380;4;44;68;1;2;16;135;0;
613;Chauveau;2014-04-07;G;Wendake, ri;1;;148;429;0;67;121;2;2;7;199;3;
613;Chauveau;2014-04-07;G;Wendake, ri;1;;149;325;3;49;92;1;2;10;157;1;
613;Chauveau;2014-04-07;G;Wendake, ri;1;;150;363;6;67;83;1;0;7;164;2;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;151;321;4;61;87;0;1;23;176;3;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;152;301;8;60;96;1;0;17;182;3;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;153;331;6;47;91;0;0;13;157;5;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;154;352;12;70;77;2;2;22;185;3;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;155;324;8;58;95;0;1;17;179;3;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;156;323;12;51;74;2;0;20;159;4;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;157;313;7;47;93;2;1;32;182;1;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;158;397;16;47;133;2;4;31;233;3;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;159;311;6;57;91;2;0;30;186;2;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;160;321;16;40;115;2;3;24;200;0;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;161;365;11;59;101;1;1;27;200;4;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;162;301;12;43;104;2;0;25;186;4;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;163;292;10;55;88;0;0;23;176;1;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;164;291;4;54;88;0;0;14;160;0;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;165;295;8;44;83;1;0;18;154;1;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;166;291;14;47;87;0;2;17;167;0;
613;Chauveau;2014-04-07;G;Lac-Beauport, m;1;;167;320;1;57;122;2;1;22;205;1;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;168;329;4;36;96;1;0;29;166;3;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;169;316;5;30;82;5;4;21;147;1;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;170;335;10;39;94;0;11;8;162;2;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;171;306;3;41;84;0;3;21;152;2;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;172;321;8;45;99;0;1;34;187;2;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;173;351;9;47;98;3;1;16;174;0;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;174;325;17;36;76;3;2;38;172;3;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;175;358;5;47;89;2;3;22;168;2;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;176;423;9;59;169;0;5;22;264;4;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;177;373;1;52;153;1;1;15;223;4;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;178;336;16;29;106;0;4;29;184;2;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;179;337;4;59;103;1;8;15;190;1;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;180;313;6;33;78;0;2;16;135;5;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;181;384;20;44;129;2;5;26;226;0;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;182;325;7;36;101;3;6;28;181;6;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;183;335;9;34;130;1;4;14;192;3;
613;Chauveau;2014-04-07;G;Stoneham-et-Tewkesbury, cu;1;;184;325;11;41;84;2;4;25;167;2;
613;Chauveau;2014-04-07;G;Lac-Delage, v;1;;185;210;9;22;64;1;0;31;127;1;
613;Chauveau;2014-04-07;G;Lac-Delage, v;1;;186;223;15;27;86;2;0;27;157;3;
613;Chauveau;2014-04-07;G;BVA2;;;;0;32;360;371;6;5;149;923;8;
613;Chauveau;2014-04-07;G;BVA3;;;;0;25;268;301;5;5;110;714;6;
613;Chauveau;2014-04-07;G;BVA5;;;;0;13;330;317;5;6;129;800;8;
613;Chauveau;2014-04-07;G;BVA6;;;;0;25;308;292;1;2;113;741;2;
613;Chauveau;2014-04-07;G;BVA7;;;;0;9;243;253;2;11;71;589;6;
613;Chauveau;2014-04-07;G;BVA8;;;;0;20;319;344;0;3;80;766;5;
613;Chauveau;2014-04-07;G;BVA9;;;;0;16;164;211;4;1;85;481;2;
613;Chauveau;2014-04-07;G;BVA10;;;;0;6;150;215;5;5;51;432;5;
613;Chauveau;2014-04-07;G;BVA11;;;;0;10;241;273;4;9;72;609;4;
613;Chauveau;2014-04-07;G;BVA12;;;;0;27;306;286;4;7;122;752;11;
613;Chauveau;2014-04-07;G;BVA13;;;;0;15;245;280;3;7;87;637;4;
613;Chauveau;2014-04-07;G;BVA14;;;;0;21;264;245;3;7;102;642;6;
613;Chauveau;2014-04-07;G;BVA15;;;;0;19;233;230;2;9;90;583;5;
613;Chauveau;2014-04-07;G;BVA17;;;;0;20;259;239;3;3;121;645;6;
613;Chauveau;2014-04-07;G;BVA18;;;;0;18;248;246;0;3;109;624;4;
613;Chauveau;2014-04-07;G;BVA19;;;;0;34;195;319;3;3;114;668;7;
613;Chauveau;2014-04-07;G;BVA20;;;;0;21;191;272;3;3;120;610;2;
613;Chauveau;2014-04-07;G;BVA25;;;;0;10;284;273;3;6;82;658;10;
613;Chauveau;2014-04-07;G;BVA26;;;;0;14;229;323;2;13;65;646;1;
613;Chauveau;2014-04-07;G;Vote en installation d'hébergement;;;;0;10;174;118;8;6;43;359;12;
613;Chauveau;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;5;107;120;0;3;31;266;1;
613;Chauveau;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
613;Chauveau;2014-04-07;G;Vote hors circonscription;;;;0;77;298;270;20;13;105;783;16;
613;Chauveau;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;220;0;0;0;0;0;0;0;0;
