Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bédard Stéphane P.Q.;Doyon Jean-Francois C.A.Q.-É.F.L.;Godin Réjean Q.S.;Gosselin Philippe O.N. - P.I.Q.;Mallette Michel P.L.Q./Q.L.P.;Pettersen Marc Ind;B.V.;B.R.;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;1A;244;47;29;13;1;32;39;161;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;1B;219;28;25;5;0;22;19;99;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;2A;215;44;48;8;3;30;41;174;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;2B;217;14;8;10;0;15;12;59;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;3;380;57;26;10;3;44;56;196;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;4;378;80;35;11;0;50;64;240;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;5;392;68;28;6;3;43;59;207;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;6;410;82;44;12;1;60;58;257;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;7;397;110;25;13;5;49;50;252;8;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;8;410;54;32;8;2;33;65;194;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;28;;9;388;42;27;3;0;38;30;140;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;10;385;70;42;13;0;45;48;218;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;11;363;60;28;14;1;52;42;197;13;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;12;395;76;36;8;1;51;58;230;7;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;13;385;60;49;6;1;47;58;221;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;14;410;88;39;13;2;46;50;238;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;15;389;73;25;7;2;41;46;194;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;16;375;65;30;15;0;41;40;191;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;29;;17;371;65;37;9;2;27;39;179;7;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;18;362;54;24;15;1;51;34;179;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;19;354;61;45;13;1;44;40;204;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;20;354;76;37;7;2;47;28;197;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;21;354;80;51;10;2;42;29;214;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;22;366;76;39;18;0;45;45;223;11;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;23;373;60;42;13;1;51;43;210;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;24;368;64;36;9;1;35;63;208;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;30;;25;363;58;50;11;3;43;38;203;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;26;375;56;34;14;2;68;40;214;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;27;362;90;17;10;3;48;34;202;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;28;348;70;53;7;0;47;31;208;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;29;345;71;45;8;1;65;35;225;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;30;373;73;49;7;4;53;44;230;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;31;337;60;45;8;2;40;35;190;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;32;351;70;34;16;1;53;21;195;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;31;;33;362;80;37;12;0;35;28;192;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;34;402;71;52;20;2;69;9;223;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;35;373;73;37;10;4;56;31;211;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;36;381;87;53;9;0;59;38;246;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;37;384;63;42;17;2;76;25;225;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;38;393;87;48;18;1;54;25;233;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;39;390;79;59;16;1;46;22;223;9;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;40;361;77;30;12;1;36;22;178;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;41A;214;35;30;7;1;43;16;132;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;41B;222;46;33;3;0;33;10;125;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;42A;232;31;42;8;2;59;7;149;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;32;;42B;243;43;36;2;1;43;11;136;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;43;371;72;47;14;3;37;27;200;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;44;350;79;33;19;3;21;25;180;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;45;354;41;29;20;3;38;24;155;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;46;366;66;15;15;2;37;15;150;7;
