Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cooke Jean P.Q.;Dejoie Carlie C.A.Q.-É.F.L.;Edge Brendan P.V.Q./G.P.Q.;Gagnon Emily B.P.;Ouellette Guy P.L.Q./Q.L.P.;Rhéaume Lise-Anne Q.S.;Simard Patrick O.N. - P.I.Q.;B.V.;B.R.;
441;Chomedey;2014-04-07;G;Laval, v;17;Regr. BVDS-1;1;406;0;0;0;0;0;0;0;0;0;
441;Chomedey;2014-04-07;G;Laval, v;17;;2A;226;7;17;0;2;112;0;0;138;0;
441;Chomedey;2014-04-07;G;Laval, v;17;;2B;213;4;13;0;2;114;4;0;137;0;
441;Chomedey;2014-04-07;G;Laval, v;17;;3;407;29;39;1;3;172;9;0;253;4;
441;Chomedey;2014-04-07;G;Laval, v;17;;4;421;29;32;5;1;173;8;1;249;1;
441;Chomedey;2014-04-07;G;Laval, v;17;;5;421;15;20;3;0;214;5;1;258;2;
441;Chomedey;2014-04-07;G;Laval, v;17;;6;408;17;28;3;0;179;13;0;240;2;
441;Chomedey;2014-04-07;G;Laval, v;17;;7;402;21;27;0;2;193;4;1;248;1;
441;Chomedey;2014-04-07;G;Laval, v;18;;8;383;20;29;4;3;135;8;0;199;0;
441;Chomedey;2014-04-07;G;Laval, v;18;;9;363;13;14;1;2;112;6;0;148;1;
441;Chomedey;2014-04-07;G;Laval, v;18;;10;369;28;25;1;0;127;4;1;186;0;
441;Chomedey;2014-04-07;G;Laval, v;18;;11;368;11;13;1;1;177;6;0;209;3;
441;Chomedey;2014-04-07;G;Laval, v;18;;12;373;21;22;1;2;181;6;1;234;5;
441;Chomedey;2014-04-07;G;Laval, v;18;;13;369;23;16;2;0;165;6;0;212;2;
441;Chomedey;2014-04-07;G;Laval, v;18;;14;368;22;36;1;1;138;9;0;207;5;
441;Chomedey;2014-04-07;G;Laval, v;18;;15;380;34;21;1;1;155;10;0;222;6;
441;Chomedey;2014-04-07;G;Laval, v;18;;16;389;29;50;6;3;110;10;0;208;0;
441;Chomedey;2014-04-07;G;Laval, v;18;;17;362;19;26;4;0;142;5;2;198;5;
441;Chomedey;2014-04-07;G;Laval, v;18;;18;377;23;21;1;1;165;7;1;219;2;
441;Chomedey;2014-04-07;G;Laval, v;18;;19;420;13;21;3;3;182;5;2;229;0;
441;Chomedey;2014-04-07;G;Laval, v;18;;20;381;24;33;2;2;148;4;1;214;4;
441;Chomedey;2014-04-07;G;Laval, v;19;;21A;208;9;14;1;0;81;2;0;107;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;21B;225;10;24;1;0;92;2;0;129;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;22;606;45;54;1;0;90;8;0;198;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;23A;288;41;37;2;1;74;7;0;162;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;23B;163;16;25;1;1;32;6;1;82;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;24;399;33;37;2;2;113;8;0;195;2;
441;Chomedey;2014-04-07;G;Laval, v;19;;25;405;32;32;4;1;139;7;0;215;3;
441;Chomedey;2014-04-07;G;Laval, v;19;;26;369;38;32;2;1;96;10;3;182;4;
441;Chomedey;2014-04-07;G;Laval, v;19;;27;395;22;20;2;2;147;1;2;196;1;
441;Chomedey;2014-04-07;G;Laval, v;19;;28;357;37;41;4;5;57;9;3;156;2;
441;Chomedey;2014-04-07;G;Laval, v;19;;29;382;28;29;2;2;115;11;2;189;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;30A;297;20;39;1;0;110;3;0;173;1;
441;Chomedey;2014-04-07;G;Laval, v;19;;30B;300;32;32;3;0;107;7;0;181;1;
441;Chomedey;2014-04-07;G;Laval, v;19;;30C;312;32;30;0;2;81;3;0;148;0;
441;Chomedey;2014-04-07;G;Laval, v;19;;31;367;23;39;0;0;129;0;0;191;1;
441;Chomedey;2014-04-07;G;Laval, v;19;;32;395;46;41;1;0;118;10;1;217;2;
441;Chomedey;2014-04-07;G;Laval, v;19;;33A;308;14;39;1;1;113;5;0;173;4;
441;Chomedey;2014-04-07;G;Laval, v;19;;33B;323;18;52;0;0;101;3;0;174;2;
441;Chomedey;2014-04-07;G;Laval, v;20;;34;333;37;39;2;2;105;6;1;192;1;
441;Chomedey;2014-04-07;G;Laval, v;20;;35;313;22;54;0;3;105;10;4;198;2;
441;Chomedey;2014-04-07;G;Laval, v;20;;36;364;24;40;0;1;99;6;2;172;0;
441;Chomedey;2014-04-07;G;Laval, v;20;;37;550;44;37;6;0;122;8;0;217;0;
441;Chomedey;2014-04-07;G;Laval, v;20;;38;339;18;20;1;1;75;3;3;121;1;
441;Chomedey;2014-04-07;G;Laval, v;20;;39;1268;36;22;0;3;105;12;0;178;1;
441;Chomedey;2014-04-07;G;Laval, v;21;;40;368;42;37;1;0;85;5;0;170;0;
441;Chomedey;2014-04-07;G;Laval, v;21;;41;344;23;26;2;0;119;14;0;184;4;
441;Chomedey;2014-04-07;G;Laval, v;21;;42;387;13;16;3;2;189;3;1;227;1;
441;Chomedey;2014-04-07;G;Laval, v;21;;43;383;19;27;4;0;202;9;0;261;3;
441;Chomedey;2014-04-07;G;Laval, v;21;;44;358;15;32;0;1;142;14;0;204;3;
441;Chomedey;2014-04-07;G;Laval, v;21;;45;381;29;24;2;1;172;12;0;240;0;
441;Chomedey;2014-04-07;G;Laval, v;21;;46;361;27;14;1;2;168;9;1;222;0;
441;Chomedey;2014-04-07;G;Laval, v;21;;47;350;23;25;0;6;136;8;3;201;4;
441;Chomedey;2014-04-07;G;Laval, v;22;;48A;281;35;26;2;3;77;11;0;154;3;
441;Chomedey;2014-04-07;G;Laval, v;22;;48B;158;9;14;3;1;54;2;0;83;2;
441;Chomedey;2014-04-07;G;Laval, v;22;;49;403;24;26;6;1;135;11;2;205;3;
441;Chomedey;2014-04-07;G;Laval, v;22;;50;399;34;39;2;1;130;4;0;210;3;
441;Chomedey;2014-04-07;G;Laval, v;22;;51;416;43;21;2;1;108;7;1;183;9;
441;Chomedey;2014-04-07;G;Laval, v;22;;52A;239;13;12;1;5;89;8;1;129;0;
441;Chomedey;2014-04-07;G;Laval, v;22;;52B;236;8;20;3;0;75;2;0;108;1;
441;Chomedey;2014-04-07;G;Laval, v;23;;53;299;26;23;5;3;52;9;0;118;2;
441;Chomedey;2014-04-07;G;Laval, v;23;;54;275;38;22;4;2;63;4;0;133;0;
441;Chomedey;2014-04-07;G;Laval, v;23;;55;423;25;34;2;0;87;4;3;155;3;
441;Chomedey;2014-04-07;G;Laval, v;23;;56;988;36;20;2;1;134;8;2;203;1;
441;Chomedey;2014-04-07;G;Laval, v;23;;57;318;26;16;1;1;107;7;2;160;3;
441;Chomedey;2014-04-07;G;Laval, v;24;;58;361;27;18;2;1;104;7;1;160;1;
441;Chomedey;2014-04-07;G;Laval, v;24;;59;357;19;33;4;2;139;5;0;202;3;
441;Chomedey;2014-04-07;G;Laval, v;24;;60;380;27;14;3;0;129;11;0;184;6;
441;Chomedey;2014-04-07;G;Laval, v;24;;61;369;37;19;0;0;112;10;2;180;2;
441;Chomedey;2014-04-07;G;Laval, v;25;;62;368;9;22;3;0;133;2;1;170;1;
441;Chomedey;2014-04-07;G;Laval, v;25;;63;327;8;3;2;1;165;2;0;181;1;
441;Chomedey;2014-04-07;G;Laval, v;25;;64;358;6;10;0;0;203;2;0;221;0;
441;Chomedey;2014-04-07;G;Laval, v;25;;65;374;2;9;0;2;197;5;2;217;1;
441;Chomedey;2014-04-07;G;Laval, v;25;;66;372;2;5;1;0;227;1;0;236;0;
441;Chomedey;2014-04-07;G;Laval, v;25;;67;354;5;6;1;1;247;2;0;262;2;
441;Chomedey;2014-04-07;G;Laval, v;25;;68;351;2;4;2;1;211;0;0;220;0;
441;Chomedey;2014-04-07;G;Laval, v;26;;69;362;33;19;1;1;131;7;1;193;0;
441;Chomedey;2014-04-07;G;Laval, v;26;;70;368;6;15;1;1;231;0;0;254;1;
441;Chomedey;2014-04-07;G;Laval, v;26;;71;351;30;22;3;2;101;8;0;166;1;
441;Chomedey;2014-04-07;G;Laval, v;26;;72;347;16;28;2;0;138;5;2;191;1;
441;Chomedey;2014-04-07;G;Laval, v;26;;73;509;8;16;1;1;203;3;1;233;0;
441;Chomedey;2014-04-07;G;Laval, v;26;;74;393;3;14;2;0;228;3;0;250;2;
441;Chomedey;2014-04-07;G;Laval, v;26;;75;383;21;24;0;1;158;3;1;208;2;
441;Chomedey;2014-04-07;G;Laval, v;26;;76;382;13;19;1;0;196;2;0;231;2;
441;Chomedey;2014-04-07;G;Laval, v;27;;77;384;7;10;3;1;223;2;0;246;3;
441;Chomedey;2014-04-07;G;Laval, v;27;;78;363;2;5;2;0;243;1;0;253;0;
441;Chomedey;2014-04-07;G;Laval, v;27;;79;371;5;4;1;0;224;0;0;234;3;
441;Chomedey;2014-04-07;G;Laval, v;27;;80;378;4;9;2;2;199;1;1;218;1;
441;Chomedey;2014-04-07;G;Laval, v;27;;81;349;3;8;0;0;217;6;0;234;1;
441;Chomedey;2014-04-07;G;Laval, v;27;;82;409;19;4;3;1;139;4;0;170;1;
441;Chomedey;2014-04-07;G;Laval, v;27;;83;367;9;8;1;2;192;1;1;214;1;
441;Chomedey;2014-04-07;G;Laval, v;27;;84;367;21;39;2;1;123;8;0;194;0;
441;Chomedey;2014-04-07;G;Laval, v;28;;85;411;5;23;1;1;166;1;0;197;2;
441;Chomedey;2014-04-07;G;Laval, v;28;;86A;233;2;9;1;1;145;2;0;160;3;
441;Chomedey;2014-04-07;G;Laval, v;28;;86B;207;5;3;0;1;112;0;0;121;0;
441;Chomedey;2014-04-07;G;Laval, v;28;;87A;199;11;22;2;0;63;4;2;104;2;
441;Chomedey;2014-04-07;G;Laval, v;28;;87B;255;6;6;3;2;124;1;0;142;1;
441;Chomedey;2014-04-07;G;Laval, v;28;;88A;219;0;12;1;0;124;1;0;138;1;
441;Chomedey;2014-04-07;G;Laval, v;28;;88B;214;1;3;3;0;137;2;0;146;1;
441;Chomedey;2014-04-07;G;Laval, v;28;;89;404;6;8;2;1;245;3;1;266;2;
441;Chomedey;2014-04-07;G;Laval, v;28;;90;405;9;9;3;0;184;8;0;213;3;
441;Chomedey;2014-04-07;G;Laval, v;28;;91A;289;10;35;0;0;116;5;3;169;2;
441;Chomedey;2014-04-07;G;Laval, v;28;;91B;303;18;30;2;0;110;6;1;167;0;
