Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;1;328;14;4;0;2;29;87;61;197;6;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;2;301;15;1;1;1;36;74;31;159;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;3;358;10;1;0;0;28;114;44;197;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;4A;258;11;3;3;0;15;96;51;179;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;4B;249;5;2;1;1;17;71;47;144;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;5;302;5;4;4;2;20;81;45;161;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;6A;207;5;0;2;0;18;72;50;147;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;6B;239;5;2;0;0;19;53;62;141;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;7;300;12;4;0;2;21;66;57;162;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;8;319;10;1;1;0;30;68;56;166;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;9;308;6;2;0;2;14;90;41;155;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;10;315;4;4;1;0;12;80;51;152;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;11;301;8;3;1;1;17;80;50;160;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;12;310;11;1;1;2;20;81;54;170;7;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;13A;369;13;9;2;0;28;107;68;227;11;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;1;;13B;315;4;5;1;0;24;126;46;206;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;14;299;10;5;1;0;27;86;38;167;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;15A;276;4;2;1;1;14;83;39;144;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;15B;300;4;4;0;1;22;84;39;154;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;16;329;1;1;2;1;18;83;41;147;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;17;308;5;1;0;0;13;82;49;150;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;18;295;5;4;4;1;19;94;40;167;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;2;;19;307;7;4;0;0;16;74;57;158;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;20;307;6;5;1;1;21;96;48;178;6;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;21;323;6;1;3;2;11;108;38;169;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;22;355;10;3;1;0;16;138;60;228;7;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;23;309;10;3;0;3;22;106;32;176;0;
