Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chalhoub Claude É.A.P. - P.C.Q.;Cloutier Claudia C.A.Q.-É.F.L.;Laberge Xavier P.- Q.S.;Mailly François U.C.Q./Q.C.U.;Masse Vincent O.N. - P.I.Q.;Moreau Pierre P.L.Q./Q.L.P.;Pilon Laurent P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.;
173;Châteauguay;2014-04-07;G;Châteauguay, v;1;;1;323;0;46;20;0;1;48;46;1;162;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;1;;2;353;1;45;17;0;4;57;58;0;182;7;
173;Châteauguay;2014-04-07;G;Châteauguay, v;1;;3;336;0;54;27;0;0;68;49;1;199;10;
173;Châteauguay;2014-04-07;G;Châteauguay, v;1;;4;373;2;44;10;2;2;45;54;0;159;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;1;;5;346;0;49;7;0;0;56;64;0;176;5;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;6;379;1;61;9;0;2;99;46;0;218;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;7;366;1;55;14;0;0;84;56;0;210;7;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;8;367;1;58;15;0;0;85;49;1;209;5;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;9;358;0;42;10;0;2;80;45;0;179;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;10;358;0;48;12;0;2;97;42;1;202;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;11;341;1;41;14;0;1;56;51;0;164;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;12;359;2;44;17;0;2;81;45;0;191;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;2;;13;372;0;18;9;1;0;80;34;3;145;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;14;366;1;40;15;0;3;89;42;2;192;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;15;395;0;44;10;0;1;92;62;0;209;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;16;401;1;40;25;1;1;86;51;1;206;7;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;17A;268;2;33;2;0;3;74;35;0;149;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;17B;241;0;31;8;1;0;89;21;0;150;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;18;354;0;70;19;0;1;75;39;0;204;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;19;347;1;38;4;1;1;83;32;2;162;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;20;338;0;51;17;1;1;69;39;0;178;5;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;21;362;0;26;21;0;1;68;61;1;178;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;22;377;1;45;15;0;3;73;53;1;191;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;23;357;1;36;14;0;3;79;29;0;162;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;24;372;1;30;15;0;0;68;35;0;149;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;3;;25;409;1;45;23;0;2;71;48;0;190;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;26;381;1;32;9;2;1;130;51;0;226;7;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;27;403;1;53;5;0;3;150;37;0;249;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;28A;264;1;29;5;0;1;116;22;1;175;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;28B;274;2;24;4;1;0;120;31;0;182;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;29;402;0;70;18;0;2;124;39;1;254;5;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;30;407;1;39;10;1;3;159;45;1;259;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;31;392;2;40;14;0;1;136;51;0;244;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;4;;32;406;0;41;11;0;2;160;30;0;244;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;33;366;1;20;14;1;1;117;32;1;187;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;34;389;2;41;12;0;0;143;37;0;235;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;35;355;0;23;7;1;4;113;49;0;197;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;36;391;2;40;9;0;0;138;33;0;222;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;37;506;1;33;8;1;4;97;25;0;169;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;38;502;1;32;14;0;0;117;43;0;207;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;39A;236;0;17;7;0;0;74;33;0;131;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;39B;237;0;18;4;0;0;81;17;0;120;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;40A;325;2;27;17;0;1;81;36;0;164;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;40B;289;1;14;7;0;0;89;50;0;161;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;5;;41;383;2;51;21;1;2;101;55;0;233;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;42;376;0;49;19;0;0;124;35;1;228;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;43;416;0;43;15;2;1;149;35;1;246;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;44;412;0;24;7;0;1;173;53;3;261;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;45;405;3;28;14;0;2;158;34;0;239;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;46A;211;0;26;10;0;1;51;12;0;100;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;46B;220;0;16;17;2;0;58;21;0;114;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;47;417;1;51;17;1;2;77;39;2;190;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;6;;48;396;1;37;11;0;0;106;38;0;193;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;49;382;1;30;14;0;0;89;33;3;170;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;50;329;0;15;7;0;1;100;36;0;159;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;51;355;2;22;4;0;1;128;31;0;188;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;52;359;0;21;8;1;1;144;24;2;201;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;53;366;2;47;6;1;1;125;26;1;209;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;54;364;0;33;14;0;0;155;31;0;233;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;55;388;0;46;7;0;0;162;34;2;251;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;7;;56;370;1;33;11;0;1;136;41;1;224;6;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;57;355;0;36;20;1;1;67;54;0;179;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;58;364;2;58;14;0;0;77;71;1;223;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;59;363;0;50;10;0;3;70;46;2;181;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;60;346;0;22;9;1;0;145;22;0;199;2;
