Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Renaud P.N.;Caron Mireille C.A.Q.-É.F.L.;Côté Simon Q.S.;Leblanc-Lavoie Joël O.N. - P.I.Q.;Mercier Gaétan É.A.P. - P.C.Q.;Morin Norbert P.L.Q./Q.L.P.;Simard André P.Q.;B.V.;B.R.;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;1;300;3;42;8;1;3;65;36;158;4;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;2;281;1;39;9;0;1;44;43;137;2;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;3;244;1;33;18;1;0;49;20;122;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;4;365;1;76;12;0;4;76;24;193;3;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;5;397;3;49;5;1;0;92;24;174;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;6;289;2;41;10;0;0;64;22;139;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;7;338;1;52;17;1;1;63;37;172;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;8;269;2;41;20;1;0;45;23;132;3;
683;Côte-du-Sud;2014-04-07;G;Saint-Jean-Port-Joli, m;1;;9;287;1;41;9;0;4;71;24;150;2;
683;Côte-du-Sud;2014-04-07;G;Saint-Aubert, m;1;;10;230;2;40;7;0;2;78;12;141;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Aubert, m;1;;11;361;3;41;2;0;0;104;26;176;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Aubert, m;1;;12;308;0;70;6;1;1;86;21;185;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Aubert, m;1;;13;253;0;28;12;0;0;81;14;135;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Damase-de-L'Islet, m;1;;14;215;3;40;3;1;0;75;13;135;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Damase-de-L'Islet, m;1;;15;270;1;43;3;0;2;94;14;157;2;
683;Côte-du-Sud;2014-04-07;G;Tourville, m;1;;16;261;0;34;7;0;2;54;33;130;1;
683;Côte-du-Sud;2014-04-07;G;Tourville, m;1;;17;241;1;33;4;0;0;73;27;138;0;
683;Côte-du-Sud;2014-04-07;G;Sainte-Perpétue, m;1;;18;286;0;26;6;0;0;71;15;118;0;
683;Côte-du-Sud;2014-04-07;G;Sainte-Perpétue, m;1;;19;237;0;14;1;0;2;50;19;86;0;
683;Côte-du-Sud;2014-04-07;G;Sainte-Perpétue, m;1;;20;233;0;24;1;0;0;55;10;90;1;
683;Côte-du-Sud;2014-04-07;G;Sainte-Perpétue, m;1;;21;285;2;29;6;1;2;47;17;104;0;
683;Côte-du-Sud;2014-04-07;G;Sainte-Perpétue, m;1;;22;331;4;40;1;0;2;70;21;138;1;
683;Côte-du-Sud;2014-04-07;G;Sainte-Félicité, m;1;;23;162;2;14;3;0;2;57;14;92;1;
683;Côte-du-Sud;2014-04-07;G;Sainte-Félicité, m;1;;24;154;1;24;1;0;2;36;16;80;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Omer, m;1;;25;244;4;34;5;0;0;98;19;160;3;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;26;243;2;36;12;0;0;67;24;141;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;27;228;0;51;2;0;0;58;19;130;2;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;28;237;2;18;4;0;1;65;25;115;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;29;287;2;43;8;0;3;93;11;160;4;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;30;244;1;29;2;0;3;68;23;126;4;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;31;272;0;39;2;0;1;86;24;152;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;32;295;2;47;3;1;0;64;24;141;2;
683;Côte-du-Sud;2014-04-07;G;Saint-Pamphile, v;1;;33;245;1;33;3;1;0;99;20;157;5;
683;Côte-du-Sud;2014-04-07;G;Saint-Adalbert, m;1;;34;229;1;36;4;0;0;76;17;134;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Adalbert, m;1;;35;215;3;27;6;0;1;57;25;119;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Marcel, m;1;;36;176;1;25;1;0;3;69;4;103;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Marcel, m;1;;37;197;3;32;7;0;1;70;15;128;0;
683;Côte-du-Sud;2014-04-07;G;Saint-Cyrille-de-Lessard, p;1;;38;315;0;66;12;1;1;80;37;197;2;
683;Côte-du-Sud;2014-04-07;G;Saint-Cyrille-de-Lessard, p;1;;39;296;3;47;6;0;0;97;19;172;1;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;40;290;2;40;15;2;0;64;30;153;0;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;41;345;3;57;7;1;3;93;24;188;4;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;42;330;0;60;9;0;1;71;15;156;1;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;43;305;2;41;7;1;4;73;22;150;2;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;44;292;1;45;8;0;0;66;19;139;1;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;45;317;4;56;10;1;0;74;14;159;1;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;46;364;1;45;15;0;2;75;22;160;2;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;47;318;4;36;10;2;2;72;27;153;1;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;48;269;1;26;12;5;2;76;22;144;8;
683;Côte-du-Sud;2014-04-07;G;L'Islet, m;1;;49;269;3;35;10;0;2;71;44;165;1;
683;Côte-du-Sud;2014-04-07;G;Saint-Antoine-de-l'Isle-aux-Grues, p;1;;50;117;0;8;4;1;1;67;11;92;0;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;51;253;1;45;9;1;1;76;29;162;0;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;52;300;1;75;10;0;2;85;26;199;2;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;53;298;3;41;6;0;2;89;15;156;2;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;54;273;2;43;9;3;0;91;21;169;0;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;55;320;2;67;4;2;4;94;32;205;1;
683;Côte-du-Sud;2014-04-07;G;Cap-Saint-Ignace, m;1;;56;314;8;51;10;1;4;101;25;200;0;
