Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Birnbaum David P.L.Q./Q.L.P.;Dufresne Suzanne Q.S.;Pion Eliane P.Q.;Smart Elizabeth C.A.Q.-É.F.L.;Weizfeld Abraham P.V.Q./G.P.Q.;B.V.;B.R.;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;1;322;156;0;1;1;2;160;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;2;320;175;2;0;0;4;181;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;3;312;159;1;1;4;0;165;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;4;316;164;3;0;3;0;170;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;5;331;157;0;1;2;0;160;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;6;328;184;0;0;1;0;185;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;7;341;159;0;0;1;2;162;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;8;332;191;2;3;1;4;201;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;9;324;154;2;3;0;3;162;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;10;327;177;0;0;8;2;187;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;1;;11;317;126;1;1;2;3;133;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;12;326;186;6;1;5;5;203;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;13;329;187;3;0;3;6;199;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;14;444;176;3;2;5;2;188;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;15;299;147;4;3;6;1;161;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;16;509;150;5;4;2;1;162;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;17;404;197;0;4;3;1;205;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;18;411;164;0;9;7;4;184;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;19;322;147;4;1;9;3;164;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;;20;329;157;3;1;7;8;176;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;21;284;172;1;1;0;1;175;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;22;272;143;0;1;2;0;146;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;23;264;124;0;0;3;0;127;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;24;619;165;0;2;0;1;168;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;25;274;126;1;0;2;1;130;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;26;313;167;0;0;1;1;169;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;;27;265;136;0;1;4;2;143;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;28;321;190;0;0;1;1;192;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;29;274;123;1;0;1;0;125;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;30;494;143;0;1;0;1;145;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;31;339;135;1;1;3;0;140;3;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;32;310;142;0;2;0;0;144;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;33;379;139;3;2;0;1;145;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;34;236;95;0;0;4;1;100;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;35;321;135;1;0;0;1;137;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;36;315;127;0;0;1;0;128;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;37;293;106;0;0;4;2;112;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;38;326;127;0;0;1;1;129;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;4;;39;320;171;0;1;2;1;175;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;40;312;159;0;0;0;1;160;1;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;41;296;119;0;0;1;0;120;2;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;42;273;135;2;0;2;0;139;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;43;394;126;0;0;0;1;127;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;44;356;155;0;0;1;2;158;4;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;;45;338;157;1;1;4;4;167;4;
