Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cameron Duncan Hart Q.S.;Cauchon Louis-Félix O.N. - P.I.Q.;Charette Benoit C.A.Q.-É.F.L.;Goyer Daniel P.Q.;Leclerc Luc P.L.Q./Q.L.P.;Ware Alec P.Éq.;B.V.;B.R.;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;1;407;12;1;61;50;45;2;171;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;2;314;11;2;48;43;26;5;135;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;3;318;13;1;56;53;57;2;182;4;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;4;322;18;4;54;33;61;4;174;6;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;5;319;6;0;69;42;77;1;195;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;6;325;9;2;63;45;63;0;182;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;7;288;6;0;28;53;71;0;158;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;8;316;22;0;55;39;49;2;167;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;9;319;11;2;52;46;73;1;185;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;1;;10;307;23;1;41;35;52;1;153;7;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;11;318;10;2;44;42;66;2;166;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;12;364;21;0;54;48;54;2;179;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;13;323;20;3;55;58;52;0;188;4;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;14;330;13;0;61;51;64;1;190;6;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;15;321;22;1;49;45;35;2;154;1;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;16;329;19;0;76;57;32;2;186;6;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;17;319;18;1;62;43;38;1;163;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;18;331;15;4;68;47;40;3;177;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;19;323;13;1;60;45;48;0;167;0;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;20;291;7;2;66;47;34;0;156;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;21;328;22;2;66;52;48;2;192;5;
