Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Frédéric P.N.;Chabot Isabelle P.L.Q./Q.L.P.;Lebel Daniel P.Q.;Phénix Alexandre O.N. - P.I.Q.;Picard François É.A.P. - P.C.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Soulard Francis Q.S.;B.V.;B.R.;
273;Drummond-Bois-Francs;2014-04-07;G;Saints-Martyrs-Canadiens, p;1;;1;208;2;29;22;0;3;53;12;121;1;
273;Drummond-Bois-Francs;2014-04-07;G;Ham-Nord, ct;1;;2;343;2;41;34;0;3;90;11;181;0;
273;Drummond-Bois-Francs;2014-04-07;G;Ham-Nord, ct;1;;3;333;2;47;52;0;1;78;11;191;3;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-de-Ham, m;1;;4;311;5;42;47;3;3;82;20;202;4;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Hélène-de-Chester, m;1;;5;278;1;48;37;0;0;72;18;176;4;
273;Drummond-Bois-Francs;2014-04-07;G;Chesterville, m;1;;6;336;2;58;47;1;3;98;18;227;4;
273;Drummond-Bois-Francs;2014-04-07;G;Chesterville, m;1;;7;345;3;56;67;1;3;95;13;238;3;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Rémi-de-Tingwick, m;1;;8;381;0;65;70;2;4;106;14;261;5;
273;Drummond-Bois-Francs;2014-04-07;G;Tingwick, m;1;;9;380;2;60;38;1;2;70;17;190;3;
273;Drummond-Bois-Francs;2014-04-07;G;Tingwick, m;1;;10;369;3;60;20;1;6;122;19;231;5;
273;Drummond-Bois-Francs;2014-04-07;G;Tingwick, m;1;;11;385;7;43;47;1;0;112;16;226;1;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;12;443;1;48;32;0;2;103;13;199;2;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;13;382;1;58;33;0;0;125;4;221;1;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;14;391;0;52;28;0;1;101;12;194;6;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;15;391;0;54;44;0;6;117;13;234;3;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;16;385;4;49;29;1;0;103;13;199;5;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;17;394;2;57;38;0;0;100;9;206;2;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;18;481;1;39;36;1;0;67;23;167;0;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;19;390;0;71;40;0;1;119;5;236;2;
273;Drummond-Bois-Francs;2014-04-07;G;Warwick, v;1;;20;384;2;59;48;1;3;113;8;234;5;
273;Drummond-Bois-Francs;2014-04-07;G;Kingsey Falls, v;1;;21;383;6;77;41;2;8;106;7;247;2;
273;Drummond-Bois-Francs;2014-04-07;G;Kingsey Falls, v;1;;22;368;1;62;40;0;0;129;17;249;2;
273;Drummond-Bois-Francs;2014-04-07;G;Kingsey Falls, v;1;;23;370;3;66;40;0;2;110;9;230;4;
273;Drummond-Bois-Francs;2014-04-07;G;Kingsey Falls, v;1;;24;376;1;84;47;0;0;112;10;254;6;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Félix-de-Kingsey, m;1;;25;401;1;97;67;1;5;107;16;294;1;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Félix-de-Kingsey, m;1;;26;390;4;56;62;0;1;131;13;267;6;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Félix-de-Kingsey, m;1;;27;393;3;78;60;1;2;92;19;255;5;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Séraphine, p;1;;28;278;5;44;29;0;0;106;4;188;5;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Élizabeth-de-Warwick, m;1;;29;279;4;48;42;1;2;95;8;200;5;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Albert, m;1;;30;401;1;58;37;1;3;126;14;240;4;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Albert, m;1;;31;398;3;37;43;0;5;146;13;247;11;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Albert, m;1;;32;392;2;53;38;0;3;131;8;235;6;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Samuel, m;1;;33;295;4;47;36;1;1;95;14;198;3;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Samuel, m;1;;34;273;4;45;24;1;1;96;14;185;3;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Clotilde-de-Horton, m;1;;35;386;1;60;53;2;1;109;11;237;1;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Clotilde-de-Horton, m;1;;36;397;2;46;51;0;1;128;7;235;5;
273;Drummond-Bois-Francs;2014-04-07;G;Sainte-Clotilde-de-Horton, m;1;;37;395;1;58;52;1;3;134;16;265;5;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Lucien, m;1;;38;331;2;36;70;2;1;86;7;204;2;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Lucien, m;1;;39;324;3;34;57;2;4;89;11;200;6;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Lucien, m;1;;40;328;5;33;68;0;1;83;13;203;2;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Lucien, m;1;;41;315;4;22;63;1;2;78;14;184;5;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;42;377;2;36;49;1;1;134;13;236;2;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;43;375;2;33;48;0;2;129;22;236;4;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;44;377;1;54;49;0;2;110;15;231;3;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;45;373;4;35;67;1;2;99;14;222;6;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;46;385;3;33;69;0;2;101;16;224;5;
