Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belva Ariane O.N. - P.I.Q.;Chrétien-Pineault Marie-Lise Q.S.;Claveau Jean-Marie P.Q.;Emond Claudie C.A.Q.-É.F.L.;Simard Serge P.L.Q./Q.L.P.;Tremblay Pascal Ind;B.V.;B.R.;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;1;314;4;7;65;44;45;5;170;3;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;2;290;5;11;59;53;58;5;191;5;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;3;276;1;9;41;36;68;5;160;5;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;4;291;3;11;47;32;64;9;166;3;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;5;334;1;7;43;44;56;0;151;6;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;6;280;0;7;53;40;46;1;147;6;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;7;425;4;10;86;63;60;2;225;4;
759;Dubuc;2014-04-07;G;Saguenay, v;19;;8;299;0;4;66;35;86;3;194;1;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;9;285;0;13;63;31;64;3;174;6;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;10;299;1;7;45;38;54;3;148;3;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;11;230;1;8;50;30;38;2;129;2;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;12;320;1;17;58;40;43;4;163;5;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;13;280;1;12;63;38;49;7;170;3;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;14;283;4;11;79;39;41;4;178;5;
759;Dubuc;2014-04-07;G;Saguenay, v;20;;15;284;0;10;53;46;52;3;164;8;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;16;338;0;12;34;41;52;2;141;2;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;17;280;2;15;48;30;66;1;162;1;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;18;320;1;11;63;32;64;3;174;7;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;19;356;2;13;63;52;57;4;191;1;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;20;372;6;7;55;52;77;6;203;0;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;21;399;1;10;57;71;72;0;211;10;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;22;404;0;17;68;63;86;2;236;1;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;23;346;2;8;47;40;64;1;162;4;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;24A;293;1;9;50;42;61;1;164;4;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;24B;246;0;7;35;48;56;2;148;2;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;25;277;0;8;30;24;50;3;115;3;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;26;323;1;11;62;59;65;5;203;0;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;27;281;2;7;50;56;48;0;163;3;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;28;250;1;3;27;25;83;0;139;5;
759;Dubuc;2014-04-07;G;Saguenay, v;21;;29;268;1;7;38;31;69;5;151;2;
759;Dubuc;2014-04-07;G;Saguenay, v;22;;30;270;2;11;39;36;66;2;156;3;
759;Dubuc;2014-04-07;G;Saguenay, v;22;;31;248;1;5;21;38;65;5;135;4;
759;Dubuc;2014-04-07;G;Saguenay, v;22;;32;159;1;2;7;19;35;4;68;0;
759;Dubuc;2014-04-07;G;Saguenay, v;22;;33;192;1;4;4;29;49;4;91;6;
759;Dubuc;2014-04-07;G;Saguenay, v;22;;34;231;0;3;10;31;71;3;118;2;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;35;313;1;8;34;36;82;4;165;1;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;36;195;1;3;22;18;44;3;91;0;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;37;281;0;10;42;34;64;5;155;4;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;38;320;4;10;67;39;71;4;195;3;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;39;323;1;8;45;31;79;3;167;1;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;40;252;2;5;42;25;57;4;135;1;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;41;261;3;7;27;28;53;1;119;3;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;42;271;1;11;41;23;60;1;137;3;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;43;243;2;4;32;14;44;1;97;1;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;44;270;1;6;40;32;70;3;152;1;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;45;271;2;11;36;33;72;0;154;3;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;46;227;0;2;29;14;49;0;94;0;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;47;245;0;4;28;22;50;1;105;4;
759;Dubuc;2014-04-07;G;Saguenay, v;23;;48;267;1;3;34;16;64;2;120;4;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;49;223;1;7;26;17;46;4;101;2;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;50;303;0;11;46;23;62;4;146;0;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;51;280;1;8;44;17;81;3;154;3;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;52;249;4;8;39;19;64;4;138;5;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;53;277;2;5;40;26;80;0;153;1;
759;Dubuc;2014-04-07;G;Saguenay, v;24;;54;278;1;9;35;36;59;0;140;8;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;55A;264;2;8;32;33;75;7;157;2;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;55B;201;1;4;30;17;58;2;112;0;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;56;344;1;8;51;25;78;2;165;6;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;57;338;1;1;43;38;80;2;165;3;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;58;284;0;9;44;28;72;5;158;0;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;59;263;1;1;30;27;69;1;129;2;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;60;258;2;12;52;28;62;2;158;5;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;61;296;1;6;34;9;56;2;108;0;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;62;281;3;9;41;21;53;1;128;1;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;63;272;2;3;30;30;56;2;123;5;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;64;250;1;2;35;13;57;1;109;2;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;65;280;2;6;61;24;56;5;154;1;
759;Dubuc;2014-04-07;G;Saguenay, v;25;;66;284;1;12;48;24;51;1;137;0;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;67;254;3;5;32;15;36;6;97;1;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;68;260;2;6;36;26;57;3;130;4;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;69;270;0;8;15;11;29;0;63;3;
