Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gélineau Jacques Q.S.;Méthot Laurence P.L.Q./Q.L.P.;Pinard Christine C.A.Q.-É.F.L.;Richard Lorraine P.Q.;Rivard Yan O.N. - P.I.Q.;B.V.;B.R.;
745;Duplessis;2014-04-07;G;L'Île-d'Anticosti, m;1;;1;191;41;26;13;48;1;129;4;
745;Duplessis;2014-04-07;G;Blanc-Sablon, m;1;Regr. BVDS-1;2;82;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Blanc-Sablon, m;1;;3;398;9;197;9;22;1;238;1;
745;Duplessis;2014-04-07;G;Blanc-Sablon, m;1;;4;217;2;102;4;9;0;117;1;
745;Duplessis;2014-04-07;G;Blanc-Sablon, m;1;;5;229;1;147;2;1;3;154;0;
745;Duplessis;2014-04-07;G;Bonne-Espérance, m;1;;6;251;1;135;0;1;2;139;2;
745;Duplessis;2014-04-07;G;Bonne-Espérance, m;1;;7;398;2;193;0;0;0;195;1;
745;Duplessis;2014-04-07;G;Bonne-Espérance, m;1;Regr. BVO-7;8;0;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Saint-Augustin, m;1;;9;0;0;28;0;2;1;31;0;
745;Duplessis;2014-04-07;G;Saint-Augustin, m;1;;10A;225;0;125;0;4;0;129;0;
745;Duplessis;2014-04-07;G;Saint-Augustin, m;1;;10B;236;4;112;0;0;0;116;0;
745;Duplessis;2014-04-07;G;Pakuashipi, éi;1;;11;181;0;35;0;3;0;38;1;
745;Duplessis;2014-04-07;G;Gros-Mécatina, m;1;Regr. BVDS-1;12;84;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Gros-Mécatina, m;1;;13;197;0;116;2;0;0;118;1;
745;Duplessis;2014-04-07;G;Gros-Mécatina, m;1;;14;133;1;87;0;1;1;90;0;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;Regr. BVDS-1;15;112;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;16;84;1;32;7;14;0;54;0;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;17;204;2;136;1;4;0;143;0;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;18;190;0;144;1;0;1;146;0;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;Regr. BVDS-1;19;0;0;0;0;0;0;0;0;
