Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Des Rochers-Lamarche Marie-Claire Q.S.;Ouimet Gilles P.L.Q./Q.L.P.;Paré Bernard O.N. - P.I.Q.;Rocque François-Gycelain P.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
443;Fabre;2014-04-07;G;Laval, v;1;;1;284;11;72;1;44;31;159;3;
443;Fabre;2014-04-07;G;Laval, v;1;;2;296;15;61;1;56;35;168;10;
443;Fabre;2014-04-07;G;Laval, v;1;;3;281;17;67;0;40;34;158;1;
443;Fabre;2014-04-07;G;Laval, v;1;;4;297;6;108;1;27;30;172;4;
443;Fabre;2014-04-07;G;Laval, v;1;;5;290;1;116;0;13;26;156;1;
443;Fabre;2014-04-07;G;Laval, v;2;;6;314;21;55;0;56;36;168;2;
443;Fabre;2014-04-07;G;Laval, v;2;;7;312;23;50;0;72;43;188;0;
443;Fabre;2014-04-07;G;Laval, v;2;;8;329;19;36;1;63;48;167;3;
443;Fabre;2014-04-07;G;Laval, v;2;;9;304;24;39;0;50;42;155;1;
443;Fabre;2014-04-07;G;Laval, v;2;;10;367;14;63;3;48;32;160;4;
443;Fabre;2014-04-07;G;Laval, v;2;Regr. BVO-10;11;0;0;0;0;0;0;0;0;
443;Fabre;2014-04-07;G;Laval, v;2;;12;319;18;44;0;43;41;146;1;
443;Fabre;2014-04-07;G;Laval, v;2;;13;310;16;36;1;47;48;148;4;
443;Fabre;2014-04-07;G;Laval, v;2;;14;323;15;42;6;40;61;164;3;
443;Fabre;2014-04-07;G;Laval, v;2;;15;313;13;52;1;71;26;163;4;
443;Fabre;2014-04-07;G;Laval, v;2;;16;278;11;39;0;31;30;111;0;
443;Fabre;2014-04-07;G;Laval, v;2;;17;290;25;38;3;41;35;142;5;
443;Fabre;2014-04-07;G;Laval, v;2;;18;295;9;53;0;41;45;148;0;
443;Fabre;2014-04-07;G;Laval, v;2;;19;355;15;53;2;37;30;137;3;
