Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beau-Ferron Catherine P.N.;Blanchard Yvan C.A.Q.-É.F.L.;Deroy Frédérick O.N. - P.I.Q.;Leboeuf Daniel Q.S.;Lelièvre Gaétan P.Q.;Rioux Christian É.A.P. - P.C.Q.;St-Onge Annie P.L.Q./Q.L.P.;B.V.;B.R.;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;1;258;1;16;0;2;60;1;22;102;1;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;2;270;0;9;1;4;37;0;27;78;6;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;3;301;0;16;4;2;60;0;22;104;1;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;4;290;1;5;5;2;47;0;34;94;1;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;Regr. BVO-4;5;0;0;0;0;0;0;0;0;0;0;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;6;251;2;14;1;5;57;0;25;104;0;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;7;254;1;13;1;8;73;0;26;122;1;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;8;306;2;14;1;3;68;1;41;130;6;
731;Gaspé;2014-04-07;G;Cap-Chat, v;1;;9;259;1;20;2;6;54;0;28;111;0;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;1;;10;335;1;17;10;6;73;0;38;145;5;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;1;;11;281;1;21;3;4;59;1;33;122;4;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;1;;12;352;2;14;5;6;56;1;43;127;2;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;1;;13;303;5;12;2;9;53;0;37;118;4;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;14;275;1;14;3;2;80;1;36;137;1;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;15;267;2;6;6;4;39;0;24;81;0;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;16;304;0;20;4;5;41;1;42;113;4;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;17;291;1;15;3;4;54;0;35;112;1;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;18;269;1;6;4;5;42;1;21;80;1;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;;19;258;0;12;4;5;31;0;25;77;0;
731;Gaspé;2014-04-07;G;Sainte-Anne-des-Monts, v;2;Regr. BVO-21;20;0;0;0;0;0;0;0;0;0;0;
