Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deschênes Alexandre P.M.L.Q.;Harvey Alexis Q.S.;Paradis André C.A.Q.-É.F.L.;Sarault Cédric P.Q.;Vaive Marcel O.N. - P.I.Q.;Vallée Stéphanie P.L.Q./Q.L.P.;B.V.;B.R.;
557;Gatineau;2014-04-07;G;Lac-Rapide, ri;1;Regr. BVO-2;1;0;0;0;0;0;0;0;0;0;
557;Gatineau;2014-04-07;G;Montcerf-Lytton, m;1;;2;407;1;1;23;32;1;66;124;5;
557;Gatineau;2014-04-07;G;Montcerf-Lytton, m;1;;3;295;1;10;17;45;0;82;155;5;
557;Gatineau;2014-04-07;G;Grand-Remous, m;1;;4;320;1;5;28;16;0;60;110;1;
557;Gatineau;2014-04-07;G;Grand-Remous, m;1;;5;306;0;8;23;23;1;51;106;0;
557;Gatineau;2014-04-07;G;Grand-Remous, m;1;;6;353;0;5;24;39;2;58;128;6;
557;Gatineau;2014-04-07;G;Aumond, ct;1;;7;282;1;6;34;32;0;88;161;0;
557;Gatineau;2014-04-07;G;Aumond, ct;1;;8;304;1;10;28;31;1;75;146;0;
557;Gatineau;2014-04-07;G;Bois-Franc, m;1;;9;163;0;5;18;19;0;58;100;2;
557;Gatineau;2014-04-07;G;Bois-Franc, m;1;;10;160;0;4;16;16;0;52;88;3;
557;Gatineau;2014-04-07;G;Egan-Sud, m;1;;11;175;0;1;13;20;0;64;98;0;
557;Gatineau;2014-04-07;G;Egan-Sud, m;1;;12;223;0;5;21;22;0;67;115;0;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;13;288;0;8;22;14;0;57;101;3;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;14;290;0;7;8;18;1;54;88;1;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;15;370;0;8;24;14;0;65;111;4;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;16;305;1;6;16;23;0;53;99;4;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;17;271;0;5;9;15;0;46;75;1;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;18;281;1;4;8;23;2;66;104;1;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;19;255;0;6;8;15;0;34;63;4;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;20;377;0;5;10;20;1;67;103;0;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;21;270;0;10;11;19;3;27;70;0;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;22;272;0;8;12;21;0;42;83;3;
557;Gatineau;2014-04-07;G;Maniwaki, v;1;;23;276;0;2;21;29;0;64;116;1;
557;Gatineau;2014-04-07;G;Déléage, m;1;;24;279;1;4;12;14;1;81;113;4;
557;Gatineau;2014-04-07;G;Déléage, m;1;;25;286;0;3;14;33;0;72;122;2;
557;Gatineau;2014-04-07;G;Déléage, m;1;;26;300;0;2;16;18;1;73;110;3;
557;Gatineau;2014-04-07;G;Déléage, m;1;;27;374;1;7;25;35;0;85;153;5;
557;Gatineau;2014-04-07;G;Déléage, m;1;;28;308;0;2;22;30;1;87;142;3;
557;Gatineau;2014-04-07;G;Sainte-Thérèse-de-la-Gatineau, m;1;;29;191;0;6;18;31;0;55;110;0;
557;Gatineau;2014-04-07;G;Sainte-Thérèse-de-la-Gatineau, m;1;;30;241;0;6;13;32;1;82;134;6;
557;Gatineau;2014-04-07;G;Messines, m;1;;31;326;0;10;28;42;2;83;165;4;
557;Gatineau;2014-04-07;G;Messines, m;1;;32;347;0;8;45;48;0;79;180;4;
557;Gatineau;2014-04-07;G;Messines, m;1;;33;332;0;4;32;32;1;91;160;2;
557;Gatineau;2014-04-07;G;Messines, m;1;;34;333;2;12;28;37;0;79;158;2;
557;Gatineau;2014-04-07;G;Bouchette, m;1;;35;248;1;12;27;31;0;65;136;3;
557;Gatineau;2014-04-07;G;Bouchette, m;1;;36;326;1;5;17;52;0;118;193;2;
557;Gatineau;2014-04-07;G;Blue Sea, m;1;;37;269;0;9;19;28;0;93;149;5;
557;Gatineau;2014-04-07;G;Blue Sea, m;1;;38;277;1;6;17;35;3;93;155;2;
557;Gatineau;2014-04-07;G;Cayamant, m;1;;39;361;2;9;20;49;0;88;168;3;
557;Gatineau;2014-04-07;G;Cayamant, m;1;;40;302;0;7;29;44;2;72;154;3;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;41;305;0;3;16;19;0;63;101;1;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;42;313;0;5;22;21;0;60;108;1;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;43;290;0;3;14;20;0;60;97;0;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;44;263;0;3;16;8;0;52;79;1;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;45;277;1;3;14;15;0;49;82;2;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;46;306;0;1;14;17;0;74;106;1;
557;Gatineau;2014-04-07;G;Gracefield, v;1;;47;298;2;5;12;30;0;67;116;0;
557;Gatineau;2014-04-07;G;Lac-Sainte-Marie, m;1;;48;226;1;2;20;18;3;104;148;1;
557;Gatineau;2014-04-07;G;Lac-Sainte-Marie, m;1;;49;193;0;2;8;12;0;89;111;2;
557;Gatineau;2014-04-07;G;Kazabazua, m;1;;50;376;0;8;27;26;0;149;210;1;
557;Gatineau;2014-04-07;G;Kazabazua, m;1;;51;308;0;14;9;10;2;161;196;0;
557;Gatineau;2014-04-07;G;Low, ct;1;;52;257;0;4;9;10;1;111;135;0;
557;Gatineau;2014-04-07;G;Low, ct;1;;53;242;0;2;15;7;2;93;119;3;
557;Gatineau;2014-04-07;G;Low, ct;1;;54;249;0;3;8;4;0;106;121;1;
557;Gatineau;2014-04-07;G;Denholm, m;1;;55;212;1;8;8;20;1;80;118;3;
557;Gatineau;2014-04-07;G;Denholm, m;1;;56;215;0;2;14;6;0;97;119;1;
557;Gatineau;2014-04-07;G;La Pêche, m;1;;57;167;0;5;14;23;3;50;95;4;
557;Gatineau;2014-04-07;G;La Pêche, m;1;;58;190;2;4;15;26;0;52;99;5;
557;Gatineau;2014-04-07;G;La Pêche, m;2;;59;263;1;8;30;31;1;69;140;3;
557;Gatineau;2014-04-07;G;La Pêche, m;3;;60;260;1;10;25;34;0;51;121;1;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;61;376;1;9;27;36;0;114;187;0;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;62;280;0;6;21;14;1;65;107;2;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;63;287;3;7;23;19;1;70;123;3;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;64;394;0;15;26;25;1;117;184;2;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;65;299;1;3;17;22;0;94;137;1;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;66;277;0;6;14;31;1;72;124;2;
557;Gatineau;2014-04-07;G;La Pêche, m;4;;67;348;1;9;16;13;0;133;172;2;
557;Gatineau;2014-04-07;G;La Pêche, m;5;;68;323;0;7;9;7;1;159;183;5;
557;Gatineau;2014-04-07;G;La Pêche, m;5;;69;317;1;16;15;18;0;134;184;1;
557;Gatineau;2014-04-07;G;La Pêche, m;5;;70;329;2;13;5;4;0;189;213;2;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;71;295;0;12;6;12;1;175;206;0;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;72;394;0;5;6;5;0;186;202;0;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;73;287;4;6;9;4;0;162;185;0;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;74;314;2;4;8;10;0;159;183;0;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;75;300;2;10;18;11;1;122;164;0;
557;Gatineau;2014-04-07;G;La Pêche, m;6;;76;293;1;4;9;12;0;171;197;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;77;257;0;4;14;13;2;103;136;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;78;318;0;12;5;8;2;161;188;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;79;264;3;3;12;5;0;113;136;2;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;80;271;1;5;4;5;0;136;151;0;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;81;300;1;8;5;7;0;136;157;2;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;82;299;0;13;8;13;0;150;184;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;83;299;0;13;10;6;2;114;145;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;84;291;4;10;9;20;0;132;175;1;
557;Gatineau;2014-04-07;G;Chelsea, m;1;;85;272;1;22;20;17;1;107;168;0;
