Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Jocelyn O.N. - P.I.Q.;Beauregard André Q.S.;Bonnardel François C.A.Q.-É.F.L.;Deschamps Stéphane P.N.;Lalumière Joanne P.Q.;Proulx Pascal P.L.Q./Q.L.P.;B.V.;B.R.;
133;Granby;2014-04-07;G;Granby, v;1;;1;381;0;7;113;3;44;37;204;7;
133;Granby;2014-04-07;G;Granby, v;1;;2;360;3;8;74;3;46;38;172;2;
133;Granby;2014-04-07;G;Granby, v;1;;3;463;1;2;117;0;31;57;208;3;
133;Granby;2014-04-07;G;Granby, v;1;;4;465;1;2;87;1;31;53;175;2;
133;Granby;2014-04-07;G;Granby, v;1;;5;386;1;7;87;1;38;41;175;2;
133;Granby;2014-04-07;G;Granby, v;1;;6;690;1;3;79;1;28;53;165;0;
133;Granby;2014-04-07;G;Granby, v;1;;7;411;1;9;123;2;39;47;221;4;
133;Granby;2014-04-07;G;Granby, v;1;;8;397;3;9;75;2;52;28;169;4;
133;Granby;2014-04-07;G;Granby, v;2;;9;369;2;11;100;5;36;39;193;4;
133;Granby;2014-04-07;G;Granby, v;2;;10;361;0;4;103;2;43;43;195;1;
133;Granby;2014-04-07;G;Granby, v;2;;11;366;1;6;101;1;39;33;181;3;
133;Granby;2014-04-07;G;Granby, v;2;;12;350;1;10;100;7;40;24;182;2;
133;Granby;2014-04-07;G;Granby, v;2;;13;376;3;16;108;3;59;32;221;6;
133;Granby;2014-04-07;G;Granby, v;2;;14;361;0;9;124;3;48;35;219;5;
133;Granby;2014-04-07;G;Granby, v;2;;15;401;3;10;121;0;31;37;202;0;
133;Granby;2014-04-07;G;Granby, v;2;;16;429;1;14;102;1;44;26;188;3;
133;Granby;2014-04-07;G;Granby, v;3;;17;371;1;3;137;1;39;38;219;5;
133;Granby;2014-04-07;G;Granby, v;3;;18;384;2;14;103;1;41;28;189;5;
133;Granby;2014-04-07;G;Granby, v;3;;19;366;0;11;85;2;29;11;138;1;
133;Granby;2014-04-07;G;Granby, v;3;;20;368;0;10;72;3;29;33;147;2;
133;Granby;2014-04-07;G;Granby, v;3;;21;397;1;15;52;6;33;28;135;0;
133;Granby;2014-04-07;G;Granby, v;3;;22;372;1;5;98;2;30;22;158;2;
133;Granby;2014-04-07;G;Granby, v;3;;23;361;2;11;87;4;38;28;170;7;
133;Granby;2014-04-07;G;Granby, v;3;;24;340;2;12;90;7;39;22;172;6;
133;Granby;2014-04-07;G;Granby, v;4;;25;341;0;11;111;0;30;29;181;4;
133;Granby;2014-04-07;G;Granby, v;4;;26;329;0;10;110;1;39;32;192;2;
133;Granby;2014-04-07;G;Granby, v;4;;27;336;1;11;112;0;39;28;191;2;
133;Granby;2014-04-07;G;Granby, v;4;;28;347;0;8;110;1;56;22;197;0;
133;Granby;2014-04-07;G;Granby, v;4;;29;355;1;7;141;1;45;32;227;2;
133;Granby;2014-04-07;G;Granby, v;4;;30;371;0;12;130;0;50;51;243;1;
133;Granby;2014-04-07;G;Granby, v;4;;31;325;2;15;75;1;48;25;166;2;
133;Granby;2014-04-07;G;Granby, v;4;;32;395;1;18;142;1;46;43;251;5;
133;Granby;2014-04-07;G;Granby, v;4;;33;360;0;7;97;0;50;26;180;1;
133;Granby;2014-04-07;G;Granby, v;4;;34;319;0;9;77;0;37;43;166;2;
133;Granby;2014-04-07;G;Granby, v;5;;35;381;0;10;97;2;63;37;209;4;
133;Granby;2014-04-07;G;Granby, v;5;;36;380;0;18;126;2;47;37;230;1;
133;Granby;2014-04-07;G;Granby, v;5;;37;372;0;17;91;0;34;32;174;3;
133;Granby;2014-04-07;G;Granby, v;5;;38;443;1;19;92;6;50;26;194;3;
133;Granby;2014-04-07;G;Granby, v;5;;39;455;4;7;57;3;19;32;122;3;
133;Granby;2014-04-07;G;Granby, v;5;;40;422;2;14;56;6;24;23;125;2;
133;Granby;2014-04-07;G;Granby, v;6;;41;499;0;6;54;5;40;16;121;0;
133;Granby;2014-04-07;G;Granby, v;6;;42;482;3;7;68;0;33;19;130;2;
133;Granby;2014-04-07;G;Granby, v;6;;43;393;3;14;97;3;34;29;180;1;
133;Granby;2014-04-07;G;Granby, v;6;;44;426;3;20;98;1;29;36;187;0;
133;Granby;2014-04-07;G;Granby, v;6;;45;650;0;5;79;3;41;49;177;1;
133;Granby;2014-04-07;G;Granby, v;6;;46;421;0;12;71;4;31;21;139;2;
133;Granby;2014-04-07;G;Granby, v;7;;47;399;3;4;111;1;49;34;202;0;
133;Granby;2014-04-07;G;Granby, v;7;;48;411;0;4;94;0;52;37;187;3;
133;Granby;2014-04-07;G;Granby, v;7;;49;372;2;7;94;0;26;45;174;1;
133;Granby;2014-04-07;G;Granby, v;7;;50;390;2;9;84;2;30;28;155;6;
133;Granby;2014-04-07;G;Granby, v;7;;51;396;1;13;104;0;40;29;187;5;
133;Granby;2014-04-07;G;Granby, v;7;;52;368;1;6;89;7;44;32;179;1;
133;Granby;2014-04-07;G;Granby, v;7;;53;425;1;6;120;2;35;53;217;4;
133;Granby;2014-04-07;G;Granby, v;8;;54;384;2;9;147;1;41;35;235;11;
133;Granby;2014-04-07;G;Granby, v;8;;55;381;0;7;82;2;39;35;165;4;
133;Granby;2014-04-07;G;Granby, v;8;;56;356;0;8;86;1;48;24;167;5;
133;Granby;2014-04-07;G;Granby, v;8;;57;358;2;6;125;5;38;20;196;3;
133;Granby;2014-04-07;G;Granby, v;8;;58;360;1;8;110;1;45;34;199;1;
133;Granby;2014-04-07;G;Granby, v;8;;59;352;0;6;146;1;44;29;226;5;
133;Granby;2014-04-07;G;Granby, v;8;;60;363;2;7;150;4;44;35;242;2;
133;Granby;2014-04-07;G;Granby, v;9;;61;354;1;7;86;3;34;34;165;1;
133;Granby;2014-04-07;G;Granby, v;9;;62;409;3;4;70;3;27;26;133;4;
133;Granby;2014-04-07;G;Granby, v;9;;63;404;0;9;90;3;36;18;156;5;
133;Granby;2014-04-07;G;Granby, v;9;;64;386;1;7;131;6;35;25;205;2;
133;Granby;2014-04-07;G;Granby, v;9;;65A;172;0;10;49;0;16;12;87;0;
133;Granby;2014-04-07;G;Granby, v;9;;65B;297;0;3;71;0;23;22;119;1;
133;Granby;2014-04-07;G;Granby, v;9;;66;403;3;14;142;1;42;41;243;4;
133;Granby;2014-04-07;G;Granby, v;9;;67;375;2;7;101;1;25;33;169;3;
133;Granby;2014-04-07;G;Granby, v;9;;68;380;1;3;114;2;35;25;180;2;
133;Granby;2014-04-07;G;Granby, v;9;;69;393;1;5;105;3;42;26;182;0;
133;Granby;2014-04-07;G;Granby, v;9;;70;394;7;6;88;0;51;32;184;2;
133;Granby;2014-04-07;G;Granby, v;10;;71;387;0;4;50;1;30;22;107;2;
133;Granby;2014-04-07;G;Granby, v;10;;72;394;0;9;128;0;49;31;217;1;
133;Granby;2014-04-07;G;Granby, v;10;;73;391;1;16;116;1;33;25;192;1;
133;Granby;2014-04-07;G;Granby, v;10;;74;413;1;13;87;1;30;34;166;9;
133;Granby;2014-04-07;G;Granby, v;10;;75;396;0;6;121;3;42;37;209;5;
133;Granby;2014-04-07;G;Granby, v;10;;76;388;0;7;104;4;57;36;208;4;
133;Granby;2014-04-07;G;Granby, v;10;;77;381;1;5;85;1;35;34;161;0;
133;Granby;2014-04-07;G;Granby, v;10;;78;378;0;7;113;0;41;43;204;0;
133;Granby;2014-04-07;G;Granby, v;10;;79;406;3;15;147;1;48;31;245;0;
133;Granby;2014-04-07;G;Granby, v;10;;80;375;0;4;86;0;38;27;155;3;
133;Granby;2014-04-07;G;Granby, v;10;;81;400;1;13;141;0;60;22;237;2;
133;Granby;2014-04-07;G;Granby, v;10;;82;390;0;4;152;1;46;34;237;3;
133;Granby;2014-04-07;G;Granby, v;11;;83;397;0;7;164;0;23;35;229;3;
133;Granby;2014-04-07;G;Granby, v;11;;84A;229;1;5;65;0;22;22;115;0;
133;Granby;2014-04-07;G;Granby, v;11;;84B;202;1;4;54;1;15;16;91;2;
133;Granby;2014-04-07;G;Granby, v;11;;85A;227;3;6;56;1;18;19;103;2;
133;Granby;2014-04-07;G;Granby, v;11;;85B;209;0;6;72;2;22;16;118;1;
133;Granby;2014-04-07;G;Granby, v;11;;86;406;2;7;133;5;44;48;239;1;
133;Granby;2014-04-07;G;Granby, v;11;;87;408;0;5;110;1;46;27;189;4;
133;Granby;2014-04-07;G;Granby, v;11;;88;386;2;10;86;3;34;30;165;4;
133;Granby;2014-04-07;G;Granby, v;11;;89;401;2;16;74;0;41;40;173;4;
133;Granby;2014-04-07;G;Granby, v;11;;90;404;0;14;79;1;49;50;193;2;
133;Granby;2014-04-07;G;Granby, v;12;;91A;227;0;6;71;0;23;27;127;3;
133;Granby;2014-04-07;G;Granby, v;12;;91B;278;3;14;92;1;37;22;169;1;
133;Granby;2014-04-07;G;Granby, v;12;;92;367;2;13;140;1;39;46;241;4;
133;Granby;2014-04-07;G;Granby, v;12;;93;358;0;19;121;3;47;34;224;1;
133;Granby;2014-04-07;G;Granby, v;12;;94;702;0;5;92;0;31;47;175;0;
133;Granby;2014-04-07;G;Granby, v;12;;95;359;1;7;95;1;43;29;176;0;
133;Granby;2014-04-07;G;Granby, v;12;;96;380;1;12;121;1;53;20;208;5;
133;Granby;2014-04-07;G;Granby, v;12;;97;416;2;10;152;0;43;32;239;1;
133;Granby;2014-04-07;G;Granby, v;12;;98;406;1;14;124;1;36;35;211;0;
133;Granby;2014-04-07;G;Granby, v;12;;99;415;2;15;133;1;53;20;224;1;
133;Granby;2014-04-07;G;Granby, v;12;;100;385;2;13;144;3;40;26;228;2;
133;Granby;2014-04-07;G;Granby, v;12;;101;381;0;16;117;1;48;29;211;3;
133;Granby;2014-04-07;G;Granby, v;12;;102A;214;2;7;58;0;25;17;109;4;
133;Granby;2014-04-07;G;Granby, v;12;;102B;213;0;6;59;0;26;18;109;0;
133;Granby;2014-04-07;G;Granby, v;12;;103;367;1;10;132;1;44;52;240;0;
133;Granby;2014-04-07;G;Granby, v;13;;104;398;2;6;168;5;38;38;257;3;
133;Granby;2014-04-07;G;Granby, v;13;;105;409;0;16;121;1;38;43;219;4;
133;Granby;2014-04-07;G;Granby, v;13;;106;391;1;6;133;3;45;29;217;4;
133;Granby;2014-04-07;G;Granby, v;13;;107;395;2;0;133;1;41;19;196;5;
133;Granby;2014-04-07;G;Granby, v;13;;108;395;0;12;148;1;52;30;243;4;
133;Granby;2014-04-07;G;Granby, v;13;;109;377;1;9;117;1;53;27;208;3;
133;Granby;2014-04-07;G;Granby, v;13;;110;409;0;14;169;3;28;48;262;3;
133;Granby;2014-04-07;G;Granby, v;13;;111A;199;0;3;69;0;23;13;108;2;
133;Granby;2014-04-07;G;Granby, v;13;;111B;232;1;5;74;0;32;19;131;2;
133;Granby;2014-04-07;G;Granby, v;14;;112;408;3;2;117;0;58;26;206;2;
133;Granby;2014-04-07;G;Granby, v;14;;113;411;1;10;162;0;47;25;245;1;
133;Granby;2014-04-07;G;Granby, v;14;;114;414;0;8;162;2;54;43;269;5;
133;Granby;2014-04-07;G;Granby, v;14;;115;384;1;12;137;3;56;31;240;2;
133;Granby;2014-04-07;G;Granby, v;14;;116;399;1;11;128;7;39;39;225;3;
133;Granby;2014-04-07;G;Granby, v;14;;117;401;0;10;188;1;28;24;251;4;
133;Granby;2014-04-07;G;Granby, v;14;;118;415;0;12;179;1;48;34;274;2;
133;Granby;2014-04-07;G;Granby, v;15;;119;373;0;4;126;3;37;37;207;3;
133;Granby;2014-04-07;G;Granby, v;15;;120;371;2;3;126;6;61;29;227;0;
133;Granby;2014-04-07;G;Granby, v;15;;121;374;0;18;128;0;50;24;220;1;
133;Granby;2014-04-07;G;Granby, v;15;;122;398;0;8;119;0;47;27;201;3;
133;Granby;2014-04-07;G;Granby, v;15;;123;349;1;8;139;1;27;37;213;1;
133;Granby;2014-04-07;G;Granby, v;15;;124;385;0;6;153;1;49;17;226;6;
133;Granby;2014-04-07;G;Granby, v;15;;125;379;1;17;135;1;35;30;219;1;
133;Granby;2014-04-07;G;Granby, v;15;;126;378;2;3;108;2;47;46;208;1;
133;Granby;2014-04-07;G;Granby, v;15;;127;408;2;5;133;3;56;49;248;3;
133;Granby;2014-04-07;G;Granby, v;1;Regr. BVO-3;500;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;1;Regr. BVO-4;501;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;1;Regr. BVO-6;502;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;2;Regr. BVO-15;503;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;2;Regr. BVO-16;504;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;5;Regr. BVO-38;505;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;5;Regr. BVO-39;506;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;6;Regr. BVO-41;507;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;6;Regr. BVO-42;508;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;6;Regr. BVO-44;509;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;6;Regr. BVO-45;510;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;12;Regr. BVO-94;511;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Granby, v;12;Regr. BVO-94;512;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;BVA1;;;;0;4;7;227;1;119;142;500;9;
133;Granby;2014-04-07;G;BVA2;;;;0;1;16;257;0;145;122;541;4;
133;Granby;2014-04-07;G;BVA3;;;;0;1;7;179;5;105;87;384;1;
133;Granby;2014-04-07;G;BVA4;;;;0;2;4;187;1;84;92;370;2;
133;Granby;2014-04-07;G;BVA5;;;;0;0;9;160;0;88;69;326;3;
133;Granby;2014-04-07;G;BVA6;;;;0;0;10;150;0;65;69;294;2;
133;Granby;2014-04-07;G;BVA7;;;;0;0;13;234;1;131;137;516;3;
133;Granby;2014-04-07;G;BVA8;;;;0;0;10;137;3;111;98;359;3;
133;Granby;2014-04-07;G;BVA9;;;;0;0;15;221;0;130;118;484;3;
133;Granby;2014-04-07;G;BVA10;;;;0;2;12;144;0;74;84;316;3;
133;Granby;2014-04-07;G;BVA11;;;;0;1;14;185;2;114;96;412;2;
133;Granby;2014-04-07;G;BVA12;;;;0;2;20;159;3;136;99;419;4;
133;Granby;2014-04-07;G;BVA13;;;;0;0;12;108;1;76;77;274;2;
133;Granby;2014-04-07;G;BVA14;;;;0;0;14;147;4;107;83;355;1;
133;Granby;2014-04-07;G;BVA15;;;;0;0;12;288;4;133;97;534;5;
133;Granby;2014-04-07;G;BVA16;;;;0;1;14;199;1;128;126;469;2;
133;Granby;2014-04-07;G;BVA17;;;;0;3;5;244;1;137;151;541;0;
133;Granby;2014-04-07;G;BVA18;;;;0;0;10;149;2;84;78;323;2;
133;Granby;2014-04-07;G;Vote en installation d'hébergement;;;;0;3;16;327;2;140;412;900;17;
133;Granby;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;3;9;77;0;39;60;188;1;
133;Granby;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;6;64;267;7;163;82;589;20;
133;Granby;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Vote hors circonscription;;;;0;6;74;131;6;68;88;373;11;
133;Granby;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;123;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;30;0;0;0;0;0;0;0;0;
133;Granby;2014-04-07;G;Total de la circonscription;;;;50650;179;1565;18441;281;7630;6669;34765;440;
133;Granby;2014-04-07;G;Majorité en faveur de François Bonnardel : 10811
