Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Davis Jonathan P.N.;Desjardins Martine P.Q.;Emard Vicki P.L.Q./Q.L.P.;Giguère Sylvie Q.S.;Marginean Alain O.N. - P.I.Q.;Surprenant Claude C.A.Q.-É.F.L.;B.V.;B.R.;
481;Groulx;2014-04-07;G;Blainville, v;9;;1;332;2;66;47;5;1;87;208;0;
481;Groulx;2014-04-07;G;Blainville, v;9;;2;327;1;49;54;13;2;90;209;2;
481;Groulx;2014-04-07;G;Blainville, v;9;;3;323;4;78;35;16;1;65;199;1;
481;Groulx;2014-04-07;G;Blainville, v;9;;4A;315;2;44;28;12;0;65;151;6;
481;Groulx;2014-04-07;G;Blainville, v;9;;4B;317;2;63;38;6;1;75;185;1;
481;Groulx;2014-04-07;G;Blainville, v;9;;5;321;1;57;33;11;3;69;174;6;
481;Groulx;2014-04-07;G;Blainville, v;9;;6;338;1;45;44;15;3;62;170;1;
481;Groulx;2014-04-07;G;Blainville, v;9;;7;319;1;56;42;13;1;56;169;3;
481;Groulx;2014-04-07;G;Blainville, v;9;;8;391;3;51;43;13;0;78;188;5;
481;Groulx;2014-04-07;G;Blainville, v;9;;9;325;1;44;66;4;1;51;167;1;
481;Groulx;2014-04-07;G;Blainville, v;9;;10;319;0;53;31;10;1;60;155;4;
481;Groulx;2014-04-07;G;Blainville, v;9;;11;321;1;63;39;13;1;62;179;5;
481;Groulx;2014-04-07;G;Blainville, v;9;;12;321;7;58;28;12;2;48;155;3;
481;Groulx;2014-04-07;G;Blainville, v;9;;13;342;3;47;39;11;2;69;171;4;
481;Groulx;2014-04-07;G;Blainville, v;9;;14;320;4;61;30;16;0;50;161;3;
481;Groulx;2014-04-07;G;Blainville, v;9;;15;288;4;38;25;15;0;70;152;5;
481;Groulx;2014-04-07;G;Blainville, v;9;;16;314;2;46;26;14;4;66;158;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;17;323;0;56;45;12;3;84;200;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;18;308;0;48;55;18;0;63;184;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;19;286;0;44;56;10;0;66;176;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;20;307;2;36;56;10;4;85;193;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;21;318;3;51;61;2;3;71;191;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;22;287;2;49;59;8;0;67;185;0;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;23;311;4;63;52;10;2;61;192;0;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;24;306;2;48;58;23;2;59;192;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;25;321;2;57;48;17;0;59;183;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;26;306;1;83;22;20;0;62;188;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;27;502;1;54;64;23;3;66;211;0;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;28;594;1;48;52;10;0;55;166;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;1;;29;305;6;47;56;13;2;65;189;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;30;333;3;59;25;9;0;46;142;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;31;330;1;50;29;14;0;41;135;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;32;310;3;62;26;19;0;41;151;4;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;33;302;3;48;27;11;1;45;135;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;34;328;7;41;33;14;2;61;158;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;35;335;1;68;23;23;0;51;166;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;2;;36;291;5;53;26;17;2;37;140;7;
