Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubé Gilles P.Q.;Citegetse Jean Bosco C.A.Q.-É.F.L.;Gaudreault Maryse P.L.Q./Q.L.P.;Girard Bernier Gabriel P.M.L.Q.;Harb Eid O.N. - P.I.Q.;Renaud Benoit Q.S.;B.V.;B.R.;
561;Hull;2014-04-07;G;Gatineau, v;7;;1A;233;12;16;91;0;0;6;125;2;
561;Hull;2014-04-07;G;Gatineau, v;7;;1B;281;11;19;90;0;0;15;135;0;
561;Hull;2014-04-07;G;Gatineau, v;7;;2A;230;18;17;71;1;1;9;117;1;
561;Hull;2014-04-07;G;Gatineau, v;7;;2B;202;19;12;72;1;0;12;116;2;
561;Hull;2014-04-07;G;Gatineau, v;7;;3A;262;24;14;80;0;0;10;128;4;
561;Hull;2014-04-07;G;Gatineau, v;7;;3B;251;16;15;65;1;0;7;104;1;
561;Hull;2014-04-07;G;Gatineau, v;7;;4;394;35;23;139;1;2;14;214;1;
561;Hull;2014-04-07;G;Gatineau, v;7;;5;386;36;27;122;1;2;19;207;3;
561;Hull;2014-04-07;G;Gatineau, v;7;;6A;259;24;29;70;0;0;13;136;3;
561;Hull;2014-04-07;G;Gatineau, v;7;;6B;269;20;25;70;0;0;14;129;2;
561;Hull;2014-04-07;G;Gatineau, v;7;;7;373;38;37;136;0;0;15;226;0;
561;Hull;2014-04-07;G;Gatineau, v;7;;8;382;32;26;152;0;3;18;231;4;
561;Hull;2014-04-07;G;Gatineau, v;7;;9;411;36;36;128;0;0;24;224;4;
561;Hull;2014-04-07;G;Gatineau, v;7;;10A;240;16;20;79;0;0;6;121;3;
561;Hull;2014-04-07;G;Gatineau, v;7;;10B;221;20;17;83;0;0;8;128;2;
561;Hull;2014-04-07;G;Gatineau, v;7;;11;409;14;30;134;0;1;9;188;5;
561;Hull;2014-04-07;G;Gatineau, v;7;;12;341;8;21;119;2;1;6;157;1;
561;Hull;2014-04-07;G;Gatineau, v;8;;13;91;3;7;30;0;0;8;48;0;
561;Hull;2014-04-07;G;Gatineau, v;8;;14;297;24;12;104;0;0;12;152;1;
561;Hull;2014-04-07;G;Gatineau, v;8;;15;417;54;18;72;1;4;63;212;5;
561;Hull;2014-04-07;G;Gatineau, v;8;;16;357;33;23;59;0;2;41;158;4;
561;Hull;2014-04-07;G;Gatineau, v;8;;17;395;68;19;92;0;0;37;216;4;
