Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Billette Stéphane P.L.Q./Q.L.P.;Bourdon Louis-Paul P.S.P.;De Martin Albert É.A.P. - P.C.Q.;Hébert Huguette P.Q.;IsaBelle Claire C.A.Q.-É.F.L.;Labelle Carmen Q.S.;Labrie Yann O.N. - P.I.Q.;B.V.;B.R.;
149;Huntingdon;2014-04-07;G;Akwesasne, ri;1;Regr. BVDS-1;1A;379;0;0;0;0;0;0;0;0;0;
149;Huntingdon;2014-04-07;G;Akwesasne, ri;1;Regr. BVDS-1;1B;376;0;0;0;0;0;0;0;0;0;
149;Huntingdon;2014-04-07;G;Akwesasne, ri;1;Regr. BVDS-1;1C;346;0;0;0;0;0;0;0;0;0;
149;Huntingdon;2014-04-07;G;Dundee, ct;1;;2;304;101;1;1;26;32;7;0;168;1;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;3;310;98;0;3;30;33;13;1;178;1;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;4;319;77;1;0;32;34;0;0;144;2;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;5;316;49;0;2;45;41;10;0;147;4;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;6;295;63;0;2;24;39;5;2;135;1;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;7;279;43;3;2;36;38;6;0;128;0;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;8;274;53;1;0;30;30;5;1;120;0;
149;Huntingdon;2014-04-07;G;Saint-Anicet, m;1;;9;310;56;3;3;29;26;7;1;125;2;
149;Huntingdon;2014-04-07;G;Sainte-Barbe, m;1;;10;265;64;3;1;37;41;15;0;161;2;
149;Huntingdon;2014-04-07;G;Sainte-Barbe, m;1;;11;308;64;1;3;59;50;7;0;184;3;
149;Huntingdon;2014-04-07;G;Sainte-Barbe, m;1;;12;246;45;2;1;35;30;11;2;126;2;
149;Huntingdon;2014-04-07;G;Sainte-Barbe, m;1;;13;317;62;2;2;53;50;6;0;175;6;
149;Huntingdon;2014-04-07;G;Godmanchester, ct;1;;14;295;109;0;8;9;14;6;0;146;3;
149;Huntingdon;2014-04-07;G;Godmanchester, ct;1;;15;301;100;1;2;21;35;4;2;165;0;
149;Huntingdon;2014-04-07;G;Godmanchester, ct;1;;16;279;114;1;2;21;19;5;0;162;1;
149;Huntingdon;2014-04-07;G;Godmanchester, ct;1;;17;251;115;0;3;14;10;1;0;143;1;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;18;324;101;2;4;9;7;3;2;128;0;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;19;363;97;0;3;12;16;2;0;130;1;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;20;311;80;2;2;14;17;4;0;119;4;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;21;314;79;1;2;11;16;4;0;113;1;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;22;320;67;2;0;13;18;4;2;106;1;
