Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouillé Marie P.Q.;Normandin Myriam-Zaa Q.S.;Samson Claire C.A.Q.-É.F.L.;Savard Claude O.N. - P.I.Q.;Tremblay Chantal P.L.Q./Q.L.P.;B.V.;B.R.;
143;Iberville;2014-04-07;G;Marieville, v;1;;1;383;68;10;95;1;60;234;8;
143;Iberville;2014-04-07;G;Marieville, v;1;;2;387;60;22;63;2;32;179;3;
143;Iberville;2014-04-07;G;Marieville, v;1;;3;368;94;11;71;3;52;231;5;
143;Iberville;2014-04-07;G;Marieville, v;1;;4;380;74;24;98;2;39;237;9;
143;Iberville;2014-04-07;G;Marieville, v;1;;5;387;72;23;97;0;43;235;3;
143;Iberville;2014-04-07;G;Marieville, v;1;;6;393;65;25;99;1;51;241;4;
143;Iberville;2014-04-07;G;Marieville, v;1;;7;378;82;15;75;3;34;209;2;
143;Iberville;2014-04-07;G;Marieville, v;1;;8;383;91;23;71;1;35;221;5;
143;Iberville;2014-04-07;G;Marieville, v;1;;9;387;92;19;71;4;32;218;2;
143;Iberville;2014-04-07;G;Marieville, v;1;;10;378;60;8;69;3;53;193;5;
143;Iberville;2014-04-07;G;Marieville, v;1;;11;378;92;11;94;1;45;243;4;
143;Iberville;2014-04-07;G;Marieville, v;2;;12;383;83;22;70;2;47;224;0;
143;Iberville;2014-04-07;G;Marieville, v;2;;13;381;66;17;68;1;38;190;3;
143;Iberville;2014-04-07;G;Marieville, v;2;;14;620;70;12;63;4;29;178;3;
143;Iberville;2014-04-07;G;Marieville, v;2;;15;399;90;19;66;2;51;228;3;
143;Iberville;2014-04-07;G;Marieville, v;2;;16;397;99;12;99;2;39;251;6;
143;Iberville;2014-04-07;G;Marieville, v;2;;17;396;97;25;81;4;32;239;2;
143;Iberville;2014-04-07;G;Marieville, v;2;;18;409;74;17;112;1;37;241;5;
143;Iberville;2014-04-07;G;Marieville, v;2;;19;394;95;11;104;2;39;251;2;
143;Iberville;2014-04-07;G;Marieville, v;2;;20;395;62;18;90;2;56;228;7;
143;Iberville;2014-04-07;G;Sainte-Angèle-de-Monnoir, m;1;;21;329;97;19;74;2;51;243;2;
