Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belley Jean-François Q.S.;Deguire Denis C.A.Q.-É.F.L.;Desroches Laurence P.Q.;Fortier Louis-Charles É.A.P. - P.C.Q.;Kelley Geoffrey P.L.Q./Q.L.P.;Maynard James P.V.Q./G.P.Q.;B.V.;B.R.;
409;Jacques-Cartier;2014-04-07;G;Senneville, vl;1;;1;348;4;19;3;4;168;13;211;0;
409;Jacques-Cartier;2014-04-07;G;Senneville, vl;1;;2;339;7;16;6;0;142;13;184;1;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;3;416;8;42;9;0;229;8;296;4;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;4;408;6;28;19;2;216;9;280;1;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;5A;195;4;15;8;0;117;2;146;1;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;5B;232;7;22;3;0;131;2;165;0;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;6;419;16;26;16;0;156;10;224;0;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;7;401;7;22;21;0;147;17;214;0;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;8;414;9;38;24;2;117;20;210;1;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;9;424;13;26;14;3;126;14;196;2;
409;Jacques-Cartier;2014-04-07;G;Sainte-Anne-de-Bellevue, v;1;;10;721;10;20;14;0;147;17;208;1;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;11;385;5;23;4;2;206;14;254;0;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;12;375;10;17;3;1;177;10;218;1;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;13;459;0;13;7;1;211;5;237;0;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;14;383;5;7;5;2;214;9;242;0;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;15;378;4;14;3;0;196;9;226;1;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;16;368;4;6;8;0;209;3;230;1;
409;Jacques-Cartier;2014-04-07;G;Baie-D'Urfé, v;1;;17;379;8;16;1;1;203;3;232;2;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;18;403;3;10;1;0;170;2;186;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;19;352;0;10;3;1;201;2;217;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;20;356;0;6;1;0;213;1;221;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;21;352;1;15;4;2;203;3;228;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;22;360;1;11;0;0;206;8;226;2;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;1;;23;344;3;13;4;0;167;3;190;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;2;;24;375;3;19;9;3;183;8;225;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;2;;25;381;5;13;14;4;181;2;219;2;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;2;;26;370;3;6;6;3;157;3;178;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;2;;27;397;2;10;4;0;198;6;220;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;2;;28;394;7;12;6;2;201;14;242;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;3;;29;368;8;6;10;1;176;2;203;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;3;;30;360;2;11;8;1;202;10;234;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;3;;31;365;2;13;6;1;158;6;186;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;3;;32;352;4;11;2;0;177;2;196;1;
