Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Sébastien Q.S.;Breton José Ind;Châteauvert Pierre P.Q.;Drolet André P.L.Q./Q.L.P.;Dumais Sébastien P.N.;Foster Émilie C.A.Q.-É.F.L.;Garcia Andrés É.A.P. - P.C.Q.;Moreau Claude P.M.L.Q.;Zanetti Sol O.N. - P.I.Q.;B.V.;B.R.;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;1;280;46;0;34;37;3;26;1;0;7;154;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;2;301;32;0;50;42;1;32;3;0;10;170;5;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;3;265;26;2;29;33;4;36;1;0;14;145;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;4;270;15;0;45;29;3;45;1;0;9;147;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;5;257;21;2;27;36;1;26;1;0;10;124;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;50;;6;296;24;0;26;28;6;36;0;0;4;124;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;7;335;51;0;42;32;2;38;0;2;11;178;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;8;327;55;0;46;27;5;29;2;0;14;178;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;9;337;30;0;39;36;4;42;4;0;25;180;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;10A;257;16;1;29;43;2;23;0;1;7;122;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;10B;217;16;0;34;26;0;25;3;0;10;114;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;51;;11;345;63;0;39;34;4;41;0;1;23;205;6;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;12;301;32;1;27;24;9;34;3;0;12;142;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;13;310;33;2;38;20;6;49;0;0;8;156;8;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;14;313;32;0;47;33;4;31;1;1;8;157;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;15;313;46;0;37;32;1;47;0;0;12;175;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;16;322;45;0;35;41;4;27;1;0;10;163;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;52;;17;316;40;1;40;30;3;36;0;0;8;158;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;18;372;11;1;28;68;3;28;0;0;4;143;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;19;328;21;0;23;43;1;60;2;0;5;155;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;20;349;18;0;29;56;3;45;1;0;7;159;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;21;341;17;0;27;65;2;34;1;0;10;156;7;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;22;321;29;0;41;39;3;40;2;0;4;158;5;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;23;311;39;1;44;33;4;22;1;2;7;153;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;24;362;28;1;45;26;0;30;2;0;8;140;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;25;339;40;2;50;43;2;35;2;1;11;186;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;26;316;51;0;42;44;6;34;1;0;8;186;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;27;408;13;0;33;46;1;26;0;0;4;123;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;28;431;36;0;37;37;3;26;2;0;9;150;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;29;374;45;1;40;45;5;33;0;0;10;179;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;30;317;58;0;47;33;0;33;0;2;11;184;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;31;334;53;1;58;26;4;38;0;1;8;189;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;32;307;52;0;51;31;4;26;4;0;6;174;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;33;319;55;0;50;31;5;40;1;0;10;192;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;;34;336;40;0;51;26;4;33;0;0;7;161;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;35;266;6;0;27;42;0;29;1;0;0;105;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;36;389;12;0;26;44;2;51;0;0;1;136;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;37;286;10;1;24;59;0;44;0;1;3;142;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;38;284;5;0;20;47;2;39;0;1;0;114;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;39;308;9;0;25;51;0;48;0;0;1;134;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;40;304;3;0;19;38;3;36;0;0;0;99;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;62;;41;301;14;0;24;47;3;42;0;0;0;130;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;42;321;15;0;22;70;1;55;2;0;4;169;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;43;301;6;1;25;42;3;39;4;0;2;122;5;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;44;299;7;0;22;50;0;37;2;3;1;122;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;45;308;3;0;22;26;2;40;0;0;2;95;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;46;290;9;0;25;59;1;48;0;0;2;144;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;47;291;9;0;32;46;0;48;1;0;3;139;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;63;;48;311;25;0;40;49;1;41;0;0;5;161;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;49;325;18;0;46;49;1;44;2;3;3;166;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;50;330;7;0;22;43;0;32;1;2;3;110;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;51;307;10;0;18;42;0;39;1;0;7;117;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;52;323;26;1;32;52;5;47;1;0;8;172;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;53;329;26;1;34;58;2;34;0;0;9;164;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;54;297;18;0;26;34;4;49;2;0;4;137;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;64;;55;318;24;1;36;49;1;42;1;0;1;155;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;56;335;22;1;44;23;2;54;1;0;1;148;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;57;305;18;0;24;38;3;41;0;1;6;131;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;58;317;18;0;40;50;2;51;2;1;5;169;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;59;290;18;0;38;50;1;41;2;0;0;150;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;60;315;11;0;21;77;1;28;0;0;1;139;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;61;319;9;0;28;64;1;32;3;0;0;137;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;62;310;9;0;38;48;3;52;0;1;2;153;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;65;;63;301;17;0;40;45;5;50;1;0;2;160;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;64;384;16;1;26;40;0;43;1;0;8;135;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;65;384;31;0;35;44;2;29;1;0;3;145;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;66;302;20;1;34;51;3;33;1;0;5;148;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;67;326;21;2;31;45;1;37;0;0;3;140;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;68;345;17;0;22;44;2;29;1;0;3;118;5;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;69;342;25;0;23;31;4;34;1;0;8;126;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;70;341;25;0;31;24;7;52;0;0;8;147;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;66;;71;322;14;1;36;29;3;39;0;0;8;130;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;72;314;53;0;46;23;2;35;1;0;6;166;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;73;321;38;0;48;37;2;37;2;1;5;170;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;74;301;11;0;22;32;3;35;1;0;4;108;7;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;75;285;26;0;33;37;1;40;1;0;10;148;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;76;319;25;0;16;34;3;39;2;0;5;124;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;77;258;21;0;27;28;2;29;0;0;1;108;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;67;;78;371;23;2;24;51;2;46;1;1;1;151;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;79;299;21;1;20;31;2;40;3;0;4;122;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;80;282;11;0;23;40;5;26;2;0;3;110;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;81;319;27;1;30;45;3;50;0;0;3;159;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;82;295;16;1;29;47;1;34;1;0;1;130;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;83;288;14;0;24;51;3;45;3;0;3;143;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;68;;84;298;5;0;21;46;3;33;1;0;1;110;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;85;361;8;3;12;72;2;17;1;0;0;115;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;86;275;7;0;24;45;1;24;0;1;0;102;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;87;316;16;0;25;47;2;48;2;1;5;146;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;88;358;28;2;28;55;0;60;1;0;5;179;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;89;330;9;0;23;48;2;43;2;0;1;128;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;90;334;27;0;30;40;2;50;1;0;4;154;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;69;;91;325;22;0;33;35;2;44;0;0;6;142;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;92;425;12;0;34;40;5;36;3;0;2;132;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;93;381;20;0;40;35;4;37;1;0;2;139;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;94;467;20;0;46;53;1;28;1;0;1;150;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;95;319;14;1;21;33;2;30;0;0;4;105;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;96;344;23;1;37;40;2;36;0;1;3;143;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;97;315;23;1;36;28;1;40;1;0;8;138;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;98;329;29;0;35;25;1;61;1;0;2;154;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;70;;99;322;29;0;29;38;1;34;4;0;6;141;2;
