Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Hugues C.A.Q.-É.F.L.;Bolduc Yves P.L.Q./Q.L.P.;Couillard Maxime P.N.;Gueppe Eveline Q.S.;Laberge Clément P.Q.;Lavallée Alexandre O.N. - P.I.Q.;Pouleur Stéphane É.A.;Roy Verville Monique É.A.P. - P.C.Q.;B.V.;B.R.;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;1;408;63;53;0;12;40;1;2;3;174;4;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;2;426;52;64;0;12;32;3;0;0;163;0;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;3A;223;29;57;0;3;20;2;0;0;111;1;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;3B;219;41;34;1;13;21;3;0;0;113;2;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;4;390;59;75;3;25;43;4;1;0;210;0;
643;Jean-Talon;2014-04-07;G;Québec, v;19;;5;382;57;71;2;17;41;1;0;1;190;6;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;6;349;45;59;0;22;28;0;0;1;155;1;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;7;359;54;70;3;18;29;4;1;4;183;0;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;8;340;53;76;0;12;46;3;0;0;190;1;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;9;357;57;76;4;14;42;2;1;2;198;0;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;10;356;71;53;4;17;32;3;0;2;182;1;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;11;360;47;72;4;25;18;6;0;4;176;3;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;12;315;30;45;4;17;20;2;1;2;121;4;
643;Jean-Talon;2014-04-07;G;Québec, v;20;;13;332;46;45;2;19;22;3;0;2;139;5;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;14;396;32;90;1;12;27;0;0;0;162;4;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;15;376;59;89;2;22;55;1;1;1;230;0;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;16;387;57;89;5;20;55;3;0;2;231;1;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;17;407;84;87;5;10;38;6;0;3;233;3;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;18;403;62;106;1;12;45;2;0;1;229;4;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;19;397;56;83;2;17;45;2;1;3;209;9;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;20;367;62;76;1;14;29;3;0;0;185;1;
643;Jean-Talon;2014-04-07;G;Québec, v;21;;21;385;72;68;4;27;43;4;1;1;220;3;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;22;347;55;49;4;18;26;3;0;4;159;2;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;23;362;46;100;0;14;33;4;0;3;200;6;
