Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchet Yves-François P.Q.;Desrochers François Q.S.;Doucet Magali O.N. - P.I.Q.;Gauthier Sébastien P.N.;Lamontagne André C.A.Q.-É.F.L.;Lussier Benoit É.A.P. - P.C.Q.;Mercier Brigitte P.L.Q./Q.L.P.;B.V.;B.R.;
269;Johnson;2014-04-07;G;Drummondville, v;10;;1;402;67;9;2;6;58;1;47;190;2;
269;Johnson;2014-04-07;G;Drummondville, v;10;;2;403;58;10;2;3;72;0;46;191;5;
269;Johnson;2014-04-07;G;Drummondville, v;10;;3;454;79;15;3;0;81;0;32;210;2;
269;Johnson;2014-04-07;G;Drummondville, v;10;;4;392;56;13;0;3;111;2;38;223;5;
269;Johnson;2014-04-07;G;Drummondville, v;11;;5;359;56;8;2;5;59;2;27;159;5;
269;Johnson;2014-04-07;G;Drummondville, v;11;;6;363;64;13;1;1;53;0;30;162;4;
269;Johnson;2014-04-07;G;Drummondville, v;11;;7;372;53;9;4;3;71;0;26;166;4;
269;Johnson;2014-04-07;G;Drummondville, v;11;;8;373;60;13;1;1;71;7;40;193;3;
269;Johnson;2014-04-07;G;Drummondville, v;11;;9;413;51;11;2;4;71;3;47;189;6;
269;Johnson;2014-04-07;G;Drummondville, v;11;;10;364;57;11;0;2;70;0;44;184;4;
269;Johnson;2014-04-07;G;Drummondville, v;11;;11;378;61;9;1;2;54;1;53;181;3;
269;Johnson;2014-04-07;G;Drummondville, v;11;;12;380;67;14;3;2;65;1;38;190;4;
269;Johnson;2014-04-07;G;Drummondville, v;12;;13;354;41;16;2;4;49;0;21;133;6;
269;Johnson;2014-04-07;G;Drummondville, v;12;;14;332;38;7;1;0;40;0;29;115;3;
269;Johnson;2014-04-07;G;Drummondville, v;12;;15;354;53;16;2;5;31;2;23;132;4;
269;Johnson;2014-04-07;G;Drummondville, v;12;;16;344;47;12;0;4;44;0;18;125;9;
269;Johnson;2014-04-07;G;Drummondville, v;12;;17;351;53;12;2;3;49;0;31;150;5;
269;Johnson;2014-04-07;G;Drummondville, v;12;;18;344;33;9;0;2;33;1;42;120;2;
269;Johnson;2014-04-07;G;Drummondville, v;12;;19;366;35;15;1;7;30;1;25;114;1;
269;Johnson;2014-04-07;G;Drummondville, v;12;;20;341;28;14;3;1;46;4;23;119;4;
269;Johnson;2014-04-07;G;Drummondville, v;12;;21;333;56;6;0;2;43;0;27;134;0;
269;Johnson;2014-04-07;G;Drummondville, v;13;;22;469;71;7;0;1;58;1;38;176;2;
269;Johnson;2014-04-07;G;Drummondville, v;13;;23;400;63;15;2;2;67;1;42;192;5;
269;Johnson;2014-04-07;G;Drummondville, v;13;;24;398;63;14;2;3;69;1;56;208;3;
269;Johnson;2014-04-07;G;Drummondville, v;13;;25;399;47;15;5;4;36;2;28;137;4;
269;Johnson;2014-04-07;G;Drummondville, v;13;;26;385;55;23;0;3;72;0;50;203;2;
269;Johnson;2014-04-07;G;Drummondville, v;13;;27;392;64;15;1;1;78;1;61;221;3;
269;Johnson;2014-04-07;G;Drummondville, v;14;;28;375;66;18;3;3;54;1;42;187;6;
269;Johnson;2014-04-07;G;Drummondville, v;14;;29;373;43;17;3;7;65;2;41;178;4;
269;Johnson;2014-04-07;G;Drummondville, v;14;;30;399;68;11;3;0;58;0;53;193;0;
269;Johnson;2014-04-07;G;Drummondville, v;14;;31;370;48;8;0;7;63;0;28;154;8;
269;Johnson;2014-04-07;G;Drummondville, v;14;;32;391;37;7;4;1;64;1;24;138;0;
269;Johnson;2014-04-07;G;Drummondville, v;14;;33;419;56;13;1;0;89;0;45;204;1;
269;Johnson;2014-04-07;G;Drummondville, v;14;;34;382;64;12;2;0;97;0;58;233;4;
269;Johnson;2014-04-07;G;Drummondville, v;14;;35;382;58;13;2;2;66;0;49;190;3;
269;Johnson;2014-04-07;G;Drummondville, v;14;;36;370;63;6;0;5;79;1;46;200;5;
269;Johnson;2014-04-07;G;Drummondville, v;14;;37;394;41;4;1;1;57;1;53;158;4;
269;Johnson;2014-04-07;G;Drummondville, v;14;;38;385;70;19;2;2;86;1;50;230;2;
269;Johnson;2014-04-07;G;Drummondville, v;14;;39;392;60;9;0;3;84;0;40;196;4;
269;Johnson;2014-04-07;G;Drummondville, v;14;;40;388;43;12;3;4;78;1;32;173;5;
269;Johnson;2014-04-07;G;Drummondville, v;15;;41;402;69;15;1;2;112;1;36;236;9;
269;Johnson;2014-04-07;G;Drummondville, v;15;;42;384;76;10;2;3;96;1;58;246;5;
269;Johnson;2014-04-07;G;Drummondville, v;15;;43;380;71;16;1;0;92;1;56;237;7;
269;Johnson;2014-04-07;G;Drummondville, v;16;;44;382;52;7;1;0;57;4;24;145;7;
269;Johnson;2014-04-07;G;Drummondville, v;16;;45;366;64;13;1;0;55;0;35;168;3;
269;Johnson;2014-04-07;G;Drummondville, v;16;;46;378;61;12;1;2;92;0;54;222;0;
269;Johnson;2014-04-07;G;Drummondville, v;16;;47;378;55;10;1;0;103;1;50;220;0;
269;Johnson;2014-04-07;G;Drummondville, v;16;;48;377;54;10;2;1;51;0;40;158;2;
269;Johnson;2014-04-07;G;Drummondville, v;16;;49;380;63;18;3;4;70;2;28;188;3;
269;Johnson;2014-04-07;G;Drummondville, v;17;;50;379;54;14;0;1;91;3;43;206;5;
269;Johnson;2014-04-07;G;Drummondville, v;17;;51;381;52;7;1;2;85;0;47;194;1;
269;Johnson;2014-04-07;G;Drummondville, v;17;;52;374;54;14;1;4;73;5;34;185;0;
269;Johnson;2014-04-07;G;Drummondville, v;17;;53;372;69;11;0;2;84;2;30;198;7;
269;Johnson;2014-04-07;G;Drummondville, v;17;;54;369;72;10;3;2;60;2;31;180;1;
269;Johnson;2014-04-07;G;Drummondville, v;17;;55;374;55;13;1;2;93;4;26;194;1;
269;Johnson;2014-04-07;G;Drummondville, v;17;;56;377;80;10;1;0;100;0;26;217;5;
269;Johnson;2014-04-07;G;Drummondville, v;17;;57;382;54;16;1;10;66;4;44;195;1;
269;Johnson;2014-04-07;G;Drummondville, v;17;;58;392;64;13;1;2;90;1;51;222;4;
269;Johnson;2014-04-07;G;Drummondville, v;17;;59;399;66;7;4;3;107;0;36;223;6;
269;Johnson;2014-04-07;G;Drummondville, v;17;;60;395;51;16;0;1;65;0;36;169;3;
269;Johnson;2014-04-07;G;Drummondville, v;17;;61;412;43;12;4;6;95;0;33;193;2;
269;Johnson;2014-04-07;G;Drummondville, v;17;;62;397;70;15;1;4;103;0;32;225;0;
269;Johnson;2014-04-07;G;Drummondville, v;18;;63;361;63;10;0;1;73;1;36;184;9;
269;Johnson;2014-04-07;G;Drummondville, v;18;;64;359;63;7;0;3;68;0;31;172;6;
269;Johnson;2014-04-07;G;Drummondville, v;18;;65;370;72;14;1;5;75;2;42;211;2;
269;Johnson;2014-04-07;G;Drummondville, v;18;;66;361;65;8;6;4;61;1;31;176;9;
269;Johnson;2014-04-07;G;Drummondville, v;18;;67;378;74;8;3;2;76;0;37;200;4;
269;Johnson;2014-04-07;G;Drummondville, v;18;;68;369;61;12;0;4;81;4;46;208;9;
269;Johnson;2014-04-07;G;Drummondville, v;18;;69;355;42;9;1;4;83;0;46;185;1;
