Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Colangelo Lauzon Mikey É.A.P. - P.C.Q.;Corriveau Robert P.L.Q./Q.L.P.;Hivon Véronique P.Q.;Larouche Denise C.A.Q.-É.F.L.;Legault Sylvain O.N. - P.I.Q.;Trudel Flavie Q.S.;B.V.;B.R.;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;1;289;1;24;57;52;2;14;150;2;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;2;426;3;21;100;65;1;10;200;5;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;3;288;0;30;53;61;1;7;152;3;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;4;326;4;35;56;44;0;10;149;7;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;5;336;0;19;65;57;3;14;158;7;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;6;349;0;36;79;65;1;16;197;3;
361;Joliette;2014-04-07;G;Sainte-Mélanie, m;1;;7;325;0;21;66;46;3;10;146;2;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;8;359;1;33;78;66;1;14;193;7;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;9;354;0;36;86;55;3;22;202;2;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;10;374;1;36;80;71;1;20;209;3;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;11;388;1;23;102;71;1;17;215;2;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;12;362;1;40;76;67;0;13;197;2;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;13;357;0;21;83;50;1;11;166;5;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;14;374;1;15;117;71;1;16;221;2;
361;Joliette;2014-04-07;G;Saint-Ambroise-de-Kildare, p;1;;15;377;3;30;78;67;1;19;198;8;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;16;394;0;26;109;72;2;10;219;4;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;17;347;1;13;82;48;3;13;160;6;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;18;331;1;23;95;46;4;10;179;7;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;19;375;1;28;94;66;1;19;209;4;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;20;402;3;38;96;61;4;7;209;7;
361;Joliette;2014-04-07;G;Notre-Dame-de-Lourdes, m;1;;21;339;0;15;68;76;2;7;168;3;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;22;436;1;30;127;62;1;14;235;5;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;23A;220;2;11;57;40;0;13;123;1;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;23B;266;0;26;51;40;1;16;134;6;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;24;428;1;25;97;66;3;23;215;5;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;25;434;1;45;104;71;2;14;237;6;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;26;336;0;29;76;50;6;8;169;2;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;27;356;2;43;75;44;2;12;178;7;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;28;345;1;23;81;35;2;14;156;4;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;29;375;0;29;76;45;2;9;161;2;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;30;361;0;40;77;43;1;12;173;4;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;31;365;2;42;51;39;4;11;149;2;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;32;398;0;41;74;54;1;19;189;4;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;33;391;1;33;58;57;4;13;166;2;
