Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Nicolas O.N. - P.I.Q.;Boucher Mélanie C.A.Q.-É.F.L.;Dumais Réjean Q.S.;Gaudreault Sylvain P.Q.;Pageau Tommy P.L.Q./Q.L.P.;B.V.;B.R.;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;1;386;2;57;11;90;78;238;2;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;2;399;0;56;13;67;89;225;2;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;3;384;2;67;14;69;67;219;5;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;4;368;2;48;11;59;49;169;4;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;5;379;3;41;7;90;70;211;5;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;6;389;1;70;14;98;41;224;12;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;7;388;0;73;9;102;70;254;11;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;8;392;2;71;5;94;85;257;3;
773;Jonquière;2014-04-07;G;Saguenay, v;1;;9;361;0;56;5;91;51;203;3;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;10;395;1;69;9;113;49;241;3;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;11;356;5;43;9;88;38;183;4;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;12;369;2;54;8;73;50;187;3;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;13;331;0;36;11;75;46;168;4;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;14;382;3;66;8;78;73;228;4;
773;Jonquière;2014-04-07;G;Saguenay, v;2;;15;571;1;61;15;78;45;200;7;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;16;351;1;41;5;64;37;148;7;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;17;354;2;46;3;69;50;170;13;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;18;348;3;33;13;72;53;174;8;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;19;417;2;49;5;83;30;169;7;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;20;362;0;60;8;80;60;208;8;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;21;391;1;74;13;111;58;257;10;
773;Jonquière;2014-04-07;G;Saguenay, v;3;;22;351;4;50;8;89;75;226;6;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;23;377;1;67;10;99;49;226;0;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;24;347;4;56;12;84;42;198;4;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;25;546;2;43;8;66;66;185;7;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;26;431;6;36;7;71;28;148;2;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;27;338;1;27;6;72;25;131;7;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;28;328;1;30;7;57;27;122;3;
773;Jonquière;2014-04-07;G;Saguenay, v;4;;29;363;4;36;10;77;31;158;7;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;30;400;4;42;10;104;52;212;3;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;31;415;2;53;8;90;72;225;9;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;32;398;2;58;7;75;44;186;8;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;33;379;4;54;5;93;69;225;3;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;34A;311;1;45;7;80;46;179;4;
773;Jonquière;2014-04-07;G;Saguenay, v;5;;34B;207;0;24;9;34;27;94;5;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;35;379;3;65;14;83;46;211;5;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;36;393;3;94;18;86;46;247;4;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;37;349;2;51;8;74;45;180;8;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;38;358;3;57;7;89;59;215;9;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;39;371;1;44;15;63;62;185;8;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;40;355;1;54;10;91;47;203;3;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;41;381;0;43;6;75;44;168;5;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;42;334;4;25;14;67;46;156;4;
773;Jonquière;2014-04-07;G;Saguenay, v;6;;43;361;1;71;5;75;46;198;5;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;44;357;1;33;10;56;44;144;4;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;45;387;1;56;8;76;47;188;0;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;46;395;4;42;12;94;35;187;2;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;47A;237;1;44;9;44;47;145;1;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;47B;208;2;28;2;45;26;103;1;
773;Jonquière;2014-04-07;G;Saguenay, v;7;;48;350;2;57;6;57;28;150;6;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;49;388;0;28;6;72;39;145;2;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;50;374;3;55;7;69;32;166;3;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;51;398;2;48;5;73;39;167;2;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;52;430;5;45;13;73;41;177;6;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;53;367;4;45;10;64;27;150;3;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;54;378;4;35;9;91;38;177;4;
773;Jonquière;2014-04-07;G;Saguenay, v;8;;55;388;3;32;11;52;37;135;6;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;56;366;5;22;8;42;42;119;1;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;57;348;2;25;10;71;39;147;8;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;58;353;0;31;12;76;33;152;2;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;59;430;1;31;13;77;36;158;4;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;60;380;1;36;8;70;55;170;1;
773;Jonquière;2014-04-07;G;Saguenay, v;9;;61;351;2;40;5;60;35;142;4;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;62;371;5;44;4;61;31;145;2;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;63;353;2;31;9;55;40;137;6;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;64;373;1;38;7;71;56;173;6;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;65;372;1;41;22;78;52;194;6;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;66;357;1;60;11;68;81;221;4;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;67;376;0;66;10;70;42;188;9;
773;Jonquière;2014-04-07;G;Saguenay, v;10;;68;366;1;33;13;74;44;165;3;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;69;308;2;37;6;59;33;137;2;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;70;280;1;41;8;43;38;131;2;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;71;329;3;44;10;80;46;183;5;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;72;325;3;51;12;88;43;197;3;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;73;329;1;36;10;67;43;157;5;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;74A;249;0;57;7;52;35;151;4;
773;Jonquière;2014-04-07;G;Saguenay, v;11;;74B;216;0;49;5;39;39;132;3;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;75;352;1;83;4;70;73;231;6;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;76A;230;1;26;6;56;28;117;2;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;76B;275;1;37;4;51;19;112;6;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;77;373;2;64;16;100;56;238;3;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;78;380;2;52;12;67;43;176;5;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;79;359;1;42;18;83;29;173;7;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;80;392;3;41;17;78;38;177;3;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;81;376;3;57;17;70;42;189;10;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;82;405;4;62;10;87;44;207;8;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;83;361;4;45;27;89;39;204;8;
773;Jonquière;2014-04-07;G;Saguenay, v;12;;84;369;3;52;14;103;45;217;2;
773;Jonquière;2014-04-07;G;Saguenay, v;13;;85;377;5;41;13;85;44;188;5;
773;Jonquière;2014-04-07;G;Saguenay, v;13;;86;357;1;58;18;102;71;250;6;
773;Jonquière;2014-04-07;G;Saguenay, v;13;;87;367;5;62;7;99;46;219;5;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;88;413;1;44;10;103;44;202;6;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;89;345;1;76;4;93;50;224;4;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;90;350;1;61;17;74;56;209;8;
