Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergevin Jean-Marc P.L.Q./Q.L.P.;Fournier Sylvain Q.S.;Gauthier Gabriel O.N. - P.I.Q.;Legault François C.A.Q.-É.F.L.;Paquette Pierre P.Q.;Raynault Charles-Étienne É.A.P. - P.C.Q.;B.V.;B.R.;
363;L'Assomption;2014-04-07;G;Terrebonne, v;19;;1;352;25;15;1;88;68;1;198;3;
363;L'Assomption;2014-04-07;G;Terrebonne, v;19;;2;350;22;15;1;95;67;2;202;1;
363;L'Assomption;2014-04-07;G;Terrebonne, v;19;;3;338;34;12;1;105;59;2;213;3;
363;L'Assomption;2014-04-07;G;Terrebonne, v;19;;4;353;23;14;2;96;62;1;198;8;
363;L'Assomption;2014-04-07;G;Terrebonne, v;19;;5;344;28;10;0;88;56;2;184;1;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;6;391;60;18;1;96;55;1;231;7;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;7;382;36;3;1;121;56;2;219;6;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;8;386;39;12;1;90;68;2;212;2;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;9;389;77;9;1;106;57;0;250;4;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;10;388;45;18;0;98;78;0;239;3;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;11;387;33;11;0;107;67;1;219;6;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;12;383;43;14;2;117;71;3;250;6;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;13;382;46;16;2;116;53;3;236;7;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;14;372;52;9;0;87;52;0;200;4;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;15;388;61;13;1;95;43;0;213;2;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;16;393;67;10;2;90;65;2;236;2;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;17;398;74;13;0;120;51;0;258;1;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;18;384;65;6;1;85;39;0;196;0;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;19;387;94;9;0;118;25;1;247;2;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;20;382;52;8;0;119;55;2;236;2;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;21;377;33;8;3;90;45;1;180;4;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;22;388;56;1;0;101;51;3;212;0;
363;L'Assomption;2014-04-07;G;Terrebonne, v;20;;23;394;61;10;3;106;37;3;220;2;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;24;371;21;20;3;98;68;2;212;5;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;25;384;25;14;1;114;56;0;210;5;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;26;378;47;5;0;91;49;1;193;3;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;27;388;19;17;0;98;77;1;212;0;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;28;375;12;4;0;92;63;2;173;10;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;29;384;15;6;2;103;53;1;180;4;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;30;378;13;6;0;77;66;5;167;1;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;31;373;14;16;0;64;55;0;149;7;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;32;381;15;17;1;59;54;1;147;1;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;33;363;19;8;0;75;40;0;142;1;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;34;379;25;5;0;78;50;2;160;3;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;35;384;30;15;2;93;69;1;210;0;
363;L'Assomption;2014-04-07;G;Charlemagne, v;1;;36;379;22;7;0;63;79;0;171;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;37;384;17;22;2;96;65;0;202;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;38;384;24;9;2;100;58;0;193;8;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;39;404;19;16;0;109;53;2;199;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;40;397;30;10;0;123;74;1;238;6;
