Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dao Phan Geneviève O.N. - P.I.Q.;Di Battista Manseau Julie C.A.Q.-É.F.L.;Drouin Benoit P.V.Q./G.P.Q.;Le Seigle Yves P.M.L.Q.;Martineau Véronique Q.S.;Pelletier Mathieu P.Q.;Tanguay Marc P.L.Q./Q.L.P.;B.V.;B.R.;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;1;510;1;31;0;0;25;55;82;194;3;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;2;549;1;45;0;1;20;41;113;221;2;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;3;556;2;43;2;0;9;51;134;241;3;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;4;307;1;11;1;0;17;12;119;161;1;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;5;308;1;16;2;1;8;16;105;149;1;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;6;321;0;16;2;0;5;8;87;118;6;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;7;298;0;18;4;0;11;20;98;151;0;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;8;303;0;15;3;0;9;24;110;161;0;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;9;311;1;9;2;1;5;6;131;155;1;
371;LaFontaine;2014-04-07;G;Montréal, v;375;;10;314;0;31;0;0;9;26;93;159;2;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;11;332;1;20;2;0;5;14;163;205;3;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;12;311;3;13;3;0;6;11;153;189;2;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;13;318;0;15;1;0;10;24;120;170;1;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;14;312;0;26;0;0;8;12;96;142;3;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;15;317;0;19;1;0;3;18;144;185;1;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;16;342;1;18;3;1;9;22;102;156;3;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;17;324;0;12;1;0;13;9;150;185;4;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;18;318;0;15;0;0;6;8;133;162;1;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;19;319;1;12;0;0;3;8;154;178;1;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;20;314;0;13;0;0;11;21;125;170;0;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;21;320;0;11;1;0;7;9;148;176;0;
371;LaFontaine;2014-04-07;G;Montréal, v;376;;22;326;0;21;1;0;11;32;103;168;1;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;23;291;1;7;1;0;4;3;136;152;2;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;24;313;1;16;0;0;4;9;136;166;2;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;25;298;1;21;2;0;10;26;85;145;2;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;26;329;3;20;4;0;12;38;74;151;1;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;27;274;0;17;0;0;11;11;92;131;1;
371;LaFontaine;2014-04-07;G;Montréal, v;377;;28;322;0;21;4;0;6;8;134;173;0;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;29;342;3;16;3;0;11;12;128;173;1;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;30;327;1;13;1;0;1;12;122;150;4;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;31;340;1;14;1;0;4;15;141;176;0;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;32;323;1;22;0;0;12;21;111;167;5;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;33;310;0;8;7;0;3;5;150;173;0;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;34;331;1;23;2;5;3;13;118;165;0;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;35;325;1;12;1;0;6;12;130;162;1;
371;LaFontaine;2014-04-07;G;Montréal, v;378;;36;443;1;11;0;0;5;28;131;176;2;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;37A;318;2;17;3;0;6;10;130;168;2;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;37B;251;0;36;2;0;7;9;119;173;3;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;38;318;0;19;0;0;0;8;170;197;1;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;39;311;0;10;0;1;4;6;195;216;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;40;316;0;11;0;0;3;9;128;151;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;41;302;0;16;0;0;8;23;90;137;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;42;290;2;10;0;0;5;16;111;144;1;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;43;314;0;6;2;0;2;2;143;155;2;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;44;297;0;15;0;0;4;6;130;155;6;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;45;304;0;10;0;2;4;10;140;166;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;46;326;1;4;0;0;2;4;155;166;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;47;292;0;11;0;0;4;4;134;153;0;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;48;296;0;15;2;0;2;13;126;158;3;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;49;290;0;13;0;0;0;4;127;144;1;
371;LaFontaine;2014-04-07;G;Montréal, v;379;;50;354;0;12;1;0;5;7;191;216;0;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;51;318;0;8;1;0;1;2;175;187;1;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;52;316;2;15;1;0;7;13;116;154;1;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;53;310;0;9;0;0;1;4;138;152;0;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;54;340;0;9;2;0;2;3;177;193;0;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;55;326;0;17;3;0;5;19;118;162;3;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;56;321;0;12;1;0;3;2;168;186;2;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;57;415;0;22;0;0;8;15;142;187;5;
371;LaFontaine;2014-04-07;G;Montréal, v;380;;58;300;0;28;2;0;8;16;127;181;1;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;59;325;1;20;1;0;3;9;165;199;1;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;60;326;1;24;1;1;7;15;141;190;2;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;61;318;0;3;2;0;3;0;182;190;0;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;62;305;0;7;2;0;0;5;149;163;2;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;63;321;0;10;2;1;1;3;152;169;1;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;64;333;0;18;0;0;4;10;115;147;2;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;65;336;3;26;0;1;10;18;100;158;1;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;66;315;0;5;0;0;1;2;164;172;0;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;67;322;0;3;1;0;1;2;166;173;0;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;68;315;0;10;0;0;1;7;172;190;1;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;69;328;2;14;1;0;0;4;152;173;0;
371;LaFontaine;2014-04-07;G;Montréal, v;381;;70;314;2;12;0;0;9;7;114;144;1;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;71;346;1;38;3;0;7;28;81;158;1;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;72;347;0;22;4;0;13;18;134;191;0;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;73;289;1;18;1;0;10;15;154;199;0;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;74;307;0;16;2;0;7;21;140;186;1;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;75;328;2;27;3;0;6;22;135;195;0;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;76;300;0;39;3;0;9;27;92;170;0;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;77;308;3;27;0;0;6;14;151;201;0;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;78;314;0;21;2;0;6;21;153;203;5;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;79;315;0;22;2;0;9;29;135;197;1;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;80;326;0;22;1;0;9;22;144;198;2;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;81;311;0;31;1;1;8;21;119;181;2;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;82;317;0;25;1;0;13;33;75;147;2;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;83;317;0;15;0;0;6;19;144;184;2;
371;LaFontaine;2014-04-07;G;Montréal, v;382;;84;323;1;16;5;1;8;16;116;163;1;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;85;323;1;15;1;0;10;31;89;147;3;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;86;337;1;14;1;0;8;3;196;223;2;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;87;318;0;22;5;0;2;11;156;196;2;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;88;309;1;6;2;1;1;4;191;206;1;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;89;291;0;13;2;0;4;14;123;156;2;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;90;362;0;14;0;0;3;8;232;257;1;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;91;306;0;21;4;1;11;16;130;183;4;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;92;275;0;26;1;0;6;20;120;173;3;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;93;327;2;47;3;0;8;29;90;179;3;
371;LaFontaine;2014-04-07;G;Montréal, v;383;;94;293;0;21;2;0;9;20;111;163;2;
371;LaFontaine;2014-04-07;G;Montréal, v;384;;95;313;0;28;0;1;12;22;106;169;1;
371;LaFontaine;2014-04-07;G;Montréal, v;384;;96;305;0;16;3;0;4;21;123;167;1;
371;LaFontaine;2014-04-07;G;Montréal, v;384;;97;340;3;30;1;0;5;14;122;175;2;
