Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Gaétan P.L.Q./Q.L.P.;Beaupré Johane Q.S.;Fernandez Sebastian É.A.P. - P.C.Q.;Houda-Pepin Fatima Ind;Kim Jin C.A.Q.-É.F.L.;Létourneau-Prézeau François O.N. - P.I.Q.;B.V.;B.R.;
203;La Pinière;2014-04-07;G;Brossard, v;1;;1;343;102;5;1;24;26;0;158;0;
203;La Pinière;2014-04-07;G;Brossard, v;1;;2;375;110;4;0;40;18;2;174;1;
203;La Pinière;2014-04-07;G;Brossard, v;1;;3;385;129;9;1;44;25;0;208;4;
203;La Pinière;2014-04-07;G;Brossard, v;1;;4;373;101;8;1;35;38;6;189;5;
203;La Pinière;2014-04-07;G;Brossard, v;1;;5;368;139;2;4;39;25;2;211;4;
203;La Pinière;2014-04-07;G;Brossard, v;1;;6;369;98;9;0;45;42;1;195;2;
203;La Pinière;2014-04-07;G;Brossard, v;1;;7;384;133;6;0;30;11;0;180;2;
203;La Pinière;2014-04-07;G;Brossard, v;1;;8;363;139;5;0;18;16;0;178;0;
203;La Pinière;2014-04-07;G;Brossard, v;1;;9;385;116;2;1;37;24;1;181;1;
203;La Pinière;2014-04-07;G;Brossard, v;1;;10;353;119;3;0;31;15;1;169;0;
203;La Pinière;2014-04-07;G;Brossard, v;1;;11;364;132;3;0;30;15;1;181;0;
203;La Pinière;2014-04-07;G;Brossard, v;1;;12;342;99;1;1;43;21;1;166;3;
203;La Pinière;2014-04-07;G;Brossard, v;1;;13;553;92;2;1;49;20;3;167;0;
203;La Pinière;2014-04-07;G;Brossard, v;1;;14;537;80;3;2;57;30;1;173;7;
203;La Pinière;2014-04-07;G;Brossard, v;1;;15A;613;43;3;2;41;26;4;119;5;
203;La Pinière;2014-04-07;G;Brossard, v;1;;15B;351;52;5;0;46;27;0;130;1;
203;La Pinière;2014-04-07;G;Brossard, v;1;;16;378;101;6;0;58;18;1;184;1;
203;La Pinière;2014-04-07;G;Brossard, v;1;;17;364;88;3;0;24;22;3;140;4;
203;La Pinière;2014-04-07;G;Brossard, v;2;;18;403;156;4;1;18;7;3;189;1;
203;La Pinière;2014-04-07;G;Brossard, v;2;;19;388;132;5;0;44;21;1;203;2;
203;La Pinière;2014-04-07;G;Brossard, v;2;;20A;214;57;7;2;36;22;0;124;7;
203;La Pinière;2014-04-07;G;Brossard, v;2;;20B;213;52;4;1;21;13;1;92;0;
203;La Pinière;2014-04-07;G;Brossard, v;2;;21;397;79;8;1;58;28;1;175;1;
203;La Pinière;2014-04-07;G;Brossard, v;2;;22;405;119;7;1;54;29;5;215;2;
203;La Pinière;2014-04-07;G;Brossard, v;2;;23;378;118;6;0;49;30;4;207;6;
203;La Pinière;2014-04-07;G;Brossard, v;2;;24;384;135;11;3;43;25;1;218;3;
203;La Pinière;2014-04-07;G;Brossard, v;2;;25;397;114;7;1;46;25;1;194;0;
203;La Pinière;2014-04-07;G;Brossard, v;2;;26;377;125;2;0;28;24;2;181;1;
203;La Pinière;2014-04-07;G;Brossard, v;2;;27;395;161;3;1;20;19;0;204;6;
203;La Pinière;2014-04-07;G;Brossard, v;2;;28;408;170;3;0;19;8;0;200;2;
203;La Pinière;2014-04-07;G;Brossard, v;2;;29;392;182;4;1;14;16;0;217;0;
203;La Pinière;2014-04-07;G;Brossard, v;2;;30;401;130;5;0;54;26;1;216;2;
203;La Pinière;2014-04-07;G;Brossard, v;2;;31;389;139;4;0;30;21;0;194;1;
203;La Pinière;2014-04-07;G;Brossard, v;3;;32;350;116;9;7;42;32;2;208;2;
203;La Pinière;2014-04-07;G;Brossard, v;3;;33;356;133;4;0;36;9;1;183;1;
203;La Pinière;2014-04-07;G;Brossard, v;3;;34;356;144;3;1;40;27;3;218;1;
203;La Pinière;2014-04-07;G;Brossard, v;3;;35;380;127;4;0;41;16;3;191;3;
203;La Pinière;2014-04-07;G;Brossard, v;4;;36;407;146;17;2;46;19;0;230;0;
