Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;André Marilou Q.S.;Chouinard Normand P.M.L.Q.;Gouin Jean-Pierre O.N. - P.I.Q.;Langlois Pierre P.Q.;Le Bouyonnec Stéphane C.A.Q.-É.F.L.;L'Heureux Guy É.A.P. - P.C.Q.;Merlini Richard P.L.Q./Q.L.P.;B.V.;B.R.;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;1;362;19;0;0;71;50;3;25;168;5;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;2;381;18;1;2;45;46;1;25;138;5;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;3;371;7;0;3;51;37;0;53;151;3;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;4;365;7;1;0;67;57;1;44;177;1;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;5;356;13;0;2;48;40;0;41;144;4;
183;La Prairie;2014-04-07;G;La Prairie, v;1;;6;362;7;0;1;66;58;1;35;168;2;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;7;379;17;0;0;47;63;0;43;170;6;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;8;379;13;1;1;33;55;3;32;138;5;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;9;353;14;1;1;50;57;2;37;162;5;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;10;378;20;0;0;57;53;0;43;173;0;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;11;460;24;2;1;68;62;1;34;192;7;
183;La Prairie;2014-04-07;G;La Prairie, v;2;Regr. BVO-11;12;0;0;0;0;0;0;0;0;0;0;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;13;444;14;0;6;55;63;1;38;177;1;
183;La Prairie;2014-04-07;G;La Prairie, v;2;Regr. BVO-13;14;0;0;0;0;0;0;0;0;0;0;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;15;349;11;1;2;52;63;1;49;179;2;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;16;365;21;0;3;42;48;0;37;151;1;
183;La Prairie;2014-04-07;G;La Prairie, v;2;;17;375;16;0;0;61;61;0;35;173;5;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;18A;342;12;0;3;31;76;3;63;188;4;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;18B;358;5;0;1;36;64;0;66;172;0;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;19;394;14;3;1;38;67;0;96;219;1;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;20;385;15;0;1;53;66;2;80;217;2;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;21;396;21;0;5;47;78;3;86;240;3;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;22;423;20;2;1;68;67;2;40;200;4;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;23;367;15;0;0;52;60;0;37;164;2;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;24A;230;6;0;0;28;36;0;53;123;2;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;24B;254;6;3;0;37;57;0;32;135;2;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;25;405;6;0;0;43;107;3;102;261;1;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;26A;226;8;0;0;30;49;0;41;128;2;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;26B;203;7;1;0;17;50;1;37;113;3;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;27;397;15;0;0;33;95;0;93;236;6;
183;La Prairie;2014-04-07;G;La Prairie, v;3;;28;408;15;0;1;58;103;1;85;263;1;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;29;392;8;3;0;47;99;1;65;223;4;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;30;401;16;0;2;55;114;2;68;257;4;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;31A;194;8;0;1;21;41;0;55;126;3;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;31B;235;8;0;2;37;70;0;45;162;4;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;32;404;8;2;1;55;84;0;94;244;2;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;33;406;19;0;1;57;97;0;98;272;8;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;34;404;17;1;1;52;107;0;81;259;3;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;35;410;15;0;0;57;99;0;87;258;5;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;36;372;11;0;3;44;70;0;75;203;5;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;37;362;10;0;0;43;72;0;67;192;2;
183;La Prairie;2014-04-07;G;La Prairie, v;4;;38;371;14;0;0;64;68;3;55;204;5;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;39;389;16;0;2;61;86;1;74;240;2;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;40;385;20;0;1;57;10;1;64;153;4;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;41;366;14;0;0;65;82;1;51;213;4;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;42;370;20;0;0;57;76;0;60;213;0;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;43;385;13;2;4;55;84;2;43;203;6;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;44;395;19;0;1;57;90;3;63;233;1;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;45;364;12;0;0;53;79;1;64;209;2;
183;La Prairie;2014-04-07;G;La Prairie, v;5;;46;404;10;0;2;73;99;0;42;226;8;
183;La Prairie;2014-04-07;G;Candiac, v;1;;47;361;11;0;0;49;61;1;38;160;2;
183;La Prairie;2014-04-07;G;Candiac, v;1;;48;368;13;1;1;46;65;2;61;189;2;
183;La Prairie;2014-04-07;G;Candiac, v;1;;49;363;19;0;1;62;74;0;57;213;2;
183;La Prairie;2014-04-07;G;Candiac, v;1;;50;372;9;0;0;63;61;0;66;199;1;
183;La Prairie;2014-04-07;G;Candiac, v;1;;51;366;17;0;2;51;88;0;39;197;1;
183;La Prairie;2014-04-07;G;Candiac, v;1;;52;367;15;0;4;59;66;0;55;199;0;
183;La Prairie;2014-04-07;G;Candiac, v;1;;53;378;25;1;1;44;66;1;46;184;4;
183;La Prairie;2014-04-07;G;Candiac, v;1;;54;386;12;2;0;59;79;1;76;229;5;
183;La Prairie;2014-04-07;G;Candiac, v;1;;55;369;21;0;0;64;68;1;69;223;2;
