Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Alexandre P.Q.;Dubé Francis P.N.;Fauteux-Aïmola Sabrina O.N. - P.I.Q.;Gagnon Pascal P.L.Q./Q.L.P.;Lavoie Yann É.A.P. - P.C.Q.;Marchildon Élise C.A.Q.-É.F.L.;Plamondon Frédérick Q.S.;B.V.;B.R.;
779;Lac-Saint-Jean;2014-04-07;G;Passes-Dangereuses, no;2;Regr. BVO-2;1;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Ludger-de-Milot, m;1;;2;317;88;1;1;66;1;28;5;190;2;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Ludger-de-Milot, m;1;;3;275;69;2;4;60;4;28;5;172;3;
779;Lac-Saint-Jean;2014-04-07;G;Sainte-Monique, m;1;;4;342;71;4;0;78;1;42;7;203;5;
779;Lac-Saint-Jean;2014-04-07;G;Sainte-Monique, m;1;;5;374;101;1;0;80;2;45;8;237;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Henri-de-Taillon, m;1;;6;306;83;2;1;53;2;38;15;194;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Henri-de-Taillon, m;1;;7;294;70;6;2;52;6;32;10;178;3;
779;Lac-Saint-Jean;2014-04-07;G;L'Ascension-de-Notre-Seigneur, p;1;;8;402;92;1;2;69;1;40;8;213;3;
779;Lac-Saint-Jean;2014-04-07;G;L'Ascension-de-Notre-Seigneur, p;1;;9;352;81;2;1;51;0;40;11;186;1;
779;Lac-Saint-Jean;2014-04-07;G;L'Ascension-de-Notre-Seigneur, p;1;;10;403;106;4;1;70;2;45;8;236;7;
779;Lac-Saint-Jean;2014-04-07;G;L'Ascension-de-Notre-Seigneur, p;1;;11;380;85;1;1;54;0;50;6;197;0;
779;Lac-Saint-Jean;2014-04-07;G;Lamarche, m;1;;12;214;76;0;1;31;1;28;6;143;0;
779;Lac-Saint-Jean;2014-04-07;G;Lamarche, m;1;;13;240;60;1;1;46;2;34;10;154;3;
779;Lac-Saint-Jean;2014-04-07;G;Labrecque, m;1;;14;360;100;0;1;43;2;50;10;206;0;
779;Lac-Saint-Jean;2014-04-07;G;Labrecque, m;1;;15;346;68;7;0;58;6;52;11;202;4;
779;Lac-Saint-Jean;2014-04-07;G;Labrecque, m;1;;16;337;66;4;2;56;5;53;9;195;4;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Nazaire, m;1;;17;400;83;6;2;82;1;52;15;241;2;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Nazaire, m;1;;18;379;110;3;3;57;2;54;11;240;0;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Nazaire, m;1;;19;394;97;0;0;81;2;54;7;241;2;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Nazaire, m;1;;20;415;128;1;4;66;1;43;22;265;8;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;21;387;86;4;1;63;3;44;16;217;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;22;404;93;7;1;43;1;43;6;194;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;23;384;99;2;2;43;0;46;10;202;6;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;24;386;101;2;1;47;0;39;8;198;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;25;389;104;1;3;38;1;67;9;223;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;26;414;80;2;0;74;1;51;9;217;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;Regr. BVO-26;27;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;28;383;101;2;1;72;2;60;12;250;6;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;1;;29;363;112;3;2;45;0;56;15;233;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;30;400;121;2;1;58;2;49;21;254;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;31;385;107;0;3;45;6;37;16;214;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;32;418;111;4;5;64;1;54;24;263;6;
