Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baril Marcel P.V.Q./G.P.Q.;Dupuis Linda O.N. - P.I.Q.;Godin Christian É.A.P. - P.C.Q.;LeBlanc Donald C.A.Q.-É.F.L.;Ménard Nicole P.L.Q./Q.L.P.;Stanké Sophie P.Q.;St-Denis Michèle Q.S.;B.V.;B.R.;
209;Laporte;2014-04-07;G;Saint-Lambert, v;1;;1;297;2;0;1;27;62;29;9;130;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;1;;2;287;0;3;2;30;65;42;23;165;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;1;;3;284;1;0;0;37;57;48;15;158;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;1;;4;288;0;0;0;43;93;28;18;182;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;5;310;5;0;0;31;75;59;31;201;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;6;306;1;0;6;39;86;35;27;194;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;7;312;1;2;1;48;66;58;20;196;5;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;8;545;4;2;3;51;69;44;19;192;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;9;304;0;2;0;31;43;36;10;122;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;10;341;2;1;2;46;46;53;25;175;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;2;;11;301;3;1;3;25;66;36;20;154;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;12;356;4;0;0;24;60;38;17;143;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;13;293;4;1;1;42;57;37;33;175;5;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;14;301;2;1;3;29;48;60;25;168;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;15;296;0;1;1;27;68;43;29;169;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;16;306;6;1;1;42;61;42;23;176;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;3;;17;289;7;2;0;26;62;34;15;146;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;4;;18;301;0;1;0;20;53;19;11;104;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;4;;19;419;2;0;2;24;67;28;15;138;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;4;;20;321;1;0;1;34;51;43;33;163;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;4;;21;296;2;1;0;20;51;28;7;109;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;22;326;4;0;1;31;71;37;28;172;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;23;318;2;0;1;44;59;48;13;167;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;24;352;0;0;0;52;108;36;22;218;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;25;324;2;1;2;55;69;44;9;182;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;26;342;5;1;0;46;73;47;24;196;0;
