Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Vincent C.A.Q.-É.F.L.;Bureau-Blouin Léo P.Q.;Chatel-Launay Nicolas Q.S.;McKenna Léo P.V.Q./G.P.Q.;Polo Saul P.L.Q./Q.L.P.;Voyer David O.N. - P.I.Q.;B.V.;B.R.;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;1A;247;17;38;5;1;52;0;113;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;1B;202;16;28;8;5;59;1;117;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;2;373;47;47;11;3;135;3;246;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;3;375;51;50;15;7;138;2;263;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;4;379;44;54;7;0;128;2;235;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;5;377;44;46;14;4;132;1;241;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;6;363;31;32;15;3;128;0;209;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;7;379;36;50;10;0;130;2;228;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;8;386;37;72;9;2;123;0;243;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;9;383;45;62;12;2;135;4;260;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;38;;10;393;54;72;10;7;117;1;261;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;11;417;25;59;8;0;149;0;241;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;12;415;39;65;11;1;153;2;271;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;13;412;51;47;11;2;159;1;271;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;14;393;43;55;10;4;160;0;272;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;15A;233;24;44;12;2;80;1;163;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;39;;15B;201;16;36;5;0;77;0;134;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;40;;16;407;57;55;7;5;121;2;247;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;40;;17;396;39;64;16;3;160;0;282;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;40;;18;411;34;42;9;7;160;0;252;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;40;;19;397;30;53;7;6;89;2;187;7;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;40;;20;418;31;31;8;5;138;1;214;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;21;373;41;65;8;1;57;3;175;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;22;359;46;49;4;1;81;1;182;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;23;370;39;58;17;0;67;0;181;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;24;353;45;53;11;1;57;1;168;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;25;358;36;65;19;3;45;2;170;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;26A;246;20;43;5;1;57;0;126;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;26B;281;40;43;8;2;50;1;144;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;27;1109;43;62;19;1;50;1;176;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;28;360;38;86;19;4;65;1;213;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;29;407;52;69;13;4;92;0;230;5;
