Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin André P.Q.;Bédard Jean-Paul P.M.L.Q.;Boulet Julie P.L.Q./Q.L.P.;Clavet-Massicotte Gabriel-Olivier O.N. - P.I.Q.;Dubois Jean-François Q.S.;Gauthier Sylvain C.A.Q.-É.F.L.;B.V.;B.R.;
583;Laviolette;2014-04-07;G;Obedjiwan, ri;1;;1;755;1;0;78;0;0;2;81;1;
583;Laviolette;2014-04-07;G;Wemotaci, ri;1;;2;654;8;0;133;1;8;6;156;4;
583;Laviolette;2014-04-07;G;Lac-Édouard, m;1;;3;154;16;1;72;0;3;14;106;1;
583;Laviolette;2014-04-07;G;La Bostonnais, m;1;;4;253;42;0;64;0;6;25;137;4;
583;Laviolette;2014-04-07;G;La Bostonnais, m;1;;5;209;28;0;59;0;4;16;107;0;
583;Laviolette;2014-04-07;G;La Tuque, v;1;;6;38;10;0;4;0;2;3;19;1;
583;Laviolette;2014-04-07;G;La Tuque, v;1;Regr. BVDS-1;7;5;0;0;0;0;0;0;0;0;
583;Laviolette;2014-04-07;G;La Tuque, v;1;;8;306;53;1;105;0;5;19;183;4;
583;Laviolette;2014-04-07;G;La Tuque, v;1;Regr. BVO-2;9;0;0;0;0;0;0;0;0;0;
583;Laviolette;2014-04-07;G;La Tuque, v;1;;10;205;42;0;58;0;3;17;120;2;
583;Laviolette;2014-04-07;G;La Tuque, v;1;Regr. BVO-4;11;0;0;0;0;0;0;0;0;0;
583;Laviolette;2014-04-07;G;La Tuque, v;1;;12;232;21;0;61;1;7;17;107;0;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;13;398;59;0;81;1;9;28;178;1;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;14;387;45;0;85;0;7;42;179;1;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;15;404;39;0;83;3;4;22;151;2;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;16;396;40;0;101;0;5;21;167;3;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;17;400;31;0;72;0;3;27;133;7;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;18;407;51;0;75;3;3;25;157;2;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;19;399;26;0;86;3;10;33;158;3;
583;Laviolette;2014-04-07;G;La Tuque, v;2;;20;406;36;0;64;0;7;16;123;1;
583;Laviolette;2014-04-07;G;La Tuque, v;3;;21;373;32;0;76;0;10;15;133;5;
583;Laviolette;2014-04-07;G;La Tuque, v;3;;22;349;34;0;82;0;12;16;144;5;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;23;405;30;0;75;0;7;12;124;3;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;24;389;49;0;84;1;4;21;159;2;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;25;338;32;1;56;2;5;25;121;2;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;26;364;43;0;77;1;7;30;158;6;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;27;377;30;1;68;1;4;27;131;3;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;28;368;45;0;83;2;4;27;161;0;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;29;371;35;0;61;1;4;20;121;1;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;30;453;16;0;58;0;3;24;101;2;
583;Laviolette;2014-04-07;G;La Tuque, v;4;;31;374;17;0;57;0;4;28;106;1;
583;Laviolette;2014-04-07;G;La Tuque, v;5;;32;373;37;1;91;1;8;34;172;7;
583;Laviolette;2014-04-07;G;La Tuque, v;5;;33;337;39;0;103;3;7;31;183;4;
583;Laviolette;2014-04-07;G;La Tuque, v;5;;34;342;42;1;101;0;7;26;177;3;
583;Laviolette;2014-04-07;G;Lac-Normand, no;1;Regr. BVO-36;35;0;0;0;0;0;0;0;0;0;
583;Laviolette;2014-04-07;G;Trois-Rives, m;1;;36;130;15;1;59;0;4;16;95;1;
583;Laviolette;2014-04-07;G;Trois-Rives, m;1;;37;264;52;2;90;0;5;34;183;4;
583;Laviolette;2014-04-07;G;Saint-Roch-de-Mékinac, p;1;;38;282;32;1;100;2;6;19;160;4;
583;Laviolette;2014-04-07;G;Grandes-Piles, vl;1;;39;341;66;0;87;3;23;47;226;1;
583;Laviolette;2014-04-07;G;Shawinigan, v;13;;40;333;24;0;70;2;9;30;135;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;13;;41;337;25;0;67;0;7;29;128;9;
583;Laviolette;2014-04-07;G;Shawinigan, v;13;;42;376;18;0;53;2;8;26;107;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;13;;43;322;28;0;56;0;8;40;132;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;13;;44;324;34;0;46;0;10;39;129;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;14;;45;522;38;0;79;3;10;30;160;0;
583;Laviolette;2014-04-07;G;Shawinigan, v;14;;46;375;38;0;68;3;14;45;168;1;
583;Laviolette;2014-04-07;G;Shawinigan, v;14;;47;341;44;0;41;3;11;27;126;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;14;;48;376;39;0;60;2;7;51;159;0;
583;Laviolette;2014-04-07;G;Shawinigan, v;15;;49;337;35;0;68;0;12;30;145;0;
583;Laviolette;2014-04-07;G;Shawinigan, v;15;;50;326;32;0;55;0;16;45;148;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;16;;51;359;48;0;84;0;10;42;184;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;16;;52;340;28;1;77;0;10;39;155;6;
583;Laviolette;2014-04-07;G;Shawinigan, v;16;;53;365;23;2;49;1;8;20;103;7;
583;Laviolette;2014-04-07;G;Shawinigan, v;16;;54;340;29;0;52;5;16;20;122;5;
583;Laviolette;2014-04-07;G;Shawinigan, v;16;;55;356;28;0;44;1;8;49;130;4;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;56;365;22;0;48;0;6;37;113;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;57;348;34;0;72;0;11;41;158;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;58;358;40;1;71;2;12;40;166;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;59;398;37;0;70;1;7;45;160;1;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;60;352;38;1;69;1;14;42;165;4;
583;Laviolette;2014-04-07;G;Shawinigan, v;17;;61;362;33;1;85;0;9;35;163;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;62;401;56;0;101;1;10;54;222;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;63;401;59;0;85;1;16;69;230;6;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;64;380;48;0;89;0;22;45;204;1;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;65;374;50;0;79;1;15;74;219;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;66;387;43;0;91;0;17;78;229;1;
