Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;1;374;9;0;58;0;1;83;30;1;182;5;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;2;372;10;0;36;0;3;56;31;2;138;8;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;3;429;6;1;55;2;0;62;37;3;166;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;4;374;5;1;48;0;0;66;43;3;166;5;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;5;390;3;0;54;2;0;74;34;0;167;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;6;381;8;1;66;0;0;76;43;1;195;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;7;403;4;0;89;0;2;109;43;1;248;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;1;;8;429;3;0;63;2;0;87;36;1;192;6;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;9;408;7;0;56;1;0;71;57;1;193;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;10;387;3;2;37;0;0;107;38;1;188;6;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;11;404;5;0;57;1;1;115;26;4;209;6;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;12;395;8;0;43;0;1;93;39;3;187;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;13;396;6;0;60;1;1;83;36;1;188;6;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;14A;273;9;0;38;0;2;46;19;1;115;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;2;;14B;190;4;0;33;0;0;41;14;0;92;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;15;460;9;0;38;1;0;82;35;2;167;3;
