Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Bergeron Dany É.A.P. - P.C.Q.;Côté Patrick O.N. - P.I.Q.;Dallaire Patrice P.Q.;Hamad Sam P.L.Q./Q.L.P.;Minville Pascal Q.S.;B.V.;B.R.;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;1;;1;374;63;1;4;17;86;11;182;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;1;;2;378;80;1;1;20;69;6;177;3;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;1;;3;368;84;5;2;33;78;6;208;0;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;1;;4;369;63;4;3;31;73;6;180;5;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;1;;5;373;58;2;2;27;85;11;185;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;6;390;92;1;0;25;98;10;226;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;7;384;56;4;1;20;81;6;168;0;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;8;379;75;1;1;23;92;7;199;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;9;382;68;2;2;25;89;12;198;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;10;388;92;5;0;24;64;14;199;5;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;11;387;78;2;0;31;86;13;210;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;12;384;100;2;3;19;98;6;228;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;13;377;90;3;0;37;98;5;233;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;14;540;101;1;0;32;78;8;220;4;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;15;387;86;1;0;27;86;11;211;4;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;16;383;64;1;2;25;102;8;202;3;
