Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belley Nicolas O.N. - P.I.Q.;Biron Paul P.U.N.;Bonnier Viger Yv Q.S.;Dubé Christian C.A.Q.-É.F.L.;Girard Sylvie P.Q.;Roy Sébastien É.A.P. - P.C.Q.;Turmel Simon P.L.Q./Q.L.P.;B.V.;B.R.;
663;Lévis;2014-04-07;G;Lévis, v;17;;1;414;1;0;18;138;30;2;99;288;1;
663;Lévis;2014-04-07;G;Lévis, v;17;;2;350;2;1;12;96;20;2;51;184;5;
663;Lévis;2014-04-07;G;Lévis, v;17;;3;396;1;1;14;108;26;5;54;209;1;
663;Lévis;2014-04-07;G;Lévis, v;17;;4;401;2;1;17;112;33;2;80;247;5;
663;Lévis;2014-04-07;G;Lévis, v;17;;5;392;1;0;22;104;22;2;63;214;2;
663;Lévis;2014-04-07;G;Lévis, v;17;;6;401;2;1;20;130;36;2;70;261;5;
663;Lévis;2014-04-07;G;Lévis, v;17;;7;391;2;1;13;104;59;1;66;246;3;
663;Lévis;2014-04-07;G;Lévis, v;17;;8;390;3;0;21;124;41;0;59;248;2;
663;Lévis;2014-04-07;G;Lévis, v;17;;9;403;1;0;18;104;46;2;76;247;4;
663;Lévis;2014-04-07;G;Lévis, v;17;;10;401;2;1;12;86;39;0;80;220;1;
663;Lévis;2014-04-07;G;Lévis, v;17;;11;381;1;0;13;107;22;2;63;208;6;
663;Lévis;2014-04-07;G;Lévis, v;18;;12;396;3;1;10;90;31;1;69;205;4;
663;Lévis;2014-04-07;G;Lévis, v;18;;13;395;2;0;4;93;30;0;72;201;2;
663;Lévis;2014-04-07;G;Lévis, v;18;;14;404;2;0;6;70;25;4;69;176;0;
663;Lévis;2014-04-07;G;Lévis, v;18;;15;521;0;0;13;102;37;0;80;232;4;
663;Lévis;2014-04-07;G;Lévis, v;18;Regr. BVO-15;16;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;18;Regr. BVO-15;17;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;18;;18;399;0;0;19;92;30;1;53;195;1;
663;Lévis;2014-04-07;G;Lévis, v;18;;19;403;1;2;30;74;43;1;50;201;3;
663;Lévis;2014-04-07;G;Lévis, v;19;;20;370;1;1;15;78;30;1;39;165;1;
663;Lévis;2014-04-07;G;Lévis, v;19;;21;401;3;1;13;70;21;3;53;164;5;
663;Lévis;2014-04-07;G;Lévis, v;19;;22;387;2;0;14;115;31;3;55;220;2;
663;Lévis;2014-04-07;G;Lévis, v;19;;23;389;1;2;18;86;35;0;62;204;3;
663;Lévis;2014-04-07;G;Lévis, v;19;;24;388;3;0;18;91;30;3;66;211;3;
663;Lévis;2014-04-07;G;Lévis, v;19;;25;397;0;0;12;117;20;0;66;215;4;
663;Lévis;2014-04-07;G;Lévis, v;19;;26;372;0;1;16;86;29;2;52;186;3;
663;Lévis;2014-04-07;G;Lévis, v;19;;27;384;0;1;8;120;20;0;84;233;2;
663;Lévis;2014-04-07;G;Lévis, v;20;;28;374;0;0;10;111;17;2;62;202;0;
663;Lévis;2014-04-07;G;Lévis, v;20;;29;368;0;0;5;56;44;0;74;179;4;
663;Lévis;2014-04-07;G;Lévis, v;20;;30;367;0;0;21;81;37;2;44;185;3;
663;Lévis;2014-04-07;G;Lévis, v;20;;31;400;3;1;7;88;34;2;73;208;4;
663;Lévis;2014-04-07;G;Lévis, v;20;;32;381;0;0;12;82;27;2;63;186;3;
663;Lévis;2014-04-07;G;Lévis, v;20;;33;374;0;0;7;95;28;4;40;174;2;
663;Lévis;2014-04-07;G;Lévis, v;20;;34;385;2;1;7;78;27;2;45;162;2;
663;Lévis;2014-04-07;G;Lévis, v;20;;35;360;1;0;13;74;30;0;56;174;0;
663;Lévis;2014-04-07;G;Lévis, v;20;;36;380;0;0;15;77;30;0;60;182;2;
