Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchaala Zoubir C.A.Q.-É.F.L.;Drouin Myriam O.N. - P.I.Q.;Emond Alexandre Q.S.;Leboeuf-McGregor Richard P.Q.;Poeti Robert P.L.Q./Q.L.P.;Stevenson Stéphanie P.V.Q./G.P.Q.;B.V.;B.R.;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;1;358;40;0;6;30;108;3;187;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;2;352;26;0;7;36;126;5;200;5;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;3;365;25;1;7;35;115;2;185;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;4;401;40;2;16;33;84;5;180;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;5;331;22;2;11;40;83;5;163;5;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;52;;6;379;36;1;20;53;87;7;204;4;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;7;309;10;0;3;17;146;4;180;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;8;334;16;1;11;28;137;5;198;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;9;413;17;0;7;16;157;4;201;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;10;375;16;0;8;14;85;3;126;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;11;312;25;3;8;29;123;1;189;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;53;;12;340;28;0;4;23;137;0;192;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;54;;13;335;29;0;20;39;104;2;194;6;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;54;;14;332;34;2;9;44;94;5;188;5;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;54;;15;340;31;0;12;43;115;7;208;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;54;;16;341;24;1;12;58;102;5;202;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;54;;17;321;14;0;2;34;117;2;169;1;
